Date,Open,High,Low,Close,Volume,AdjustedClose,Dividends,StockSplits
2019-01-01,4999.045000,5011.542612,4923.265987,4935.605000,1108627,4935.605000,0.000000,0.000000
2019-01-02,4936.947484,4947.571794,4769.093071,4779.378294,2164945,4779.378294,0.000000,0.000000
2019-01-03,4778.909914,4795.320690,4660.990808,4677.051804,1466440,4677.051804,0.000000,0.000000
2019-01-04,4676.490557,4686.989278,4590.827685,4601.157284,1366779,4601.157284,0.000000,0.000000
2019-01-05,4599.947179,4611.405647,4449.540260,4460.651744,1291497,4460.651744,0.000000,0.000000
2019-01-06,4459.755152,4476.760198,4333.076546,4349.661807,1198196,4349.661807,0.000000,0.000000
2019-01-07,4349.570464,4374.658786,4252.897485,4277.570512,1378428,4277.570512,0.000000,0.000000
2019-01-08,4279.606635,4303.735057,4223.670887,4247.618963,1420404,4247.618963,0.000000,0.000000
2019-01-09,4247.432067,4275.516087,4114.121315,4141.504946,1187404,4141.504946,0.000000,0.000000
2019-01-10,4141.836266,4153.582513,4121.227553,4132.948596,1236388,4132.948596,0.000000,0.000000
2019-01-11,4131.989751,4140.964432,4074.640879,4083.510264,1282320,4083.510264,0.000000,0.000000
2019-01-12,4083.048827,4114.247403,4047.048265,4078.209867,1152076,4078.209867,0.000000,0.000000
2019-01-13,4079.743273,4286.000998,4056.896710,4262.133053,1724007,4262.133053,0.000000,0.000000
2019-01-14,4262.635984,4366.647621,4248.842093,4352.562729,1034629,4352.562729,0.000000,0.000000
2019-01-15,4354.042600,4536.231737,4336.147484,4517.664138,1708782,4517.664138,0.000000,0.000000
2019-01-16,4518.061692,4586.811257,4502.374981,4570.940951,1508221,4570.940951,0.000000,0.000000
2019-01-17,4569.578810,4760.663741,4542.860482,4732.989949,1946694,4732.989949,0.000000,0.000000
2019-01-18,4732.985216,4927.201952,4702.107220,4895.265242,1828776,4895.265242,0.000000,0.000000
2019-01-19,4894.731658,5103.923039,4863.894848,5071.969631,2266697,5071.969631,0.000000,0.000000
2019-01-20,5073.714388,5314.251785,5053.744248,5293.416897,1703633,5293.416897,0.000000,0.000000
2019-01-21,5292.612297,5414.309580,5254.172053,5375.269002,1364875,5375.269002,0.000000,0.000000
2019-01-22,5373.183397,5625.897183,5348.939593,5600.627154,1728577,5600.627154,0.000000,0.000000
2019-01-23,5598.358900,5777.729227,5569.740089,5748.343695,1417235,5748.343695,0.000000,0.000000
2019-01-24,5746.952595,5869.291306,5703.224032,5824.969116,1429308,5824.969116,0.000000,0.000000
2019-01-25,5824.683692,5916.919135,5789.525901,5881.418891,1451559,5881.418891,0.000000,0.000000
2019-01-26,5879.236884,6038.881282,5846.712945,6005.657983,1200754,6005.657983,0.000000,0.000000
2019-01-27,6006.192486,6031.268339,5938.576736,5963.474241,1035866,5963.474241,0.000000,0.000000
2019-01-28,5960.641590,6118.368829,5939.302493,6096.543205,1067572,6096.543205,0.000000,0.000000
2019-01-29,6098.042954,6125.471951,5960.866042,5987.799163,1374437,5987.799163,0.000000,0.000000
2019-01-30,5986.170481,6076.683563,5972.126925,6062.461030,1500337,6062.461030,0.000000,0.000000
2019-01-31,6062.073032,6183.609302,6027.234298,6148.275165,1114415,6148.275165,0.000000,0.000000
2019-02-01,6149.080589,6196.059564,6025.005556,6071.390984,732469,6071.390984,0.000000,0.000000
2019-02-02,6072.423120,6113.521279,5989.136983,6029.947669,1444056,6029.947669,0.000000,0.000000
2019-02-03,6030.719502,6056.536063,6006.198596,6032.009911,552384,6032.009911,0.000000,0.000000
2019-02-04,6032.601047,6183.754174,6015.685633,6166.463411,1077656,6166.463411,0.000000,0.000000
2019-02-05,6165.316448,6282.762042,6154.539474,6271.798938,1578052,6271.798938,0.000000,0.000000
2019-02-06,6273.730652,6351.773994,6228.020250,6305.829719,707936,6305.829719,0.000000,0.000000
