Date,Open,High,Low,Close,Volume,AdjustedClose,Dividends,StockSplits
2019-01-01,100.004500,100.674130,96.445348,97.095500,8739499,97.095500,0.000000,0.000000
2019-01-02,97.081518,97.331794,94.327986,94.571793,8213548,94.571793,0.000000,0.000000
2019-01-03,94.603379,94.762501,93.161471,93.318433,7462403,93.318433,0.000000,0.000000
2019-01-04,93.321979,93.861939,90.432031,90.958316,9077617,90.958316,0.000000,0.000000
2019-01-07,90.957315,91.393091,88.046290,88.470151,7479893,88.470151,0.000000,0.000000
2019-01-08,88.500319,88.923527,86.154954,86.568927,5960786,86.568927,0.000000,0.000000
2019-01-09,86.597061,87.202720,84.012178,84.603898,7006253,84.603898,0.000000,0.000000
2019-01-10,84.632663,84.905349,82.820255,83.087965,5042158,83.087965,0.000000,0.000000
2019-01-11,83.063038,83.384658,81.243514,81.559312,8536578,81.559312,0.000000,0.000000
2019-01-14,81.563226,82.021692,79.795629,80.246696,4522550,80.246696,0.000000,0.000000
2019-01-15,80.224628,80.582349,77.435807,77.782640,8513558,77.782640,0.000000,0.000000
2019-01-16,77.788395,78.191805,75.541114,75.934913,8461841,75.934913,0.000000,0.000000
2019-01-17,75.963844,77.602924,75.843061,77.479732,4564472,77.479732,0.000000,0.000000
2019-01-18,77.489649,80.079270,76.885617,79.459881,4603759,79.459881,0.000000,0.000000
2019-01-22,79.467985,82.519350,78.977508,82.013165,3778867,82.013165,0.000000,0.000000
2019-01-23,81.992497,84.398593,81.838761,84.240642,7685556,84.240642,0.000000,0.000000
2019-01-24,84.210820,87.236873,83.827492,86.841571,9172357,86.841571,0.000000,0.000000
2019-01-25,86.867362,88.592538,86.558809,88.278972,3392076,88.278972,0.000000,0.000000
2019-01-28,88.258667,91.125914,87.656125,90.508016,6798342,90.508016,0.000000,0.000000
2019-01-29,90.479234,94.039727,89.898266,93.439751,4771988,93.439751,0.000000,0.000000
2019-01-30,93.477500,96.954453,93.032547,96.495137,9336501,96.495137,0.000000,0.000000
2019-01-31,96.515979,100.426950,95.877718,99.767190,4679535,99.767190,0.000000,0.000000
2019-02-01,99.810788,101.855789,99.599588,101.640718,4165309,101.640718,0.000000,0.000000
2019-02-04,101.631265,105.444225,101.266103,105.066721,9641761,105.066721,0.000000,0.000000
2019-02-05,105.109588,105.573751,104.120945,104.582783,3659042,104.582783,0.000000,0.000000
2019-02-06,104.559774,105.370618,104.171229,104.980511,7840537,104.980511,0.000000,0.000000
2019-02-07,104.949856,105.399880,104.479343,104.929280,4404768,104.929280,0.000000,0.000000
2019-02-08,104.962857,105.208994,104.331694,104.576927,3046238,104.576927,0.000000,0.000000
2019-02-11,104.607358,105.565690,103.992266,104.948593,7482382,104.948593,0.000000,0.000000
2019-02-12,104.969687,105.813822,104.368000,105.210754,3503714,105.210754,0.000000,0.000000
2019-02-13,105.162146,105.780354,105.002509,105.620023,6218342,105.620023,0.000000,0.000000
2019-02-14,105.649702,106.116779,104.931203,105.397164,6039950,105.397164,0.000000,0.000000
2019-02-15,105.368601,105.688921,104.689548,105.008775,9683515,105.008775,0.000000,0.000000
2019-02-18,105.057394,105.572700,103.744486,104.255862,9939314,104.255862,0.000000,0.000000
2019-02-19,104.305070,104.950301,103.609069,104.253985,3110358,104.253985,0.000000,0.000000
2019-02-20,104.231987,105.409057,103.934300,105.108867,7051860,105.108867,0.000000,0.000000
2019-02-21,105.084902,106.590487,104.292877,105.793125,9626786,105.793125,0.000000,0.000000
2019-02-22,105.787941,107.175466,104.996224,106.379324,2635135,106.379324,0.000000,0.000000
2019-02-25,106.425492,106.654732,106.167697,106.396876,3077107,106.396876,0.000000,0.000000
2019-02-26,106.394109,108.146150,105.673395,107.418498,2661226,107.418498,0.000000,0.000000
2019-02-27,107.414308,107.875065,107.226547,107.686829,7954206,107.686829,0.000000,0.000000
2019-02-28,107.695443,108.265437,107.520868,108.090223,2783090,108.090223,0.000000,0.000000
2019-03-01,108.110868,108.588718,106.992831,107.467839,8968586,107.467839,0.000000,0.000000
2019-03-04,107.470848,107.781976,106.897613,107.207981,3986634,107.207981,0.000000,0.000000
2019-03-05,107.202298,107.896888,106.608826,107.302860,6719515,107.302860,0.000000,0.000000
2019-03-06,107.253500,107.707075,106.019392,106.469653,8815471,106.469653,0.000000,0.000000
2019-03-07,106.423125,106.877232,105.810948,106.264379,5629968,106.264379,0.000000,0.000000
2019-03-08,106.284781,106.602713,106.031398,106.349177,9105390,106.349177,0.000000,0.000000
2019-03-11,106.344816,107.184301,104.634664,105.467223,8968059,105.467223,0.000000,0.000000
2019-03-12,105.447922,106.093685,104.189583,104.831572,4108361,104.831572,0.000000,0.000000
