date,portfolio_value,cash,holdings,total_return,drawdown
2020-01-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-08,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-15,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-16,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-17,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-22,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-23,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-28,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-29,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-30,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-31,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-12,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-19,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-20,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-25,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-26,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-28,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-12,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-16,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-17,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-19,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-20,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-23,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-25,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-26,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-27,97973.009326,6928.557307,91044.452019,-0.020270,-0.020270
2020-03-30,100571.231410,6928.557307,93642.674103,0.005712,0.000000
2020-03-31,100380.129840,6928.557307,93451.572533,0.003801,-0.001900
2020-04-01,95462.983653,6928.557307,88534.426346,-0.045370,-0.050792
2020-04-02,96940.329616,6928.557307,90011.772308,-0.030597,-0.036103
2020-04-03,95646.733653,6928.557307,88718.176346,-0.043533,-0.048965
2020-04-06,103386.282756,6928.557307,96457.725449,0.033863,0.000000
2020-04-07,102269.079616,6928.557307,95340.522308,0.022691,-0.010806
2020-04-08,104709.284999,6928.557307,97780.727692,0.047093,0.000000
2020-04-09,105414.878718,6928.557307,98486.321411,0.054149,0.000000
2020-04-13,107347.932307,6928.557307,100419.375000,0.073479,0.000000
2020-04-14,112419.427821,6928.557307,105490.870514,0.124194,0.000000
2020-04-15,111456.579616,6928.557307,104528.022308,0.114566,-0.008565
2020-04-16,112287.133204,6928.557307,105358.575897,0.122871,-0.001177
2020-04-17,110857.552821,6928.557307,103928.995514,0.108576,-0.013893
2020-04-20,108700.329616,6928.557307,101771.772308,0.087003,-0.033082
2020-04-21,105554.530513,6928.557307,98625.973206,0.055545,-0.061065
2020-04-22,108395.309550,6928.557307,101466.752243,0.083953,-0.035796
2020-04-23,108002.081859,6928.557307,101073.524551,0.080021,-0.039293
2020-04-24,110920.032756,6928.557307,103991.475449,0.109200,-0.013338
2020-04-27,110993.537242,6928.557307,104064.979935,0.109935,-0.012684
2020-04-28,109306.702372,6928.557307,102378.145065,0.093067,-0.027689
2020-04-29,112669.336345,6928.557307,105740.779037,0.126693,0.000000
2020-04-30,114900.052821,6928.557307,107971.495514,0.149001,0.000000
2020-05-01,113161.784999,6928.557307,106233.227692,0.131618,-0.015129
2020-05-04,114664.858653,6928.557307,107736.301346,0.146649,-0.002047
2020-05-05,116281.856410,6928.557307,109353.299103,0.162819,0.000000
2020-05-06,117410.084102,6928.557307,110481.526794,0.174101,0.000000
2020-05-07,118553.003718,6928.557307,111624.446411,0.185530,0.000000
2020-05-08,120901.334102,6928.557307,113972.776794,0.209013,0.000000
2020-05-11,122694.735896,6928.557307,115766.178589,0.226947,0.000000
2020-05-12,121371.733653,6928.557307,114443.176346,0.213717,-0.010783
2020-05-13,119989.930064,6928.557307,113061.372757,0.199899,-0.022045
2020-05-14,120684.510447,6928.557307,113755.953140,0.206845,-0.016384
2020-05-15,120011.979167,6928.557307,113083.421860,0.200120,-0.021865
2020-05-18,122676.354167,6928.557307,115747.796860,0.226764,-0.000150
2020-05-19,122007.512690,6928.557307,115078.955383,0.220075,-0.005601
2020-05-20,124245.586345,6928.557307,117317.029037,0.242456,0.000000
2020-05-21,123370.934550,6928.557307,116442.377243,0.233709,-0.007040
2020-05-22,124120.637690,6928.557307,117192.080383,0.241206,-0.001006
2020-05-26,123326.836345,6928.557307,116398.279037,0.233268,-0.007395
2020-05-27,123833.976924,6928.557307,116905.419617,0.238340,-0.003313
2020-05-28,123108.760534,123108.760534,0.000000,0.231088,-0.009150
2020-05-29,123108.760534,123108.760534,0.000000,0.231088,-0.009150
2020-06-01,123108.760534,123108.760534,0.000000,0.231088,-0.009150
2020-06-02,123108.760534,123108.760534,0.000000,0.231088,-0.009150
2020-06-03,123108.760534,123108.760534,0.000000,0.231088,-0.009150
2020-06-04,123108.760534,123108.760534,0.000000,0.231088,-0.009150
2020-06-05,123108.760534,123108.760534,0.000000,0.231088,-0.009150
2020-06-08,123108.760534,123108.760534,0.000000,0.231088,-0.009150
2020-06-09,127029.288619,6460.797042,120568.491577,0.270293,0.000000
2020-06-10,130131.215759,6460.797042,123670.418716,0.301312,0.000000
2020-06-11,124193.744903,6460.797042,117732.947861,0.241937,-0.045627
2020-06-12,125210.192764,6460.797042,118749.395721,0.252102,-0.037816
2020-06-15,126678.788619,6460.797042,120217.991577,0.266788,-0.026530
2020-06-16,129864.832336,6460.797042,123404.035294,0.298648,-0.002047
2020-06-17,129693.090759,6460.797042,123232.293716,0.296931,-0.003367
2020-06-18,129742.165893,6460.797042,123281.368851,0.297422,-0.002990
2020-06-19,129037.657470,6460.797042,122576.860428,0.290377,-0.008404
2020-06-22,132244.730331,6460.797042,125783.933289,0.322447,0.000000
2020-06-23,134929.561614,6460.797042,128468.764572,0.349296,0.000000
2020-06-24,132661.826186,6460.797042,126201.029144,0.326618,-0.016807
2020-06-25,134337.215759,6460.797042,127876.418716,0.343372,-0.004390
2020-06-26,130408.113754,6460.797042,123947.316711,0.304081,-0.033510
2020-06-29,133264.686614,6460.797042,126803.889572,0.332647,-0.012339
2020-06-30,132416.479369,132416.479369,0.000000,0.324165,-0.018625
2020-07-01,132416.479369,132416.479369,0.000000,0.324165,-0.018625
2020-07-02,132416.479369,132416.479369,0.000000,0.324165,-0.018625
2020-07-06,132416.479369,132416.479369,0.000000,0.324165,-0.018625
2020-07-07,132416.479369,132416.479369,0.000000,0.324165,-0.018625
2020-07-08,132416.479369,132416.479369,0.000000,0.324165,-0.018625
2020-07-09,131489.792663,5192.241942,126297.550720,0.314898,-0.025493
2020-07-10,131710.719527,5192.241942,126518.477585,0.317107,-0.023856
2020-07-13,131127.065650,5192.241942,125934.823708,0.311271,-0.028181
2020-07-14,133211.088065,5192.241942,128018.846123,0.332111,-0.012736
2020-07-15,134091.514930,5192.241942,128899.272987,0.340915,-0.006211
2020-07-16,132505.418235,5192.241942,127313.176292,0.325054,-0.017966
2020-07-17,132248.213637,5192.241942,127055.971695,0.322482,-0.019872
2020-07-20,132112.643084,132112.643084,0.000000,0.321126,-0.020877
2020-07-21,129087.380811,5315.380811,123772.000000,0.290874,-0.043298
2020-07-22,128448.309743,128448.309743,0.000000,0.284483,-0.048034
