date,ticker,strategy,action,price,quantity,cost,slippage,portfolio_value,realized_pnl,trade_return
2020-04-30,AAPL,MA_Cross,BUY,73.486722,1293,95.018331,47.485423,99810.010822,0.000000,0.000000
2020-10-02,AAPL,MA_Cross,SELL,112.963487,1293,146.061788,73.067428,150681.823784,50824.327538,0.534890
2020-11-05,AAPL,MA_Cross,BUY,119.089514,1202,143.145596,71.537029,150395.604130,0.000000,0.000000
2021-02-26,AAPL,MA_Cross,SELL,121.199372,1202,145.681645,72.877261,152784.631997,2317.490838,0.016190
2021-04-19,AAPL,MA_Cross,BUY,134.907416,1076,145.160380,72.543918,152494.383781,0.000000,0.000000
2021-05-26,AAPL,MA_Cross,SELL,126.786573,1076,136.422353,68.245299,143624.233128,-8942.694571,-0.061606
2021-06-28,AAPL,MA_Cross,BUY,134.847389,1012,136.465557,68.198679,143351.370212,0.000000,0.000000
2021-10-01,AAPL,MA_Cross,SELL,142.578669,1012,144.289613,72.180897,151027.153864,7607.584972,0.055747
2021-11-04,AAPL,MA_Cross,BUY,151.035487,950,143.483712,71.706003,150740.258145,0.000000,0.000000
2022-01-31,AAPL,MA_Cross,SELL,174.692609,950,165.957978,83.020499,173037.251630,22225.287482,0.154898
2022-04-05,AAPL,MA_Cross,BUY,175.147528,939,164.463528,82.190669,172708.406764,0.000000,0.000000
2022-05-03,AAPL,MA_Cross,SELL,159.400256,939,149.676840,74.875858,157779.356488,-15011.240944,-0.091274
2022-07-20,AAPL,MA_Cross,BUY,153.116513,979,149.901067,74.913077,157479.629269,0.000000,0.000000
2022-09-19,AAPL,MA_Cross,SELL,154.402756,979,151.160298,75.617958,158586.995445,1032.453100,0.006888
2022-11-23,AAPL,MA_Cross,BUY,151.145542,997,150.692106,75.308399,158285.686542,0.000000,0.000000
2022-11-28,AAPL,MA_Cross,SELL,144.147891,997,143.715448,71.893671,151168.727668,-7192.267273,-0.047728
2022-12-02,AAPL,MA_Cross,BUY,147.883903,971,143.595269,71.761754,150881.608891,0.000000,0.000000
2022-12-19,AAPL,MA_Cross,SELL,132.303810,971,128.467000,64.265633,135632.368256,-15321.002389,-0.106696
2023-02-03,AAPL,MA_Cross,BUY,154.577250,833,128.762849,64.349250,135374.906906,0.000000,0.000000
2023-08-16,AAPL,MA_Cross,SELL,176.481722,833,147.009275,73.541408,153465.130917,18025.874760,0.139993
2023-11-14,AAPL,MA_Cross,BUY,187.533722,777,145.713702,72.820441,153173.776332,0.000000,0.000000
2024-01-17,AAPL,MA_Cross,SELL,182.588653,777,141.871383,70.971177,149191.435007,-4055.161766,-0.027830
2024-05-08,AAPL,MA_Cross,BUY,182.831375,775,141.694316,70.811752,148908.117187,0.000000,0.000000
2024-08-20,AAPL,MA_Cross,SELL,226.396740,775,175.457473,87.772623,182478.855953,33499.927015,0.236424
2024-08-29,AAPL,MA_Cross,BUY,229.904888,754,173.348286,86.630827,182132.246013,0.000000,0.000000
2024-11-19,AAPL,MA_Cross,SELL,228.165859,754,172.037058,86.061560,180649.549978,-1569.326862,-0.009053
2024-12-03,AAPL,MA_Cross,BUY,242.771319,707,171.639322,85.776773,180306.357110,0.000000,0.000000
2025-01-27,AAPL,MA_Cross,SELL,229.745071,707,162.429765,81.255510,170938.891071,-9453.242811,-0.055076
2025-03-06,AAPL,MA_Cross,BUY,235.447667,690,162.458890,81.188851,170614.054480,0.000000,0.000000
2025-03-17,AAPL,MA_Cross,SELL,213.893000,690,147.586170,73.830000,155601.107046,-15094.136284,-0.092910
2025-06-06,AAPL,MA_Cross,BUY,204.021958,724,147.711898,73.819039,155305.757070,0.000000,0.000000
2025-06-16,AAPL,MA_Cross,SELL,198.320788,724,143.584251,71.828039,151036.516741,-4343.059369,-0.029402
2025-07-11,AAPL,MA_Cross,BUY,211.265584,679,143.449331,71.688821,150749.689767,0.000000,0.000000
