date,portfolio_value,cash,holdings,total_return,drawdown
2020-01-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-08,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-15,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-16,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-17,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-22,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-23,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-28,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-29,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-30,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-31,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-12,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-19,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-20,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-25,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-26,101829.054614,5327.719127,96501.335487,0.018291,0.000000
2020-02-27,95520.935504,5327.719127,90193.216377,-0.044791,-0.061948
2020-02-28,95468.174296,5327.719127,90140.455170,-0.045318,-0.062466
2020-03-02,103860.315822,5327.719127,98532.596695,0.038603,0.000000
2020-03-03,100730.991542,5327.719127,95403.272415,0.007310,-0.030130
2020-03-04,105156.230906,5327.719127,99828.511780,0.051562,0.000000
2020-03-05,101918.093554,5327.719127,96590.374428,0.019181,-0.030794
2020-03-06,100635.361224,5327.719127,95307.642097,0.006354,-0.042992
2020-03-09,93097.281054,5327.719127,87769.561928,-0.069027,-0.114677
2020-03-10,99418.582919,5327.719127,94090.863792,-0.005814,-0.054563
2020-03-11,96150.759212,5327.719127,90823.040085,-0.038492,-0.085639
2020-03-12,87181.560218,5327.719127,81853.841091,-0.128184,-0.170933
2020-03-13,96988.327029,5327.719127,91660.607903,-0.030117,-0.077674
2020-03-16,85196.468841,5327.719127,79868.749714,-0.148035,-0.189811
2020-03-17,88708.304328,5327.719127,83380.585201,-0.112917,-0.156414
2020-03-18,86667.151023,5327.719127,81339.431896,-0.133328,-0.175825
2020-03-19,86043.923724,5327.719127,80716.204597,-0.139561,-0.181752
2020-03-20,80919.610938,5327.719127,75591.891811,-0.190804,-0.230482
2020-03-23,79313.725017,5327.719127,73986.005890,-0.206863,-0.245753
2020-03-24,86736.400737,5327.719127,81408.681610,-0.132636,-0.175166
2020-03-25,86287.940536,5327.719127,80960.221409,-0.137121,-0.179431
2020-03-26,90548.309932,5327.719127,85220.590805,-0.094517,-0.138916
2020-03-27,87019.985938,5327.719127,81692.266811,-0.129800,-0.172470
2020-03-30,89351.315822,5327.719127,84023.596695,-0.106487,-0.150299
2020-03-31,89179.844413,5327.719127,83852.125286,-0.108202,-0.151930
2020-04-01,84767.792834,5327.719127,79440.073708,-0.152322,-0.193887
2020-04-02,86093.384212,5327.719127,80765.665085,-0.139066,-0.181281
2020-04-03,84932.667834,5327.719127,79604.948708,-0.150673,-0.192319
2020-04-06,91877.202029,5327.719127,86549.482903,-0.081228,-0.126279
2020-04-07,90874.759212,5327.719127,85547.040085,-0.091252,-0.135812
2020-04-08,93064.304042,5327.719127,87736.584915,-0.069357,-0.114990
2020-04-09,93697.418406,5327.719127,88369.699280,-0.063026,-0.108969
2020-04-13,95431.906627,5327.719127,90104.187500,-0.045681,-0.092475
2020-04-14,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-04-15,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-04-16,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-04-17,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-04-20,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-04-21,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-04-22,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-04-23,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-04-24,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-04-27,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-04-28,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-04-29,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-04-30,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-01,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-04,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-05,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-06,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-07,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-08,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-11,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-12,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-13,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-14,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-15,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-18,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-19,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-20,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-21,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-22,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-26,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-27,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-28,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-05-29,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-01,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-02,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-03,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-04,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-05,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-08,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-09,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-10,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-11,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-12,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-15,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-16,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-17,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-18,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-19,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-22,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-23,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-24,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-25,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-26,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-29,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-06-30,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-07-01,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-07-02,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-07-06,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-07-07,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-07-08,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-07-09,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-07-10,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-07-13,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-07-14,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-07-15,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-07-16,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
2020-07-17,97473.105292,97473.105292,0.000000,-0.025269,-0.073064
