date,portfolio_value,cash,holdings,total_return,drawdown
2020-01-01,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-08,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-12,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-15,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-16,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-17,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-19,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-20,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-22,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-23,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-25,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-26,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-28,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-29,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-30,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-31,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-01,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-06,100834.660155,13266.444335,87568.215820,0.008347,0.000000
2020-02-07,101429.934569,13266.444335,88163.490234,0.014299,0.000000
2020-02-08,102052.516601,13266.444335,88786.072266,0.020525,0.000000
2020-02-09,104316.508788,13266.444335,91050.064453,0.043165,0.000000
2020-02-10,101975.946288,13266.444335,88709.501953,0.019759,-0.022437
2020-02-11,105140.571288,13266.444335,91874.126953,0.051406,0.000000
2020-02-12,106200.936523,13266.444335,92934.492188,0.062009,0.000000
2020-02-13,105195.863280,13266.444335,91929.418945,0.051959,-0.009464
2020-02-14,106075.490233,13266.444335,92809.045898,0.060755,-0.001181
2020-02-15,102271.267577,13266.444335,89004.823242,0.022713,-0.037002
2020-02-16,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-02-17,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-02-18,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-02-19,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-02-20,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-02-21,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-02-22,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-02-23,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-02-24,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-02-25,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-02-26,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-02-27,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-02-28,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-02-29,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-03-01,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-03-02,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-03-03,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-03-04,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-03-05,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-03-06,102091.100789,102091.100789,0.000000,0.020911,-0.038699
2020-03-07,102091.100789,102091.100789,0.000000,0.020911,-0.038699
