date,ticker,strategy,action,price,quantity,cost,slippage,portfolio_value,realized_pnl,trade_return
2020-02-06,BTC-USD,MACD_Momentum,BUY,9622.630200,9,86.603672,43.280196,99826.835937,0.000000,0.000000
2020-02-16,BTC-USD,MACD_Momentum,SELL,9884.235098,9,88.958116,44.501309,102091.100789,2220.984657,0.025645
2020-03-22,BTC-USD,MACD_Momentum,BUY,6188.650885,15,92.829763,46.391686,101905.487655,0.000000,0.000000
2020-05-12,BTC-USD,MACD_Momentum,SELL,8606.080549,15,129.091208,64.577893,138019.655211,36067.775871,0.388537
2020-06-02,BTC-USD,MACD_Momentum,BUY,10168.055120,12,122.016661,60.977842,137775.682866,0.000000,0.000000
2020-06-06,BTC-USD,MACD_Momentum,SELL,9660.071845,12,115.920862,57.989426,131566.951121,-6269.709587,-0.051384
2020-07-08,BTC-USD,MACD_Momentum,BUY,9257.647018,13,120.349411,60.144633,131326.312443,0.000000,0.000000
2020-07-17,BTC-USD,MACD_Momentum,SELL,9127.246594,13,118.654206,59.356781,129513.240573,-1873.216503,-0.015565
2020-07-22,BTC-USD,MACD_Momentum,BUY,9379.767618,13,121.936979,60.938021,129269.427553,0.000000,0.000000
2020-08-12,BTC-USD,MACD_Momentum,SELL,11398.894381,13,148.185627,74.129878,155356.697990,26026.332416,0.213441
2020-09-16,BTC-USD,MACD_Momentum,BUY,10803.160600,13,140.441088,70.185451,155075.886000,0.000000,0.000000
2020-11-27,BTC-USD,MACD_Momentum,SELL,17145.337105,13,222.889382,111.500441,237259.976203,82113.904752,0.584686
2020-12-17,BTC-USD,MACD_Momentum,BUY,21319.005738,10,213.190057,106.541758,236833.702630,0.000000,0.000000
2021-01-13,BTC-USD,MACD_Momentum,SELL,33898.163533,10,338.981635,169.575605,362223.265097,125283.020708,0.587659
2021-02-04,BTC-USD,MACD_Momentum,BUY,37493.843021,9,337.444587,168.637975,361548.544560,0.000000,0.000000
2021-02-25,BTC-USD,MACD_Momentum,SELL,49684.227490,9,447.158047,223.690869,470759.793837,109042.611302,0.323142
2021-03-10,BTC-USD,MACD_Momentum,BUY,54851.423725,8,438.811390,219.296047,469882.390353,0.000000,0.000000
2021-03-21,BTC-USD,MACD_Momentum,SELL,58280.759105,8,466.246073,233.239656,496836.883718,26735.197318,0.060926
2021-04-02,BTC-USD,MACD_Momentum,BUY,59128.428346,7,413.898998,206.846076,496009.292567,0.000000,0.000000
2021-04-04,BTC-USD,MACD_Momentum,SELL,57576.037424,7,403.032262,201.616939,484744.752989,-11471.385655,-0.027715
2021-04-13,BTC-USD,MACD_Momentum,BUY,59919.964541,7,419.439752,209.615068,483906.083100,0.000000,0.000000
2021-04-19,BTC-USD,MACD_Momentum,SELL,56163.490145,7,393.144431,196.670551,457230.562412,-26885.135757,-0.064098
2021-05-01,BTC-USD,MACD_Momentum,BUY,57743.521395,7,404.204650,202.001324,456422.355113,0.000000,0.000000
2021-05-13,BTC-USD,MACD_Momentum,SELL,49710.565877,7,347.973961,174.074018,399871.619836,-56752.736602,-0.140406
2021-06-01,BTC-USD,MACD_Momentum,BUY,37312.439865,10,373.124399,186.468965,399125.557508,0.000000,0.000000
2021-06-22,BTC-USD,MACD_Momentum,SELL,31606.565765,10,316.065658,158.111885,341779.107924,-57532.918548,-0.154192
2021-06-29,BTC-USD,MACD_Momentum,BUY,34492.796373,9,310.435167,155.140014,341158.392729,0.000000,0.000000
2021-07-16,BTC-USD,MACD_Momentum,SELL,31825.630006,9,286.430670,143.286979,316879.317790,-24434.214953,-0.078710
2021-07-23,BTC-USD,MACD_Momentum,BUY,32322.111964,9,290.899008,145.376815,316297.665151,0.000000,0.000000
2021-08-18,BTC-USD,MACD_Momentum,SELL,44664.406625,9,401.979660,201.090375,426920.623882,110477.581916,0.379780
2021-08-22,BTC-USD,MACD_Momentum,BUY,48893.540021,8,391.148320,195.476422,426138.522718,0.000000,0.000000
2021-08-25,BTC-USD,MACD_Momentum,SELL,47703.394184,8,381.627153,190.909031,416240.296252,-10093.702888,-0.025805
2021-09-07,BTC-USD,MACD_Momentum,BUY,52686.810709,7,368.807675,184.311682,415502.865214,0.000000,0.000000
2021-09-08,BTC-USD,MACD_Momentum,SELL,46804.347838,7,327.630435,163.897166,374018.409197,-41668.767699,-0.112982
2021-10-02,BTC-USD,MACD_Momentum,BUY,48161.537484,7,337.130762,168.481141,373344.316154,0.000000,0.000000
2021-10-25,BTC-USD,MACD_Momentum,SELL,60863.478818,7,426.044352,213.128740,461787.213540,88274.416246,0.261840
2021-11-10,BTC-USD,MACD_Momentum,BUY,66986.812605,6,401.920876,200.860008,460983.572649,0.000000,0.000000
2021-11-13,BTC-USD,MACD_Momentum,SELL,64126.042033,6,384.756252,192.474363,443442.578608,-17741.854049,-0.044143
2021-12-20,BTC-USD,MACD_Momentum,BUY,46730.416031,9,420.573744,210.181781,442601.641301,0.000000,0.000000
2022-01-05,BTC-USD,MACD_Momentum,SELL,45876.409695,9,412.887687,206.547117,434506.331254,-8305.491828,-0.019748
2022-01-15,BTC-USD,MACD_Momentum,BUY,43123.449387,9,388.111044,193.958543,433730.303124,0.000000,0.000000
2022-01-22,BTC-USD,MACD_Momentum,SELL,36453.354049,9,328.080186,164.122154,373401.201285,-60523.060382,-0.155943
2022-01-30,BTC-USD,MACD_Momentum,BUY,38170.993928,9,343.538945,171.683631,372714.295078,0.000000,0.000000
2022-02-19,BTC-USD,MACD_Momentum,SELL,40006.010426,9,360.054094,180.117105,388860.955992,15974.977283,0.046501
2022-03-01,BTC-USD,MACD_Momentum,BUY,43216.101158,8,345.728809,172.778016,388169.671151,0.000000,0.000000
2022-03-07,BTC-USD,MACD_Momentum,SELL,38410.090035,8,307.280720,153.717219,349433.362244,-38909.086923,-0.112542
2022-03-17,BTC-USD,MACD_Momentum,BUY,41161.414172,8,329.291313,164.563375,348774.944180,0.000000,0.000000
2022-04-06,BTC-USD,MACD_Momentum,SELL,45521.583291,8,364.172666,182.177422,383274.510420,34335.002865,0.104269
2022-05-05,BTC-USD,MACD_Momentum,BUY,39715.593967,9,357.440346,178.630857,382559.808360,0.000000,0.000000
2022-05-06,BTC-USD,MACD_Momentum,SELL,36554.897002,9,328.994073,164.579326,353798.593134,-28939.846083,-0.080964
2022-05-21,BTC-USD,MACD_Momentum,BUY,29214.459305,11,321.359052,160.599227,353156.035629,0.000000,0.000000
2022-06-13,BTC-USD,MACD_Momentum,SELL,26724.209336,11,293.966303,147.056680,325482.862217,-27833.772639,-0.086613
2022-06-26,BTC-USD,MACD_Momentum,BUY,21507.242388,14,301.101393,150.475459,324880.809905,0.000000,0.000000
2022-08-07,BTC-USD,MACD_Momentum,SELL,22952.024106,14,321.328337,160.744541,344776.156548,19744.871184,0.065575
2022-08-09,BTC-USD,MACD_Momentum,BUY,23823.390117,13,309.704072,154.774648,344156.903180,0.000000,0.000000
2022-08-18,BTC-USD,MACD_Momentum,SELL,23329.368543,13,303.281791,151.716754,337434.398819,-6877.279010,-0.022206
2022-09-10,BTC-USD,MACD_Momentum,BUY,21387.600565,14,299.426408,149.638385,336835.695641,0.000000,0.000000
2022-09-19,BTC-USD,MACD_Momentum,SELL,19408.862979,14,271.724082,135.930006,308875.353735,-28109.980291,-0.093879
2022-09-29,BTC-USD,MACD_Momentum,BUY,19437.493187,15,291.562398,145.708345,308292.374648,0.000000,0.000000
2022-10-13,BTC-USD,MACD_Momentum,SELL,19147.388313,15,287.210825,143.677251,303655.621821,-4782.461171,-0.016403
2022-10-14,BTC-USD,MACD_Momentum,BUY,19392.224470,14,271.491143,135.677732,303112.775214,0.000000,0.000000
2022-10-16,BTC-USD,MACD_Momentum,SELL,19059.379605,14,266.831314,133.482398,298188.311134,-5060.141813,-0.018638
2022-10-17,BTC-USD,MACD_Momentum,BUY,19278.196781,14,269.894755,134.879938,297648.656504,0.000000,0.000000
2022-11-09,BTC-USD,MACD_Momentum,SELL,18534.489838,14,259.482858,129.806332,286982.350044,-10801.186397,-0.040020
2022-11-25,BTC-USD,MACD_Momentum,BUY,16610.570666,16,265.769131,132.818156,286450.944601,0.000000,0.000000
2022-12-20,BTC-USD,MACD_Momentum,SELL,16433.566216,16,262.937059,131.534297,283357.220198,-3226.542559,-0.012140
2022-12-27,BTC-USD,MACD_Momentum,BUY,16927.750661,15,253.916260,126.894683,282849.514573,0.000000,0.000000
2022-12-28,BTC-USD,MACD_Momentum,SELL,16708.042190,15,250.620633,125.373003,279304.788559,-3671.620696,-0.014460
2023-01-04,BTC-USD,MACD_Momentum,BUY,16688.545181,15,250.328178,125.101538,278804.257305,0.000000,0.000000
2023-01-31,BTC-USD,MACD_Momentum,SELL,22829.376477,15,342.440647,171.305977,370528.081658,91598.722815,0.365915
2023-02-18,BTC-USD,MACD_Momentum,BUY,24577.579523,14,344.086113,171.957078,369840.081389,0.000000,0.000000
2023-02-25,BTC-USD,MACD_Momentum,SELL,23188.524938,14,324.639349,162.400875,350078.234040,-19933.804427,-0.057933
2023-03-15,BTC-USD,MACD_Momentum,BUY,24783.311244,13,322.183046,161.011018,349434.028958,0.000000,0.000000
2023-04-02,BTC-USD,MACD_Momentum,SELL,28448.614280,13,369.831986,185.008497,396689.138963,47094.098987,0.146172
2023-04-12,BTC-USD,MACD_Momentum,BUY,30246.697822,12,362.960374,181.389492,395963.399605,0.000000,0.000000
2023-04-18,BTC-USD,MACD_Momentum,SELL,29434.367251,12,353.212407,176.694551,385866.915283,-10277.873813,-0.028317
2023-05-28,BTC-USD,MACD_Momentum,BUY,26884.593782,13,349.499719,174.662528,385168.090508,0.000000,0.000000
2023-06-06,BTC-USD,MACD_Momentum,SELL,25719.243320,13,334.350163,167.258711,369691.588157,-15651.164879,-0.044782
2023-06-07,BTC-USD,MACD_Momentum,BUY,27249.268216,12,326.991219,163.413902,369037.769134,0.000000,0.000000
2023-06-08,BTC-USD,MACD_Momentum,SELL,26334.480470,12,316.013766,158.085926,357749.630392,-11451.552645,-0.035021
2023-06-18,BTC-USD,MACD_Momentum,BUY,26523.712260,12,318.284547,159.062742,357113.220360,0.000000,0.000000
2023-07-07,BTC-USD,MACD_Momentum,SELL,29893.044048,12,358.716529,179.447988,397166.100042,39893.816940,0.125340
2023-08-09,BTC-USD,MACD_Momentum,BUY,29781.578660,12,357.378944,178.600172,396451.520755,0.000000,0.000000
2023-08-17,BTC-USD,MACD_Momentum,SELL,28685.452833,12,344.225434,172.198816,382960.186750,-13669.934176,-0.038251
2023-08-30,BTC-USD,MACD_Momentum,BUY,27739.947026,13,360.619311,180.219546,382239.128347,0.000000,0.000000
2023-10-12,BTC-USD,MACD_Momentum,SELL,26859.856322,13,349.178132,174.676404,370454.314203,-11965.033690,-0.033179
2023-10-17,BTC-USD,MACD_Momentum,BUY,28536.358705,12,342.436304,171.132586,369769.612727,0.000000,0.000000
2023-11-07,BTC-USD,MACD_Momentum,SELL,35030.269072,12,420.363229,210.286758,447237.019733,77296.274420,0.225725
2023-11-11,BTC-USD,MACD_Momentum,BUY,37328.725348,11,410.615979,205.205387,446415.992980,0.000000,0.000000
2023-11-14,BTC-USD,MACD_Momentum,SELL,36473.543168,11,401.208975,200.704840,436612.280576,-10008.917791,-0.024375
2023-12-03,BTC-USD,MACD_Momentum,BUY,39491.943135,10,394.919431,197.361035,435822.639074,0.000000,0.000000
2023-12-13,BTC-USD,MACD_Momentum,SELL,41447.730611,10,414.477306,207.342324,454956.055245,18936.055135,0.047949
2024-01-09,BTC-USD,MACD_Momentum,BUY,47011.134445,9,423.100210,211.444383,454110.066269,0.000000,0.000000
2024-01-13,BTC-USD,MACD_Momentum,SELL,42778.045590,9,385.002410,192.597504,415646.111038,-38675.399613,-0.091410
2024-01-30,BTC-USD,MACD_Momentum,BUY,43321.876676,9,389.896890,194.851020,414866.512109,0.000000,0.000000
2024-02-24,BTC-USD,MACD_Momentum,SELL,50711.002908,9,456.399026,228.313670,480878.786524,65817.423396,0.168807
2024-02-28,BTC-USD,MACD_Momentum,BUY,57099.633205,8,456.797066,228.284391,479965.420677,0.000000,0.000000
2024-03-17,BTC-USD,MACD_Momentum,SELL,65283.685578,8,522.269485,261.265375,544882.589193,64688.884125,0.141614
2024-05-06,BTC-USD,MACD_Momentum,BUY,64070.331656,8,512.562653,256.153250,543857.720040,0.000000,0.000000
2024-05-12,BTC-USD,MACD_Momentum,SELL,60763.107154,8,486.104857,243.174016,516926.798401,-27187.074888,-0.053041
2024-05-13,BTC-USD,MACD_Momentum,BUY,61481.944359,7,430.373611,215.079266,516066.266259,0.000000,0.000000
2024-05-31,BTC-USD,MACD_Momentum,SELL,68328.334367,7,478.298341,239.268805,563488.508434,47207.162909,0.109689
2024-06-06,BTC-USD,MACD_Momentum,BUY,71118.385172,7,497.828696,248.789953,562493.099832,0.000000,0.000000
2024-06-09,BTC-USD,MACD_Momentum,SELL,69262.843441,7,484.839904,242.541223,549025.716545,-13716.173240,-0.027552
2024-07-13,BTC-USD,MACD_Momentum,BUY,57937.692650,9,521.439234,260.589322,547983.098667,0.000000,0.000000
2024-08-01,BTC-USD,MACD_Momentum,SELL,64593.526924,9,581.341742,290.816279,607274.038428,59030.350439,0.113207
2024-08-20,BTC-USD,MACD_Momentum,BUY,59523.199852,9,535.708799,267.720539,606202.888551,0.000000,0.000000
2024-08-31,BTC-USD,MACD_Momentum,SELL,59087.921729,9,531.791296,266.028662,601755.286025,-4715.323065,-0.008802
2024-09-13,BTC-USD,MACD_Momentum,BUY,58159.389381,9,523.434504,261.586459,600708.678603,0.000000,0.000000
2024-10-02,BTC-USD,MACD_Momentum,SELL,60805.906057,9,547.253155,273.763459,623967.898531,22997.633469,0.043936
2024-10-15,BTC-USD,MACD_Momentum,BUY,66083.392371,8,528.667139,264.201469,622910.828454,0.000000,0.000000
2024-10-27,BTC-USD,MACD_Momentum,SELL,66989.964824,8,535.919719,268.093906,629623.595923,6448.566000,0.012198
2024-10-29,BTC-USD,MACD_Momentum,BUY,69945.001898,8,559.560015,279.640188,628504.755533,0.000000,0.000000
2024-11-04,BTC-USD,MACD_Momentum,SELL,68707.761746,8,549.662094,274.968531,618061.843876,-10722.551844,-0.019162
2024-11-07,BTC-USD,MACD_Momentum,BUY,75674.904480,7,529.724331,264.729801,617002.659943,0.000000,0.000000
2024-11-27,BTC-USD,MACD_Momentum,SELL,91932.151555,7,643.525061,321.923492,730102.670711,112835.280966,0.213008
2024-12-17,BTC-USD,MACD_Momentum,BUY,106083.702844,6,636.502217,318.092062,728829.984369,0.000000,0.000000
2024-12-19,BTC-USD,MACD_Momentum,SELL,100020.652156,6,600.123913,300.212063,691869.436331,-37278.640100,-0.058568
2025-01-06,BTC-USD,MACD_Momentum,BUY,98364.110602,6,590.184664,294.944859,690689.361948,0.000000,0.000000
