date,ticker,strategy,action,price,quantity,cost,slippage,portfolio_value,realized_pnl,trade_return
2020-04-20,BTC-USD,MA_Cross,BUY,7190.466972,13,93.476071,46.714678,99813.094573,0.000000,0.000000
2020-06-30,BTC-USD,MA_Cross,SELL,9180.988264,13,119.352847,59.706277,125557.526926,25697.717675,0.274912
2020-07-28,BTC-USD,MA_Cross,BUY,11022.972599,10,110.229726,55.087319,125337.122562,0.000000,0.000000
2020-09-10,BTC-USD,MA_Cross,SELL,10237.208913,10,102.372089,51.211650,117380.989281,-8011.220600,-0.072677
2020-10-14,BTC-USD,MA_Cross,BUY,11434.762375,9,102.912861,51.430715,117175.214989,0.000000,0.000000
2021-04-28,BTC-USD,MA_Cross,SELL,55009.118400,9,495.082066,247.664865,508653.102998,391426.457293,3.803475
2021-08-02,BTC-USD,MA_Cross,BUY,39927.215350,12,479.126584,239.443570,507695.089273,0.000000,0.000000
2021-09-24,BTC-USD,MA_Cross,SELL,44871.853631,12,538.462244,269.365805,566462.364170,58527.831327,0.122155
2021-10-12,BTC-USD,MA_Cross,BUY,57555.595447,9,518.000359,258.870744,565426.622322,0.000000,0.000000
2021-11-28,BTC-USD,MA_Cross,SELL,54785.616926,9,493.070552,246.658605,540015.957215,-25669.535851,-0.049555
2022-02-20,BTC-USD,MA_Cross,BUY,40138.160613,12,481.657927,240.708609,539052.882069,0.000000,0.000000
2022-03-08,BTC-USD,MA_Cross,SELL,38040.872393,12,456.490469,228.359414,513441.282148,-25852.308531,-0.053674
2022-03-20,BTC-USD,MA_Cross,BUY,42212.501953,11,464.337521,232.052734,512512.839157,0.000000,0.000000
2022-03-21,BTC-USD,MA_Cross,SELL,41225.509746,11,453.480607,226.853730,501207.643277,-11537.248615,-0.024847
2022-03-28,BTC-USD,MA_Cross,BUY,46845.262488,10,468.452625,234.109258,500270.972136,0.000000,0.000000
2022-04-23,BTC-USD,MA_Cross,SELL,39718.853295,10,397.188533,198.693613,428645.107314,-71859.974080,-0.153399
2022-07-29,BTC-USD,MA_Cross,BUY,23857.135497,17,405.571303,202.684310,427834.167392,0.000000,0.000000
2022-08-30,BTC-USD,MA_Cross,SELL,20288.462022,17,344.903854,172.538196,366851.960582,-61184.891119,-0.150861
2022-11-01,BTC-USD,MA_Cross,BUY,20505.145887,17,348.587480,174.206637,366154.959829,0.000000,0.000000
2022-11-15,BTC-USD,MA_Cross,SELL,16609.175633,17,282.355986,141.248617,299674.067546,-66655.098919,-0.191215
2022-12-26,BTC-USD,MA_Cross,BUY,16850.671125,16,269.610738,134.738000,299134.980808,0.000000,0.000000
2023-01-04,BTC-USD,MA_Cross,SELL,16671.864976,16,266.749840,133.441641,296008.628937,-3261.089871,-0.012096
2023-01-13,BTC-USD,MA_Cross,BUY,18878.340703,14,264.296770,132.082344,295480.167480,0.000000,0.000000
2023-03-11,BTC-USD,MA_Cross,SELL,20177.783015,14,282.488962,141.315139,313380.638084,17768.388260,0.067229
2023-03-20,BTC-USD,MA_Cross,BUY,28055.622363,10,280.556224,140.208008,312819.665845,0.000000,0.000000
2023-05-09,BTC-USD,MA_Cross,SELL,27681.220825,10,276.812208,138.475342,308800.570922,-4159.302931,-0.014825
2023-06-26,BTC-USD,MA_Cross,BUY,30495.763699,9,274.461873,137.162355,308251.784337,0.000000,0.000000
2023-08-04,BTC-USD,MA_Cross,SELL,29159.795621,9,262.438161,131.284723,295971.511106,-12417.435586,-0.045243
2023-10-02,BTC-USD,MA_Cross,BUY,27990.787228,10,279.907872,139.883994,295411.835246,0.000000,0.000000
2024-01-25,BTC-USD,MA_Cross,SELL,40055.513006,10,400.555130,200.377754,415598.044139,120046.324899,0.428878
2024-02-12,BTC-USD,MA_Cross,BUY,48320.534912,8,386.564279,193.185547,414825.108766,0.000000,0.000000
2024-04-20,BTC-USD,MA_Cross,SELL,63819.176012,8,510.553408,255.404406,538241.465296,123223.170983,0.318765
2024-05-26,BTC-USD,MA_Cross,BUY,69298.921207,7,485.092448,242.425012,537271.522824,0.000000,0.000000
2024-06-26,BTC-USD,MA_Cross,SELL,61758.780943,7,432.311467,216.263865,484084.390658,-53429.557178,-0.110143
2024-07-29,BTC-USD,MA_Cross,BUY,68293.184215,6,409.759105,204.777164,483265.077224,0.000000,0.000000
2024-08-15,BTC-USD,MA_Cross,SELL,58703.895088,6,352.223371,176.199785,425405.696471,-58064.157917,-0.141703
2024-09-26,BTC-USD,MA_Cross,BUY,63170.116148,6,379.020697,189.415641,424647.844493,0.000000,0.000000
2025-01-06,BTC-USD,MA_Cross,SELL,98265.795648,6,589.594774,294.944859,634526.797500,209689.537367,0.553240
2025-01-22,BTC-USD,MA_Cross,BUY,106189.451004,5,530.947255,265.340957,633465.168331,0.000000,0.000000
2025-02-17,BTC-USD,MA_Cross,SELL,96130.918309,5,480.654592,240.447520,582716.743701,-51013.765588,-0.096081
2025-04-25,BTC-USD,MA_Cross,BUY,94001.227125,5,470.006136,234.885625,581776.966315,0.000000,0.000000
2025-06-30,BTC-USD,MA_Cross,SELL,108329.245781,5,541.646229,270.958594,652839.340399,70827.488459,0.150695
2025-07-09,BTC-USD,MA_Cross,BUY,109004.748574,5,545.023743,272.375684,651749.565289,0.000000,0.000000
2025-08-26,BTC-USD,MA_Cross,SELL,110069.039512,5,550.345198,275.310254,656517.740208,4495.799236,0.008249
2025-09-28,BTC-USD,MA_Cross,BUY,109736.786285,5,548.683931,274.204863,655420.646550,0.000000,0.000000
2025-10-24,BTC-USD,MA_Cross,SELL,110014.316887,5,550.071584,275.173379,656257.259458,562.408044,0.001025
