date,ticker,strategy,action,price,quantity,cost,slippage,portfolio_value,realized_pnl,trade_return
2020-02-27,BTC-USD,RSI_Mean_Reversion,BUY,8829.506297,10,88.295063,44.125469,99867.579468,0.000000,0.000000
2020-03-27,BTC-USD,RSI_Mean_Reversion,SELL,6716.029466,10,67.160295,33.596946,78709.776329,-21290.223671,-0.240885
2020-09-04,BTC-USD,RSI_Mean_Reversion,BUY,10235.480417,7,71.648363,35.806278,78602.321688,0.000000,0.000000
2020-09-20,BTC-USD,RSI_Mean_Reversion,SELL,11090.322182,7,77.632255,38.835545,84544.388067,5834.611738,0.081353
2021-04-25,BTC-USD,RSI_Mean_Reversion,BUY,50077.858447,1,50.077858,25.026416,84469.283793,0.000000,0.000000
2021-07-28,BTC-USD,RSI_Mean_Reversion,SELL,39483.435906,1,39.483436,19.751594,73860.404232,-10683.983835,-0.213134
2021-09-21,BTC-USD,RSI_Mean_Reversion,BUY,43033.740492,1,43.033740,21.506117,73795.864374,0.000000,0.000000
2021-10-06,BTC-USD,RSI_Mean_Reversion,SELL,51460.920730,1,51.460921,25.743332,82193.089809,8332.685577,0.193438
2021-11-23,BTC-USD,RSI_Mean_Reversion,BUY,56332.706965,1,56.332707,28.152277,82108.604825,0.000000,0.000000
2022-02-05,BTC-USD,RSI_Mean_Reversion,SELL,41480.729729,1,41.480730,20.750740,67243.299136,-14949.790673,-0.265119
2022-02-22,BTC-USD,RSI_Mean_Reversion,BUY,37087.303916,1,37.087304,18.534385,67187.677447,0.000000,0.000000
2022-03-25,BTC-USD,RSI_Mean_Reversion,SELL,43942.564602,1,43.942565,21.982273,74017.529953,6774.230817,0.182474
2022-04-11,BTC-USD,RSI_Mean_Reversion,BUY,42222.139582,1,42.222140,21.100520,73954.207294,0.000000,0.000000
2022-08-09,BTC-USD,RSI_Mean_Reversion,SELL,23799.578633,1,23.799579,11.905742,55528.947285,-18488.582667,-0.437451
2022-08-25,BTC-USD,RSI_Mean_Reversion,BUY,21406.156714,2,42.812313,21.395459,55464.739513,0.000000,0.000000
2022-10-27,BTC-USD,RSI_Mean_Reversion,SELL,20762.416333,2,41.524833,20.772803,54157.129378,-1371.817908,-0.032011
2022-11-10,BTC-USD,RSI_Mean_Reversion,BUY,15891.099782,3,47.673299,23.824737,54085.631341,0.000000,0.000000
2022-12-14,BTC-USD,RSI_Mean_Reversion,SELL,17773.175373,3,53.319526,26.673100,59702.363325,5545.233947,0.116201
2022-12-28,BTC-USD,RSI_Mean_Reversion,BUY,16724.758591,3,50.174276,25.074601,59627.114448,0.000000,0.000000
2023-01-11,BTC-USD,RSI_Mean_Reversion,SELL,17437.636195,3,52.312909,26.169539,61738.508954,2036.145629,0.040541
2023-03-04,BTC-USD,RSI_Mean_Reversion,BUY,22374.105290,2,44.748211,22.362924,61671.397819,0.000000,0.000000
2023-03-18,BTC-USD,RSI_Mean_Reversion,SELL,27434.393129,2,54.868786,27.448117,71759.467635,10020.958681,0.223717
2023-05-12,BTC-USD,RSI_Mean_Reversion,BUY,27001.155940,2,54.002312,26.987662,71678.477661,0.000000,0.000000
2023-06-22,BTC-USD,RSI_Mean_Reversion,SELL,29980.937579,2,59.961875,29.995936,77605.066725,5845.599090,0.108139
2023-07-28,BTC-USD,RSI_Mean_Reversion,BUY,29226.770145,2,58.453540,29.212164,77517.401021,0.000000,0.000000
2023-10-09,BTC-USD,RSI_Mean_Reversion,SELL,27920.505420,2,55.841011,27.934473,74878.242725,-2726.824000,-0.046603
2024-01-23,BTC-USD,RSI_Mean_Reversion,BUY,39538.474201,1,39.538474,19.759357,74818.944893,0.000000,0.000000
2024-02-06,BTC-USD,RSI_Mean_Reversion,SELL,42636.061930,1,42.636062,21.328695,77893.655917,3015.413192,0.076189
2024-06-19,BTC-USD,RSI_Mean_Reversion,BUY,65179.233486,1,65.179233,32.573330,77795.903353,0.000000,0.000000
2024-07-19,BTC-USD,RSI_Mean_Reversion,SELL,63940.338057,1,63.940338,31.986162,76525.640916,-1368.015001,-0.020968
2024-08-04,BTC-USD,RSI_Mean_Reversion,BUY,60706.431797,1,60.706432,30.338047,76434.596437,0.000000,0.000000
2024-09-20,BTC-USD,RSI_Mean_Reversion,SELL,62909.955068,1,62.909955,31.470713,78605.547800,2079.906885,0.034227
2024-10-11,BTC-USD,RSI_Mean_Reversion,BUY,60305.598668,1,60.305599,30.137730,78515.104471,0.000000,0.000000
2024-10-16,BTC-USD,RSI_Mean_Reversion,SELL,67008.939707,1,67.008940,33.521230,85181.574301,6576.026501,0.108936
2025-04-08,BTC-USD,RSI_Mean_Reversion,BUY,79258.085801,1,79.258086,39.609238,85062.706977,0.000000,0.000000
2025-04-23,BTC-USD,RSI_Mean_Reversion,SELL,93380.872145,1,93.380872,46.713793,99131.721687,13950.147386,0.175833
2025-11-18,BTC-USD,RSI_Mean_Reversion,BUY,92140.578516,1,92.140579,46.047266,98993.533843,0.000000,0.000000
