date,portfolio_value,cash,holdings,total_return,drawdown
2020-01-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-08,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-15,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-16,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-17,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-22,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-23,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-28,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-29,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-30,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-31,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-12,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-19,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-20,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-25,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-26,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-28,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-12,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-16,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-17,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-19,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-20,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-23,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-25,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-26,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-27,98569.024013,7551.425868,91017.598145,-0.014310,-0.014310
2020-03-30,104971.263270,7551.425868,97419.837402,0.049713,0.000000
2020-03-31,103439.109950,7551.425868,95887.684082,0.034391,-0.014596
2020-04-01,100034.306239,7551.425868,92482.880371,0.000343,-0.047032
2020-04-02,101949.502528,7551.425868,94398.076660,0.019495,-0.028787
2020-04-03,101080.066981,7551.425868,93528.641113,0.010801,-0.037069
2020-04-06,108035.588466,7551.425868,100484.162598,0.080356,0.000000
2020-04-07,106953.349208,7551.425868,99401.923340,0.069533,-0.010017
2020-04-08,107950.468837,7551.425868,100399.042969,0.079505,-0.000788
2020-04-09,107956.545497,7551.425868,100405.119629,0.079565,-0.000732
2020-04-13,108181.502528,7551.425868,100630.076660,0.081815,0.000000
2020-04-14,113161.024013,7551.425868,105609.598145,0.131610,0.000000
2020-04-15,112054.468837,7551.425868,104503.042969,0.120545,-0.009779
2020-04-16,115191.741786,7551.425868,107640.315918,0.151917,0.000000
2020-04-17,116140.229579,7551.425868,108588.803711,0.161402,0.000000
2020-04-20,113987.904384,7551.425868,106436.478516,0.139879,-0.018532
2020-04-21,109585.990321,7551.425868,102034.564453,0.095860,-0.056434
2020-04-22,113051.588466,7551.425868,105500.162598,0.130516,-0.026594
2020-04-23,111774.784755,7551.425868,104223.358887,0.117748,-0.037588
2020-04-24,113677.827723,7551.425868,106126.401855,0.136778,-0.021202
2020-04-27,113373.827723,7551.425868,105822.401855,0.133738,-0.023819
2020-04-28,110795.904384,7551.425868,103244.478516,0.107959,-0.046016
2020-04-29,115428.861415,7551.425868,107877.435547,0.154289,-0.006125
2020-04-30,116511.109950,7551.425868,108959.684082,0.165111,0.000000
2020-05-01,113689.990321,7551.425868,106138.564453,0.136900,-0.024213
2020-05-04,116286.143641,7551.425868,108734.717773,0.162861,-0.001931
2020-05-05,117453.502528,7551.425868,109902.076660,0.174535,0.000000
2020-05-06,118535.741786,7551.425868,110984.315918,0.185357,0.000000
2020-05-07,119180.229579,7551.425868,111628.803711,0.191802,0.000000
2020-05-08,119836.861415,7551.425868,112285.435547,0.198369,0.000000
2020-05-11,121089.349208,7551.425868,113537.923340,0.210893,0.000000
2020-05-12,118517.502528,7551.425868,110966.076660,0.185175,-0.021239
2020-05-13,116839.425868,7551.425868,109288.000000,0.168394,-0.035097
2020-05-14,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-05-15,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-05-18,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-05-19,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-05-20,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-05-21,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-05-22,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-05-26,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-05-27,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-05-28,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-05-29,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-06-01,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-06-02,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-06-03,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-06-04,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-06-05,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-06-08,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-06-09,115279.907126,115279.907126,0.000000,0.152799,-0.047976
2020-06-10,118353.953029,4777.275142,113576.677887,0.183540,-0.022590
2020-06-11,112255.067607,4777.275142,107477.792465,0.122551,-0.072957
2020-06-12,113103.258312,4777.275142,108325.983170,0.131033,-0.065952
2020-06-15,113795.656551,4777.275142,109018.381409,0.137957,-0.060234
2020-06-16,115852.265380,115852.265380,0.000000,0.158523,-0.043250
2020-06-17,115181.939726,4853.616606,110328.323120,0.151819,-0.048786
2020-06-18,116363.380766,4853.616606,111509.764160,0.163634,-0.039029
2020-06-19,115698.813139,4853.616606,110845.196533,0.156988,-0.044517
2020-06-22,118777.380766,4853.616606,113923.764160,0.187774,-0.019093
2020-06-23,119538.498686,4853.616606,114684.882080,0.195385,-0.012807
2020-06-24,117226.734526,4853.616606,112373.117920,0.172267,-0.031899
2020-06-25,118646.734526,4853.616606,113793.117920,0.186467,-0.020172
2020-06-26,116369.057646,4853.616606,111515.441040,0.163691,-0.038982
2020-06-29,117567.537993,4853.616606,112713.921387,0.175675,-0.029084
2020-06-30,120447.293486,4853.616606,115593.676880,0.204473,-0.005302
2020-07-01,121123.214872,4853.616606,116269.598267,0.211232,0.000000
2020-07-02,122009.293486,4853.616606,117155.676880,0.220093,0.000000
2020-07-06,124531.214872,4853.616606,119677.598267,0.245312,0.000000
2020-07-07,123139.616606,4853.616606,118286.000000,0.231396,-0.011175
2020-07-08,125741.057646,4853.616606,120887.441040,0.257411,0.000000
2020-07-09,126587.380766,4853.616606,121733.764160,0.265874,0.000000
2020-07-10,126218.175566,4853.616606,121364.558960,0.262182,-0.002917
2020-07-13,122469.380766,4853.616606,117615.764160,0.224694,-0.032531
2020-07-14,123196.420073,4853.616606,118342.803467,0.231964,-0.026788
2020-07-15,123020.332792,4853.616606,118166.716187,0.230203,-0.028179
2020-07-16,121287.537080,121287.537080,0.000000,0.212875,-0.041867
2020-07-17,121287.537080,121287.537080,0.000000,0.212875,-0.041867
2020-07-20,121287.537080,121287.537080,0.000000,0.212875,-0.041867
2020-07-21,121287.537080,121287.537080,0.000000,0.212875,-0.041867
2020-07-22,121287.537080,121287.537080,0.000000,0.212875,-0.041867
