date,ticker,strategy,action,price,quantity,cost,slippage,portfolio_value,realized_pnl,trade_return
2020-04-23,MSFT,MA_Cross,BUY,174.197056,547,95.285789,47.619085,99857.095125,0.000000,0.000000
2020-09-29,MSFT,MA_Cross,SELL,209.245331,547,114.457196,57.257227,118961.663707,18961.663707,0.198799
2020-10-22,MSFT,MA_Cross,BUY,214.036958,526,112.583440,56.263588,118792.816680,0.000000,0.000000
2020-12-15,MSFT,MA_Cross,SELL,215.062413,526,113.122829,56.589710,119275.347030,313.683323,0.002783
2020-12-21,MSFT,MA_Cross,BUY,217.658778,518,112.747247,56.345451,119106.254332,0.000000,0.000000
2021-03-24,MSFT,MA_Cross,SELL,237.731081,518,123.144700,61.603152,129436.908062,10161.561031,0.090037
2021-04-08,MSFT,MA_Cross,BUY,252.896389,492,124.425024,62.181421,129250.301617,0.000000,0.000000
2021-05-27,MSFT,MA_Cross,SELL,251.044413,492,123.513851,61.787820,128277.796943,-1159.111118,-0.009306
2021-06-21,MSFT,MA_Cross,BUY,259.949917,469,121.916511,60.927792,128094.952640,0.000000,0.000000
2021-10-07,MSFT,MA_Cross,SELL,295.032403,469,138.370197,69.219708,144471.195865,16193.398922,0.132691
2021-10-28,MSFT,MA_Cross,BUY,324.492152,424,137.584672,68.757957,144264.853236,0.000000,0.000000
2022-01-07,MSFT,MA_Cross,SELL,313.992919,424,133.132998,66.599799,139748.803545,-4722.392320,-0.034289
2022-04-05,MSFT,MA_Cross,BUY,313.426624,421,131.952609,65.943333,139550.907603,0.000000,0.000000
2022-04-27,MSFT,MA_Cross,SELL,281.958956,421,118.704721,59.382051,126250.258026,-13498.545518,-0.102196
2022-07-22,MSFT,MA_Cross,BUY,265.372610,452,119.948420,59.944238,126070.365369,0.000000,0.000000
2022-07-26,MSFT,MA_Cross,SELL,259.730055,452,117.397985,58.728357,123462.476820,-2787.781206,-0.023218
2022-07-29,MSFT,MA_Cross,BUY,277.838862,424,117.803678,58.872403,123285.800740,0.000000,0.000000
2022-09-14,MSFT,MA_Cross,SELL,253.403234,424,107.442971,53.748360,112876.523716,-10585.953104,-0.089771
2022-12-01,MSFT,MA_Cross,BUY,253.996930,420,106.678711,53.312699,112716.532306,0.000000,0.000000
2023-01-11,MSFT,MA_Cross,SELL,231.174348,420,97.093226,48.570899,103087.267412,-9789.256304,-0.091672
2023-02-08,MSFT,MA_Cross,BUY,273.336612,366,100.041200,49.995602,102937.230610,0.000000,0.000000
2023-08-15,MSFT,MA_Cross,SELL,322.838500,366,118.158891,59.109000,120986.758251,17899.490839,0.178742
2023-10-26,MSFT,MA_Cross,BUY,340.710279,337,114.819364,57.380991,120814.557896,0.000000,0.000000
2024-04-30,MSFT,MA_Cross,SELL,401.289245,337,135.234476,67.651063,141151.816186,20165.057935,0.175449
2024-05-30,MSFT,MA_Cross,BUY,424.512138,312,132.447787,66.190798,140953.177601,0.000000,0.000000
2024-08-06,MSFT,MA_Cross,SELL,399.800000,312,124.737600,62.400000,133184.443810,-7967.372376,-0.060095
2024-09-25,MSFT,MA_Cross,BUY,430.044902,294,126.433201,63.185008,132994.825600,0.000000,0.000000
2024-10-23,MSFT,MA_Cross,SELL,430.644555,294,126.609499,63.336418,133107.699324,-76.744485,-0.000606
2024-12-04,MSFT,MA_Cross,BUY,433.246514,293,126.941229,63.438895,132917.319201,0.000000,0.000000
2025-01-21,MSFT,MA_Cross,SELL,429.984912,293,125.985579,63.024302,131899.123254,-1208.576070,-0.009511
2025-05-07,MSFT,MA_Cross,BUY,434.056916,289,125.442449,62.689879,131710.990926,0.000000,0.000000
2025-09-10,MSFT,MA_Cross,SELL,502.728521,289,145.288543,72.680612,151474.486005,19575.362751,0.155895
2025-10-09,MSFT,MA_Cross,BUY,522.601197,274,143.192728,71.560584,151259.732694,0.000000,0.000000
2025-11-20,MSFT,MA_Cross,SELL,492.463636,274,134.935036,67.501269,142938.666689,-8535.819317,-0.059551
