date,portfolio_value,cash,holdings,total_return,drawdown
2020-01-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-08,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-15,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-16,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-17,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-22,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-23,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-28,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-29,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-30,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-31,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-12,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-19,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-20,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-25,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-26,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-28,105577.056779,8371.060075,97205.996704,0.055771,0.000000
2020-03-02,112045.056047,8371.060075,103673.995972,0.120451,0.000000
2020-03-03,107077.056779,8371.060075,98705.996704,0.070771,-0.044339
2020-03-04,110701.061906,8371.060075,102330.001831,0.107011,-0.011995
2020-03-05,108133.062639,8371.060075,99762.002563,0.081331,-0.034914
2020-03-06,105313.064470,8371.060075,96942.004395,0.053131,-0.060083
2020-03-09,98743.057146,8371.060075,90371.997070,-0.012569,-0.118720
2020-03-10,104923.058977,8371.060075,96551.998901,0.049231,-0.063564
2020-03-11,100549.063005,8371.060075,92178.002930,0.005491,-0.102602
2020-03-12,91807.058610,8371.060075,83435.998535,-0.081929,-0.180624
2020-03-13,103669.061174,8371.060075,95298.001099,0.036691,-0.074756
2020-03-16,89623.058977,8371.060075,81251.998901,-0.103769,-0.200116
2020-03-17,96313.064470,8371.060075,87942.004395,-0.036869,-0.140408
2020-03-18,92611.056413,8371.060075,84239.996338,-0.073889,-0.173448
2020-03-19,93997.064104,8371.060075,85626.004028,-0.060029,-0.161078
2020-03-20,90781.063737,8371.060075,82410.003662,-0.092189,-0.189781
2020-03-23,89959.057512,8371.060075,81587.997437,-0.100409,-0.197117
2020-03-24,97375.057878,8371.060075,89003.997803,-0.026249,-0.130929
2020-03-25,96523.058977,8371.060075,88151.998901,-0.034769,-0.138534
2020-03-26,102037.060442,8371.060075,93666.000366,0.020371,-0.089321
2020-03-27,98191.058244,8371.060075,89819.998169,-0.018089,-0.123647
2020-03-30,104509.057512,8371.060075,96137.997437,0.045091,-0.067259
2020-03-31,102997.064104,8371.060075,94626.004028,0.029971,-0.080753
2020-04-01,99637.060442,8371.060075,91266.000366,-0.003629,-0.110741
2020-04-02,101527.056779,8371.060075,93155.996704,0.015271,-0.093873
2020-04-03,100669.061174,8371.060075,92298.001099,0.006691,-0.101531
2020-04-06,107533.062639,8371.060075,99162.002563,0.075331,-0.040269
2020-04-07,106465.063371,8371.060075,98094.003296,0.064651,-0.049801
2020-04-08,107449.063005,8371.060075,99078.002930,0.074491,-0.041019
2020-04-09,107455.059709,8371.060075,99083.999634,0.074551,-0.040966
2020-04-13,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-04-14,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-04-15,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-04-16,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-04-17,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-04-20,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-04-21,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-04-22,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-04-23,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-04-24,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-04-27,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-04-28,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-04-29,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-04-30,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-01,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-04,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-05,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-06,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-07,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-08,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-11,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-12,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-13,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-14,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-15,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-18,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-19,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-20,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-21,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-22,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-26,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-27,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-28,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-05-29,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-01,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-02,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-03,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-04,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-05,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-08,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-09,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-10,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-11,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-12,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-15,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-16,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-17,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-18,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-19,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-22,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-23,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-24,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-25,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-26,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-29,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-06-30,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-07-01,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-07-02,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-07-06,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-07-07,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-07-08,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-07-09,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-07-10,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-07-13,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-07-14,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-07-15,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-07-16,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-07-17,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-07-20,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-07-21,106783.893035,106783.893035,0.000000,0.067839,-0.046956
2020-07-22,106783.893035,106783.893035,0.000000,0.067839,-0.046956
