date,ticker,strategy,action,price,quantity,cost,slippage,portfolio_value,realized_pnl,trade_return
2020-03-27,SPY,MACD_Momentum,BUY,253.396639,363,91.982980,45.968506,99862.048514,0.000000,0.000000
2020-05-14,SPY,MACD_Momentum,SELL,278.810537,363,101.208225,50.629427,109032.053742,9032.053742,0.098095
2020-05-20,SPY,MACD_Momentum,BUY,295.967917,354,104.772643,52.360141,108874.920958,0.000000,0.000000
2020-06-12,SPY,MACD_Momentum,SELL,308.085870,354,109.062398,54.558478,113107.974032,4075.920290,0.038864
2020-07-09,SPY,MACD_Momentum,BUY,316.998416,339,107.462463,53.704379,112946.807190,0.000000,0.000000
2020-07-29,SPY,MACD_Momentum,SELL,321.958935,339,109.144079,54.599339,114572.983358,1465.009325,0.013619
2020-08-04,SPY,MACD_Momentum,BUY,328.023915,331,108.575916,54.260828,114410.146614,0.000000,0.000000
2020-08-21,SPY,MACD_Momentum,SELL,337.751053,331,111.795599,55.925762,117572.294546,2999.311189,0.027596
2020-08-25,SPY,MACD_Momentum,BUY,343.701764,325,111.703073,55.823625,117404.767848,0.000000,0.000000
2020-09-08,SPY,MACD_Momentum,SELL,336.541636,325,109.376032,54.715374,115024.174062,-2548.120484,-0.022789
2020-10-02,SPY,MACD_Momentum,BUY,331.865862,324,107.524539,53.735402,114862.914121,0.000000,0.000000
2020-10-23,SPY,MACD_Momentum,SELL,345.757028,324,112.025277,56.040659,119305.361857,4281.187795,0.039776
2020-11-06,SPY,MACD_Momentum,BUY,350.104958,323,113.083901,56.513694,119135.764262,0.000000,0.000000
2020-12-11,SPY,MACD_Momentum,SELL,364.717544,323,117.803767,58.931349,123794.339541,4488.977683,0.039656
2021-01-08,SPY,MACD_Momentum,BUY,380.780291,310,118.041890,58.991449,123617.306201,0.000000,0.000000
2021-01-19,SPY,MACD_Momentum,SELL,378.150826,310,117.226756,58.642699,122743.936745,-1050.402795,-0.008890
2021-01-21,SPY,MACD_Momentum,BUY,384.682235,303,116.558717,58.250234,122569.127794,0.000000,0.000000
2021-01-28,SPY,MACD_Momentum,SELL,376.171805,303,113.980057,57.018538,119934.737720,-2809.199025,-0.024077
2021-02-08,SPY,MACD_Momentum,BUY,389.464624,293,114.113135,57.028053,119763.596532,0.000000,0.000000
2021-02-23,SPY,MACD_Momentum,SELL,384.467674,293,112.649028,56.352691,118243.869105,-1690.868615,-0.014803
2021-03-12,SPY,MACD_Momentum,BUY,392.266042,285,111.795822,55.869976,118076.203307,0.000000,0.000000
2021-03-24,SPY,MACD_Momentum,SELL,390.804500,285,111.379283,55.717500,117604.154437,-639.714668,-0.005716
2021-03-30,SPY,MACD_Momentum,BUY,394.617223,282,111.282057,55.613222,117437.259158,0.000000,0.000000
2021-04-26,SPY,MACD_Momentum,SELL,417.231282,282,117.659222,58.859040,123752.377798,6148.223361,0.055194
2021-05-28,SPY,MACD_Momentum,BUY,421.180486,280,117.930536,58.935800,123575.511462,0.000000,0.000000
2021-06-18,SPY,MACD_Momentum,SELL,416.881451,280,116.726806,58.392599,122313.990689,-1438.387109,-0.012185
2021-06-28,SPY,MACD_Momentum,BUY,427.383598,272,116.248339,58.095122,122139.647228,0.000000,0.000000
2021-07-19,SPY,MACD_Momentum,SELL,425.976907,272,115.865719,57.961840,121699.256681,-614.734008,-0.005283
2021-07-26,SPY,MACD_Momentum,BUY,439.529653,262,115.156769,57.549610,121526.550302,0.000000,0.000000
2021-08-03,SPY,MACD_Momentum,SELL,438.220782,262,114.813845,57.435640,121126.362096,-572.894585,-0.004970
2021-08-04,SPY,MACD_Momentum,BUY,439.999889,260,114.399971,57.171400,120954.790725,0.000000,0.000000
2021-08-05,SPY,MACD_Momentum,SELL,439.999891,260,114.399972,57.228600,120897.562788,-228.799308,-0.001998
2021-08-09,SPY,MACD_Momentum,BUY,442.681221,259,114.654436,57.298569,120725.609783,0.000000,0.000000
2021-08-19,SPY,MACD_Momentum,SELL,436.051854,259,112.937430,56.496964,118952.964757,-1944.598031,-0.016944
2021-08-26,SPY,MACD_Momentum,BUY,448.834290,251,112.657407,56.300553,118784.006796,0.000000,0.000000
2021-08-27,SPY,MACD_Momentum,SELL,446.896435,251,112.171005,56.113559,118241.734683,-711.230073,-0.006307
2021-08-30,SPY,MACD_Momentum,BUY,451.195486,249,112.347676,56.145765,118073.241242,0.000000,0.000000
2021-09-09,SPY,MACD_Momentum,SELL,450.474662,249,112.168191,56.112152,117837.733635,-404.001048,-0.003592
2021-10-11,SPY,MACD_Momentum,BUY,437.378584,255,111.531539,55.737900,117670.464196,0.000000,0.000000
2021-11-18,SPY,MACD_Momentum,SELL,469.005370,255,119.596369,59.828099,125671.436303,7833.702668,0.070167
2021-12-13,SPY,MACD_Momentum,BUY,470.425097,253,119.017550,59.479035,125492.939719,0.000000,0.000000
2021-12-20,SPY,MACD_Momentum,SELL,454.252771,253,114.925951,57.491721,121345.894208,-4325.542096,-0.036307
