date,ticker,strategy,action,price,quantity,cost,slippage,portfolio_value,realized_pnl,trade_return
2020-04-30,SPY,MA_Cross,BUY,290.625251,327,95.034457,47.493482,99809.978579,0.000000,0.000000
2020-09-30,SPY,MA_Cross,SELL,334.722570,327,109.454280,54.754517,114113.086462,14255.614401,0.150005
2020-10-21,SPY,MA_Cross,BUY,342.901376,316,108.356835,54.151342,113896.426943,0.000000,0.000000
2021-09-30,SPY,MA_Cross,SELL,428.925445,316,135.540441,67.804122,140930.839416,26980.261130,0.248995
2021-10-29,SPY,MA_Cross,BUY,459.479625,291,133.708571,66.820875,140663.489095,0.000000,0.000000
2022-01-25,SPY,MA_Cross,SELL,434.252766,291,126.367555,63.215385,133199.711125,-7530.598845,-0.056321
2022-04-04,SPY,MA_Cross,BUY,457.028388,277,126.596863,63.266798,132946.580665,0.000000,0.000000
2022-05-02,SPY,MA_Cross,SELL,414.272771,277,114.753558,57.405482,120994.382569,-12015.464894,-0.094911
2022-08-02,SPY,MA_Cross,BUY,408.264028,281,114.722192,57.332430,120764.995517,0.000000,0.000000
2022-09-16,SPY,MA_Cross,SELL,385.367218,281,108.288188,54.171180,114225.864970,-6596.462977,-0.057499
2022-11-11,SPY,MA_Cross,BUY,398.709265,272,108.448920,54.197361,114009.021327,0.000000,0.000000
2023-01-03,SPY,MA_Cross,SELL,380.629597,272,103.531250,51.791521,108990.226371,-5072.992318,-0.046778
2023-01-30,SPY,MA_Cross,BUY,400.790291,258,103.403895,51.676110,108783.470257,0.000000,0.000000
2023-03-14,SPY,MA_Cross,SELL,391.534146,258,101.015810,50.533171,106295.511883,-2539.634483,-0.024560
2023-04-14,SPY,MA_Cross,BUY,412.666221,244,100.690558,50.320119,106094.181087,0.000000,0.000000
2023-08-28,SPY,MA_Cross,SELL,442.538630,244,107.979426,54.016721,113271.372687,7126.871481,0.070780
2023-11-20,SPY,MA_Cross,BUY,454.487140,236,107.258965,53.602681,113056.908360,0.000000,0.000000
2024-04-25,SPY,MA_Cross,SELL,503.238245,236,118.764226,59.411819,124437.595887,11327.084846,0.105605
2024-05-20,SPY,MA_Cross,BUY,530.325028,223,118.262481,59.101690,124201.130026,0.000000,0.000000
2024-08-09,SPY,MA_Cross,SELL,532.723495,223,118.797339,59.428384,124616.864286,356.632570,0.003016
2024-09-03,SPY,MA_Cross,BUY,552.356057,214,118.204196,59.072562,124380.514966,0.000000,0.000000
2025-01-13,SPY,MA_Cross,SELL,581.099320,214,124.355254,62.208732,130404.081726,5964.494198,0.050459
2025-02-07,SPY,MA_Cross,BUY,601.070405,206,123.820503,61.879312,130156.502599,0.000000,0.000000
2025-03-07,SPY,MA_Cross,SELL,575.632023,206,118.580197,59.319758,124800.175341,-5418.206569,-0.043759
2025-05-14,SPY,MA_Cross,BUY,587.883822,201,118.164648,59.052798,124563.905098,0.000000,0.000000
