date,portfolio_value,cash,holdings,total_return,drawdown
2020-01-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-08,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-15,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-16,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-17,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-22,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-23,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-28,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-29,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-30,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-31,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-12,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-19,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-20,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-25,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-26,99045.119814,4660.619814,94384.500000,-0.009549,-0.009549
2020-02-27,94806.152773,4660.619814,90145.532959,-0.051938,-0.051938
2020-02-28,94427.402773,4660.619814,89766.782959,-0.055726,-0.055726
2020-03-02,98314.888705,4660.619814,93654.268890,-0.016851,-0.016851
2020-03-03,95633.336855,4660.619814,90972.717041,-0.043667,-0.043667
2020-03-04,99457.195376,4660.619814,94796.575562,-0.005428,-0.005428
2020-03-05,96305.997225,4660.619814,91645.377411,-0.036940,-0.036940
2020-03-06,94790.997225,4660.619814,90130.377411,-0.052090,-0.052090
2020-03-09,87752.313143,4660.619814,83091.693329,-0.122477,-0.122477
2020-03-10,92051.883883,4660.619814,87391.264069,-0.079481,-0.079481
2020-03-11,87791.695376,4660.619814,83131.075562,-0.122083,-0.122083
2020-03-12,79837.949999,4660.619814,75177.330185,-0.201621,-0.201621
2020-03-13,86264.582034,4660.619814,81603.962219,-0.137354,-0.137354
2020-03-16,77335.171664,4660.619814,72674.551849,-0.226648,-0.226648
2020-03-17,81259.020739,4660.619814,76598.400925,-0.187410,-0.187410
2020-03-18,77380.619814,4660.619814,72720.000000,-0.226194,-0.226194
2020-03-19,77535.148150,4660.619814,72874.528336,-0.224649,-0.224649
2020-03-20,73987.020739,4660.619814,69326.400925,-0.260130,-0.260130
2020-03-23,72214.468890,4660.619814,67553.849075,-0.277855,-0.277855
2020-03-24,78335.067965,4660.619814,73674.448151,-0.216649,-0.216649
2020-03-25,79437.987780,4660.619814,74777.367966,-0.205620,-0.205620
2020-03-26,83804.223513,4660.619814,79143.603699,-0.161958,-0.161958
2020-03-27,81446.879259,4660.619814,76786.259445,-0.185531,-0.185531
2020-03-30,83940.567965,4660.619814,79279.948151,-0.160594,-0.160594
2020-03-31,82758.869814,4660.619814,78098.250000,-0.172411,-0.172411
2020-04-01,79244.067965,4660.619814,74583.448151,-0.207559,-0.207559
2020-04-02,80965.110369,4660.619814,76304.490555,-0.190349,-0.190349
2020-04-03,79862.190554,4660.619814,75201.570740,-0.201378,-0.201378
2020-04-06,84913.195376,4660.619814,80252.575562,-0.150868,-0.150868
2020-04-07,84995.011294,4660.619814,80334.391479,-0.150050,-0.150050
2020-04-08,87691.709444,4660.619814,83031.089630,-0.123083,-0.123083
2020-04-09,88955.223513,4660.619814,84294.603699,-0.110448,-0.110448
2020-04-13,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-04-14,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-04-15,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-04-16,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-04-17,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-04-20,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-04-21,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-04-22,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-04-23,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-04-24,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-04-27,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-04-28,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-04-29,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-04-30,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-01,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-04,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-05,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-06,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-07,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-08,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-11,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-12,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-13,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-14,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-15,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-18,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-19,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-20,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-21,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-22,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-26,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-27,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-28,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-05-29,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-01,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-02,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-03,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-04,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-05,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-08,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-09,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-10,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-11,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-12,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-15,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-16,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-17,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-18,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-19,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-22,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-23,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-24,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-25,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-26,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-29,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-06-30,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-07-01,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-07-02,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-07-06,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-07-07,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-07-08,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-07-09,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-07-10,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-07-13,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-07-14,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-07-15,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-07-16,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
2020-07-17,88508.126103,88508.126103,0.000000,-0.114919,-0.114919
