date,ticker,strategy,action,price,quantity,cost,slippage,portfolio_value,realized_pnl,trade_return
2020-04-29,TSLA,MA_Cross,BUY,52.704340,1852,97.608438,48.779829,99853.611732,0.000000,0.000000
2020-11-16,TSLA,MA_Cross,SELL,136.241843,1852,252.319892,126.223058,254361.525661,154361.525661,1.579856
2020-11-24,TSLA,MA_Cross,BUY,180.223398,1389,250.330300,125.102599,253986.092762,0.000000,0.000000
2021-03-04,TSLA,MA_Cross,SELL,218.490706,1389,303.483591,151.817704,306961.002771,52599.477110,0.209910
2021-04-27,TSLA,MA_Cross,BUY,239.439667,1185,283.736006,141.797104,306535.469661,0.000000,0.000000
2021-05-18,TSLA,MA_Cross,SELL,189.238662,1185,224.247814,112.179997,246964.827144,-59996.175628,-0.211239
2021-07-06,TSLA,MA_Cross,BUY,227.350282,1036,235.534892,117.708592,246611.583659,0.000000,0.000000
2021-12-22,TSLA,MA_Cross,SELL,321.725714,1036,333.307840,166.737289,344168.932207,97204.105064,0.412283
2022-01-20,TSLA,MA_Cross,BUY,336.744948,985,331.693774,165.764005,343671.474428,0.000000,0.000000
2022-01-27,TSLA,MA_Cross,SELL,310.964435,985,306.299969,153.226598,318137.132798,-26031.799409,-0.078403
2022-03-30,TSLA,MA_Cross,BUY,363.905189,824,299.857876,149.854011,317687.420911,0.000000,0.000000
2022-05-10,TSLA,MA_Cross,SELL,272.966781,824,224.924627,112.518573,242679.101734,-75458.031064,-0.251395
2022-07-21,TSLA,MA_Cross,BUY,255.234228,931,237.623066,118.752157,242322.726512,0.000000,0.000000
2022-09-30,TSLA,MA_Cross,SELL,266.016919,931,247.661751,123.892822,252232.502581,9553.400846,0.040164
2023-02-08,TSLA,MA_Cross,BUY,196.198056,1217,238.773034,119.326854,251874.402693,0.000000,0.000000
2023-04-03,TSLA,MA_Cross,SELL,199.810049,1217,243.168829,121.645237,256146.355655,3913.853074,0.016375
2023-06-05,TSLA,MA_Cross,BUY,217.908903,1137,247.762423,123.819302,255774.773931,0.000000,0.000000
2023-08-16,TSLA,MA_Cross,SELL,227.905994,1137,259.129115,129.629372,267006.156831,10859.801176,0.043788
2023-09-21,TSLA,MA_Cross,BUY,257.978931,965,248.949669,124.412628,266632.794534,0.000000,0.000000
2023-10-24,TSLA,MA_Cross,SELL,216.391750,965,208.818039,104.461250,226416.759356,-40589.397475,-0.162880
2023-12-08,TSLA,MA_Cross,BUY,240.390139,886,212.985663,106.439612,226097.334080,0.000000,0.000000
2024-01-23,TSLA,MA_Cross,SELL,211.194353,886,187.118197,93.605901,200149.188901,-26267.570455,-0.123207
2024-05-17,TSLA,MA_Cross,BUY,173.636778,1087,188.743178,94.324427,199866.121296,0.000000,0.000000
2024-08-20,TSLA,MA_Cross,SELL,224.767565,1087,244.322343,122.222283,255295.288661,55146.099760,0.291883
2024-09-24,TSLA,MA_Cross,BUY,254.207042,970,246.580831,123.228801,254925.479029,0.000000,0.000000
2025-02-10,TSLA,MA_Cross,SELL,356.031886,970,345.350930,172.761846,353473.456189,98178.167528,0.397760
2025-05-07,TSLA,MA_Cross,BUY,277.018445,1219,337.685484,168.758363,352967.012342,0.000000,0.000000
2025-07-11,TSLA,MA_Cross,SELL,307.736070,1219,375.130269,187.658964,390205.425013,36731.968824,0.108667
2025-08-12,TSLA,MA_Cross,BUY,345.172500,1093,377.273542,188.542500,389639.608971,0.000000,0.000000
2025-11-24,TSLA,MA_Cross,SELL,401.968928,1093,439.352039,219.785912,451467.295696,61261.870683,0.162218
2025-12-18,TSLA,MA_Cross,BUY,478.399084,917,438.691960,219.236362,450809.367375,0.000000,0.000000
