date,portfolio_value,cash,holdings,total_return,drawdown
2020-01-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-08,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-15,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-16,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-17,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-22,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-23,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-28,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-29,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-30,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-31,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-12,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-19,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-20,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-25,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-26,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-28,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-03-11,98979.815348,5621.156046,93358.659302,-0.010202,-0.010202
2020-03-12,88134.113688,5621.156046,82512.957642,-0.118659,-0.118659
2020-03-13,86083.621012,5621.156046,80462.464966,-0.139164,-0.139164
2020-03-16,71135.460002,5621.156046,65514.303955,-0.288645,-0.288645
2020-03-17,68946.596720,5621.156046,63325.440674,-0.310534,-0.310534
2020-03-18,58792.739665,5621.156046,53171.583618,-0.412073,-0.412073
2020-03-19,68569.762553,5621.156046,62948.606506,-0.314302,-0.314302
2020-03-20,68553.573832,5621.156046,62932.417786,-0.314464,-0.314464
2020-03-23,69548.645304,5621.156046,63927.489258,-0.304514,-0.304514
2020-03-24,79957.158854,5621.156046,74336.002808,-0.200428,-0.200428
2020-03-25,84998.757731,5621.156046,79377.601685,-0.150012,-0.150012
2020-03-26,83366.308024,5621.156046,77745.151978,-0.166337,-0.166337
2020-03-27,81334.952067,5621.156046,75713.796021,-0.186650,-0.186650
2020-03-30,79534.693888,5621.156046,73913.537842,-0.204653,-0.204653
2020-03-31,82753.958293,5621.156046,77132.802246,-0.172460,-0.172460
2020-04-01,76506.788249,5621.156046,70885.632202,-0.234932,-0.234932
2020-04-02,72519.140788,5621.156046,66897.984741,-0.274809,-0.274809
2020-04-03,76278.630045,5621.156046,70657.473999,-0.237214,-0.237214
2020-04-06,81611.684855,5621.156046,75990.528809,-0.183883,-0.183883
2020-04-07,85911.398966,5621.156046,80290.242920,-0.140886,-0.140886
2020-04-08,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-04-09,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-04-13,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-04-14,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-04-15,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-04-16,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-04-17,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-04-20,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-04-21,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-04-22,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-04-23,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-04-24,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-04-27,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-04-28,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-04-29,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-04-30,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-01,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-04,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-05,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-06,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-07,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-08,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-11,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-12,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-13,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-14,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-15,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-18,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-19,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-20,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-21,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-22,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-26,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-27,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-28,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-05-29,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-01,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-02,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-03,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-04,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-05,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-08,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-09,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-10,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-11,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-12,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-15,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-16,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-17,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-18,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-19,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-22,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-23,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-24,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-25,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-26,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-29,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-06-30,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-07-01,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-07-02,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-07-06,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-07-07,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-07-08,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-07-09,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-07-10,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-07-13,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-07-14,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-07-15,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-07-16,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-07-17,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
2020-07-20,87077.069588,87077.069588,0.000000,-0.129229,-0.129229
