ticker,strategy,parameter_set,total_return,benchmark_gross_return,benchmark_net_return,excess_return,annualized_return,volatility,sharpe,max_drawdown,win_rate,profit_factor,num_trades,turnover,total_transaction_costs,cost_drag,average_trade_return
AAPL,MA_Cross,short=20;long=50,1.099404,2.636823,2.625929,-1.526525,0.132037,0.192758,0.740081,-0.272710,0.375000,1.769269,33,51.682391,7752.337879,0.077523,0.044493
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0.230576,2.636823,2.625929,-2.395354,0.035304,0.233560,0.264821,-0.302939,0.647059,1.576583,35,35.265848,5289.855040,0.052899,0.014286
AAPL,MACD_Momentum,fast=12;slow=26;signal=9,0.884799,2.636823,2.625929,-1.741130,0.111808,0.182110,0.673544,-0.256986,0.472727,1.509264,110,190.187441,28528.145352,0.285281,0.014472
MSFT,MA_Cross,short=20;long=50,0.429387,2.034990,2.025898,-1.596512,0.061559,0.178075,0.424805,-0.388541,0.411765,1.711712,34,41.475744,6221.373823,0.062214,0.026716
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0.970163,2.034990,2.025898,-1.055735,0.120074,0.211815,0.641387,-0.203997,0.833333,5.297093,37,55.764052,8364.587421,0.083646,0.044210
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,-0.147523,2.034990,2.025898,-2.173421,-0.026337,0.177550,-0.061515,-0.413928,0.366667,0.886739,121,116.713738,17507.041106,0.175070,-0.001068
SPY,MA_Cross,short=20;long=50,0.501238,1.114723,1.108388,-0.607150,0.070301,0.116354,0.642734,-0.294990,0.500000,1.669114,25,29.649216,4447.360330,0.044474,0.027819
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0.234295,1.114723,1.108388,-0.874093,0.035827,0.158934,0.301256,-0.277855,0.733333,1.864566,30,30.322632,4548.401807,0.045484,0.016496
SPY,MACD_Momentum,fast=12;slow=26;signal=9,0.229095,1.114723,1.108388,-0.879293,0.035096,0.112747,0.362505,-0.160429,0.437500,1.319813,129,149.748431,22462.246822,0.224622,0.004021
TSLA,MA_Cross,short=20;long=50,3.290489,14.842630,14.795173,-11.504684,0.275756,0.438512,0.774475,-0.548717,0.666667,2.539208,31,84.684654,12702.679333,0.127027,0.162385
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,1.410503,14.842630,14.795173,-13.384670,0.158500,0.432716,0.554420,-0.605464,0.789474,1.862147,38,55.348399,8302.297124,0.083023,0.069353
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,7.610463,14.842630,14.795173,-7.184710,0.433358,0.408100,1.085365,-0.447596,0.388889,2.539486,108,336.869408,50530.614072,0.505306,0.054991
BTC-USD,MA_Cross,short=20;long=50,5.661932,11.281666,11.244876,-5.582944,0.243733,0.324594,0.833578,-0.562791,0.434783,2.241452,46,178.480664,26772.247781,0.267722,0.199937
BTC-USD,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,-0.046709,11.281666,11.244876,-11.291584,-0.005487,0.238008,0.102265,-0.516068,0.611111,0.987750,37,20.763544,3114.509126,0.031145,0.004716
BTC-USD,MACD_Momentum,fast=12;slow=26;signal=9,4.978066,11.281666,11.244876,-6.266810,0.228335,0.304510,0.826717,-0.475993,0.373333,1.477903,151,626.672754,94000.928358,0.940009,0.034963
