ticker,strategy,parameter_set,total_return,benchmark_return,excess_return,annualized_return,volatility,sharpe,max_drawdown,win_rate,profit_factor,num_trades,turnover,total_transaction_costs,average_trade_return,transaction_cost_adjusted_return
AAPL,MA_Cross,short=20;long=50,1.067838,2.636823,-1.568986,0.129173,0.192874,0.726600,-0.276251,0.375000,1.799976,33,51.303372,7695.485576,0.045014,0.990883
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0.210036,2.636823,-2.426788,0.032394,0.233781,0.252746,-0.303888,0.647059,1.600103,35,34.964675,5244.679570,0.014792,0.157589
AAPL,MACD_Momentum,fast=12;slow=26;signal=9,0.789099,2.636823,-1.847724,0.102162,0.182268,0.625263,-0.260628,0.472727,1.557574,110,185.139700,27770.983966,0.014978,0.511389
MSFT,MA_Cross,short=20;long=50,0.406423,2.034990,-1.628567,0.058688,0.178074,0.409586,-0.391453,0.411765,1.738639,34,41.150572,6172.598017,0.027228,0.344697
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0.936979,2.034990,-1.098011,0.116896,0.211967,0.627663,-0.205703,0.833333,5.402870,37,55.305885,8295.862930,0.044731,0.854020
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,-0.195068,2.034990,-2.230058,-0.035636,0.177591,-0.115521,-0.433913,0.366667,0.911450,121,113.652409,17047.842970,-0.000570,-0.365547
SPY,MA_Cross,short=20;long=50,0.483777,1.114723,-0.630946,0.068209,0.116415,0.625640,-0.299082,0.500000,1.692394,25,29.482303,4422.323606,0.028331,0.439554
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0.217285,1.114723,-0.897438,0.033426,0.158901,0.286672,-0.278331,0.733333,1.896660,30,30.099964,4515.001572,0.017003,0.172135
SPY,MACD_Momentum,fast=12;slow=26;signal=9,0.156305,1.114723,-0.958418,0.024582,0.113031,0.271493,-0.174875,0.453125,1.389535,129,145.317874,21797.664843,0.004522,-0.061672
TSLA,MA_Cross,short=20;long=50,3.228969,14.842630,-11.613661,0.272679,0.438668,0.768841,-0.552421,0.666667,2.549518,31,84.083482,12612.504484,0.162965,3.102844
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,1.367520,14.842630,-13.475110,0.155019,0.432971,0.547386,-0.606332,0.789474,1.870144,38,54.815380,8222.343992,0.069886,1.285297
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,7.180158,14.842630,-7.662471,0.421123,0.408294,1.064007,-0.453930,0.388889,2.563229,108,325.915610,48887.537361,0.055517,6.691283
BTC-USD,MA_Cross,short=20;long=50,5.562573,11.281666,-5.719093,0.241585,0.325820,0.826355,-0.571158,0.434783,2.256080,46,177.754877,26663.379502,0.200535,5.295939
BTC-USD,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,-0.057090,11.281666,-11.338756,-0.006738,0.239075,0.097604,-0.519636,0.611111,0.994716,37,20.763544,3114.509126,0.005217,-0.088235
BTC-USD,MACD_Momentum,fast=12;slow=26;signal=9,4.565893,11.281666,-6.715773,0.218284,0.305515,0.798078,-0.484803,0.373333,1.498045,151,605.906059,90885.942731,0.035479,3.657033
