date,portfolio_value,cash,holdings,total_return,drawdown
2020-01-01,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-06,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-07,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-08,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-09,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-10,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-11,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-12,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-13,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-14,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-15,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-16,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-17,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-18,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-19,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-20,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-21,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-22,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-23,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-24,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-25,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-26,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-27,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-28,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-29,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-30,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-01-31,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-01,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-02,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-03,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-04,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-05,100000.000000,100000.000000,0.000000,0.000000,0.000000
2020-02-06,100877.940351,13309.724531,87568.215820,0.008779,0.000000
2020-02-07,101473.214765,13309.724531,88163.490234,0.014732,0.000000
2020-02-08,102095.796796,13309.724531,88786.072266,0.020958,0.000000
2020-02-09,104359.788984,13309.724531,91050.064453,0.043598,0.000000
2020-02-10,102019.226484,13309.724531,88709.501953,0.020192,-0.022428
2020-02-11,105183.851484,13309.724531,91874.126953,0.051839,0.000000
2020-02-12,106244.216718,13309.724531,92934.492188,0.062442,0.000000
2020-02-13,105239.143476,13309.724531,91929.418945,0.052391,-0.009460
2020-02-14,106118.770429,13309.724531,92809.045898,0.061188,-0.001181
2020-02-15,102314.547773,13309.724531,89004.823242,0.023145,-0.036987
2020-02-16,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-02-17,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-02-18,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-02-19,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-02-20,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-02-21,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-02-22,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-02-23,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-02-24,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-02-25,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-02-26,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-02-27,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-02-28,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-02-29,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-03-01,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-03-02,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-03-03,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-03-04,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-03-05,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-03-06,102178.882294,102178.882294,0.000000,0.021789,-0.038264
2020-03-07,102178.882294,102178.882294,0.000000,0.021789,-0.038264
