rebalance_id,date,ticker,transaction_cost,slippage_cost,total_cost
0,2020-01-03,AAPL,19.547381,9.768806,29.316187
0,2020-01-03,MSFT,19.483098,9.736680,29.219778
0,2020-01-03,SPY,19.279235,9.634800,28.914035
0,2020-01-03,TSLA,19.567979,9.779100,29.347079
0,2020-01-03,BTC-USD,13.975842,6.984429,20.960271
1,2020-02-03,TSLA,6.957983,3.480732,10.438714
1,2020-02-03,AAPL,2.892295,1.445425,4.337720
1,2020-02-03,MSFT,1.875667,0.937365,2.813032
1,2020-02-03,SPY,3.235117,1.616750,4.851867
2,2020-03-02,AAPL,4.866895,2.434665,7.301560
2,2020-03-02,MSFT,5.782957,2.892925,8.675882
2,2020-03-02,SPY,4.470913,2.236575,6.707488
2,2020-03-02,TSLA,7.867341,3.935639,11.802980
2,2020-03-02,BTC-USD,25.702639,12.844897,38.547536
3,2020-04-01,TSLA,0.167916,0.084000,0.251916
3,2020-04-01,BTC-USD,12.868201,6.437319,19.305521
3,2020-04-01,AAPL,4.932465,2.465000,7.397465
3,2020-04-01,MSFT,3.367683,1.683000,5.050683
3,2020-04-01,SPY,8.683640,4.339650,13.023289
4,2020-05-01,TSLA,1.962018,0.981500,2.943518
4,2020-05-01,BTC-USD,8.668446,4.336391,13.004837
4,2020-05-01,AAPL,2.792333,1.395469,4.187802
4,2020-05-01,MSFT,2.814206,1.406400,4.220606
4,2020-05-01,SPY,3.710884,1.854515,5.565399
5,2020-06-01,AAPL,3.175911,1.588750,4.764661
5,2020-06-01,MSFT,1.824487,0.912700,2.737187
5,2020-06-01,SPY,3.641618,1.821720,5.463338
5,2020-06-01,TSLA,2.172513,1.086800,3.259313
5,2020-06-01,BTC-USD,9.468337,4.731803,14.200140
6,2020-07-01,TSLA,4.762817,2.382600,7.145417
6,2020-07-01,AAPL,1.187233,0.593320,1.780553
6,2020-07-01,MSFT,2.642140,1.320410,3.962550
6,2020-07-01,SPY,3.406973,1.702635,5.109608
7,2020-08-03,AAPL,6.596900,3.300100,9.897000
7,2020-08-03,TSLA,4.924816,2.463640,7.388456
7,2020-08-03,MSFT,4.020890,2.009440,6.030330
7,2020-08-03,SPY,7.555136,3.775680,11.330816
8,2020-09-01,AAPL,4.378889,2.190540,6.569429
8,2020-09-01,TSLA,10.205075,5.105090,15.310165
8,2020-09-01,SPY,14.716174,7.354410,22.070584
9,2020-10-01,AAPL,3.057111,1.529320,4.586431
9,2020-10-01,MSFT,2.347216,1.174195,3.521411
9,2020-10-01,TSLA,1.027926,0.514220,1.542146
9,2020-10-01,SPY,6.419318,3.208055,9.627373
10,2020-11-02,SPY,2.310244,1.155700,3.465944
10,2020-11-02,AAPL,0.764152,0.381885,1.146037
10,2020-11-02,MSFT,1.021961,0.510725,1.532686
10,2020-11-02,TSLA,0.525596,0.262667,0.788263
11,2020-12-01,BTC-USD,19.623953,9.816885,29.440837
11,2020-12-01,AAPL,7.385301,3.690805,11.076106
11,2020-12-01,MSFT,8.155455,4.075690,12.231145
11,2020-12-01,SPY,3.291775,1.645065,4.936840
11,2020-12-01,TSLA,0.597889,0.298795,0.896684
12,2021-01-04,BTC-USD,32.794544,16.405475,49.200018
12,2021-01-04,AAPL,4.141190,2.069560,6.210750
12,2021-01-04,MSFT,10.018857,5.006925,15.025782
12,2021-01-04,SPY,14.644408,7.318545,21.962953
12,2021-01-04,TSLA,3.599099,1.798650,5.397749
13,2021-02-01,MSFT,0.469885,0.235060,0.704945
13,2021-02-01,TSLA,4.340708,2.171440,6.512148
13,2021-02-01,AAPL,1.204352,0.601875,1.806227
13,2021-02-01,SPY,4.112975,2.055460,6.168435
18,2021-07-01,MSFT,0.538950,0.269610,0.808560
18,2021-07-01,AAPL,0.410005,0.204900,0.614905
19,2021-08-02,SPY,5.281438,2.642040,7.923478
19,2021-08-02,AAPL,2.489364,1.244060,3.733424
19,2021-08-02,MSFT,0.286503,0.143180,0.429683
19,2021-08-02,TSLA,2.334500,1.166667,3.501167
21,2021-10-01,SPY,0.430765,0.215490,0.646255
21,2021-10-01,AAPL,0.141971,0.070950,0.212921
21,2021-10-01,TSLA,0.259596,0.129733,0.389330
22,2021-11-01,MSFT,7.617469,3.810640,11.428109
22,2021-11-01,AAPL,4.173806,2.085860,6.259666
22,2021-11-01,SPY,3.684241,1.841200,5.525441
23,2021-12-01,TSLA,6.960718,3.482100,10.442818
23,2021-12-01,AAPL,2.681020,1.339840,4.020860
23,2021-12-01,MSFT,0.670595,0.335130,1.005725
23,2021-12-01,SPY,3.233096,1.615740,4.848836
24,2022-01-03,TSLA,2.676744,1.339042,4.015786
24,2022-01-03,AAPL,0.533757,0.266745,0.800502
24,2022-01-03,MSFT,0.671035,0.335350,1.006385
24,2022-01-03,SPY,1.429614,0.714450,2.144064
25,2022-02-01,AAPL,6.087305,3.045175,9.132480
25,2022-02-01,SPY,2.702728,1.352040,4.054768
25,2022-02-01,MSFT,2.173956,1.086435,3.260391
25,2022-02-01,TSLA,2.807033,1.402815,4.209848
26,2022-03-01,MSFT,2.370014,1.185600,3.555614
26,2022-03-01,SPY,2.174112,1.087600,3.261712
26,2022-03-01,AAPL,5.767382,2.882250,8.649632
26,2022-03-01,TSLA,2.900383,1.449467,4.349850
27,2022-04-01,SPY,4.077750,2.039895,6.117645
27,2022-04-01,AAPL,3.482340,1.740300,5.222640
27,2022-04-01,TSLA,0.360564,0.180192,0.540755
28,2022-05-02,MSFT,5.273852,2.638245,7.912097
28,2022-05-02,SPY,9.472871,4.738805,14.211676
28,2022-05-02,AAPL,0.783942,0.391775,1.175717
28,2022-05-02,TSLA,5.454269,2.725772,8.180041
29,2022-06-01,AAPL,6.292652,3.147900,9.440552
29,2022-06-01,SPY,2.904737,1.453095,4.357832
29,2022-06-01,MSFT,3.304051,1.651200,4.955251
29,2022-06-01,TSLA,1.762921,0.881020,2.643941
30,2022-07-01,SPY,2.258230,1.129680,3.387910
30,2022-07-01,AAPL,0.272216,0.136040,0.408256
30,2022-07-01,TSLA,0.681341,0.340500,1.021841
31,2022-08-01,AAPL,3.057660,1.529595,4.587255
31,2022-08-01,TSLA,6.022521,3.012767,9.035287
31,2022-08-01,MSFT,3.335507,1.666920,5.002427
31,2022-08-01,SPY,3.274837,1.636600,4.911437
32,2022-09-01,MSFT,3.881108,1.941525,5.822633
32,2022-09-01,SPY,3.926936,1.964450,5.891386
32,2022-09-01,AAPL,1.410465,0.704880,2.115345
32,2022-09-01,TSLA,3.272595,1.635480,4.908075
33,2022-10-03,AAPL,0.966986,0.483735,1.450721
33,2022-10-03,MSFT,1.648694,0.823935,2.472629
33,2022-10-03,SPY,0.722521,0.361080,1.083601
33,2022-10-03,TSLA,1.782391,0.890750,2.673141
34,2022-11-01,AAPL,7.130113,3.566840,10.696953
34,2022-11-01,MSFT,1.406896,0.703800,2.110696
34,2022-11-01,SPY,5.069284,2.535910,7.605194
34,2022-11-01,TSLA,5.385842,2.691575,8.077417
35,2022-12-01,MSFT,5.328604,2.665635,7.994239
35,2022-12-01,AAPL,0.296568,0.148210,0.444778
35,2022-12-01,TSLA,3.943571,1.970800,5.914371
35,2022-12-01,BTC-USD,17.176586,8.584001,25.760587
36,2023-01-03,MSFT,3.401418,1.701560,5.102978
36,2023-01-03,AAPL,1.433797,0.716540,2.150337
36,2023-01-03,SPY,1.153687,0.576555,1.730242
36,2023-01-03,TSLA,5.333816,2.665575,7.999391
37,2023-02-01,TSLA,15.468472,7.738105,23.206577
37,2023-02-01,AAPL,0.864252,0.431910,1.296162
37,2023-02-01,MSFT,4.962480,2.480000,7.442480
37,2023-02-01,SPY,4.864951,2.431260,7.296211
38,2023-03-01,TSLA,5.152673,2.577625,7.730298
38,2023-03-01,AAPL,4.847813,2.422695,7.270508
38,2023-03-01,MSFT,0.501771,0.250760,0.752531
38,2023-03-01,SPY,8.703370,4.349510,13.052880
39,2023-04-03,MSFT,1.145507,0.573040,1.718547
39,2023-04-03,AAPL,0.493056,0.246405,0.739461
39,2023-04-03,TSLA,0.200010,0.099955,0.299965
40,2023-05-01,MSFT,8.590862,4.297580,12.888442
