rebalance_id,date,ticker,transaction_cost,slippage_cost,total_cost
5,2020-06-01,AAPL,14.464854,7.228813,21.693666
5,2020-06-01,MSFT,14.427870,7.210330,21.638200
5,2020-06-01,SPY,14.277275,7.135070,21.412345
5,2020-06-01,TSLA,14.478836,7.235800,21.714636
5,2020-06-01,BTC-USD,37.873349,18.927211,56.800560
6,2020-07-01,AAPL,1.094812,0.547680,1.642492
6,2020-07-01,MSFT,0.609115,0.304710,0.913825
6,2020-07-01,TSLA,2.814392,1.407900,4.222292
6,2020-07-01,SPY,0.619450,0.309570,0.929020
7,2020-08-03,MSFT,16.067483,8.037760,24.105243
7,2020-08-03,SPY,16.079637,8.043840,24.123477
7,2020-08-03,AAPL,21.217803,10.603600,31.821403
7,2020-08-03,TSLA,18.945682,9.468107,28.413788
8,2020-09-01,TSLA,14.889372,7.448410,22.337782
8,2020-09-01,AAPL,4.914576,2.456060,7.370636
9,2020-10-01,BTC-USD,43.159429,21.590510,64.749939
9,2020-10-01,AAPL,0.823892,0.411740,1.235632
9,2020-10-01,MSFT,48.059269,24.017626,72.076894
9,2020-10-01,TSLA,1.028954,0.514220,1.543174
10,2020-11-02,MSFT,45.942266,22.982624,68.924890
10,2020-11-02,TSLA,1.576788,0.788000,2.364788
10,2020-11-02,BTC-USD,41.231702,20.605548,61.837251
11,2020-12-01,TSLA,7.963883,3.983933,11.947816
11,2020-12-01,AAPL,9.927782,4.961410,14.889192
12,2021-01-04,AAPL,2.805322,1.401960,4.207282
12,2021-01-04,TSLA,1.439640,0.719460,2.159100
13,2021-02-01,TSLA,0.813883,0.407145,1.221028
13,2021-02-01,AAPL,0.802901,0.401250,1.204151
14,2021-03-01,AAPL,64.194137,32.113125,96.307262
14,2021-03-01,BTC-USD,45.136924,22.579752,67.716676
14,2021-03-01,SPY,87.572694,43.764465,131.337158
14,2021-03-01,TSLA,18.181983,9.086448,27.268431
15,2021-04-01,SPY,1.195798,0.597600,1.793398
15,2021-04-01,TSLA,1.836571,0.917827,2.754398
16,2021-05-03,TSLA,0.234717,0.117300,0.352017
17,2021-06-01,SPY,13.937838,6.972405,20.910243
17,2021-06-01,TSLA,81.782353,40.911633,122.693986
17,2021-06-01,MSFT,82.695996,41.327334,124.023330
18,2021-07-01,MSFT,4.850553,2.426490,7.277043
18,2021-07-01,SPY,0.428656,0.214435,0.643091
18,2021-07-01,BTC-USD,70.036933,35.035984,105.072917
18,2021-07-01,TSLA,83.479957,41.719119,125.199076
19,2021-08-02,MSFT,2.289734,1.145440,3.435174
19,2021-08-02,TSLA,85.357298,42.699999,128.057297
19,2021-08-02,AAPL,86.542010,43.249380,129.791390
20,2021-09-01,MSFT,1.210874,0.605740,1.816614
20,2021-09-01,SPY,1.358359,0.678840,2.037199
21,2021-10-01,SPY,85.722140,42.882511,128.604651
21,2021-10-01,AAPL,0.851826,0.425700,1.277526
21,2021-10-01,MSFT,0.282261,0.141060,0.423321
21,2021-10-01,TSLA,84.628429,42.293068,126.921497
22,2021-11-01,AAPL,88.902560,44.473517,133.376076
22,2021-11-01,TSLA,20.218219,10.114166,30.332385
22,2021-11-01,MSFT,4.309834,2.153840,6.463674
22,2021-11-01,BTC-USD,61.351109,30.660225,92.011334
23,2021-12-01,MSFT,1.339850,0.670260,2.010110
23,2021-12-01,TSLA,2.320239,1.160700,3.480939
24,2022-01-03,MSFT,3.687006,1.844425,5.531431
24,2022-01-03,TSLA,2.294352,1.147750,3.442102
24,2022-01-03,BTC-USD,47.319871,23.671771,70.991643
24,2022-01-03,AAPL,99.634593,49.792401,149.426994
25,2022-02-01,AAPL,6.782997,3.393195,10.176191
25,2022-02-01,MSFT,1.861529,0.931230,2.792759
25,2022-02-01,TSLA,9.044883,4.520182,13.565065
26,2022-03-01,AAPL,0.164618,0.082350,0.246968
26,2022-03-01,MSFT,0.888755,0.444600,1.333355
26,2022-03-01,TSLA,1.160153,0.579787,1.739940
27,2022-04-01,TSLA,10.806094,5.405750,16.211844
27,2022-04-01,AAPL,4.527042,2.262390,6.789432
27,2022-04-01,MSFT,5.571444,2.784330,8.355774
28,2022-05-02,AAPL,2.976001,1.488745,4.464746
28,2022-05-02,MSFT,2.775711,1.388550,4.164261
28,2022-05-02,TSLA,75.709888,37.873881,113.583769
28,2022-05-02,SPY,82.042932,41.000966,123.043898
29,2022-06-01,MSFT,81.693536,40.867202,122.560738
29,2022-06-01,SPY,1.244887,0.622755,1.867642
29,2022-06-01,AAPL,2.099649,1.049300,3.148949
29,2022-06-01,BTC-USD,63.616902,31.792555,95.409457
30,2022-07-01,AAPL,5.166935,2.584760,7.751695
30,2022-07-01,SPY,5.269204,2.635920,7.905124
30,2022-07-01,BTC-USD,39.621121,19.820471,59.441592
30,2022-07-01,MSFT,68.233844,34.099872,102.333716
31,2022-08-01,AAPL,4.666955,2.334645,7.001600
31,2022-08-01,MSFT,73.863172,36.950061,110.813233
31,2022-08-01,SPY,1.637418,0.818300,2.455718
31,2022-08-01,TSLA,75.959682,37.960861,113.920543
32,2022-09-01,AAPL,2.035302,1.018160,3.053462
32,2022-09-01,SPY,0.785387,0.392890,1.178277
32,2022-09-01,TSLA,3.272595,1.635480,4.908075
33,2022-10-03,SPY,0.360899,0.180540,0.541439
33,2022-10-03,TSLA,67.154406,33.594000,100.748406
33,2022-10-03,AAPL,2.074187,1.036575,3.110762
33,2022-10-03,MSFT,65.712231,32.839696,98.551926
34,2022-11-01,AAPL,3.720059,1.860960,5.581019
34,2022-11-01,MSFT,65.420675,32.726701,98.147376
34,2022-11-01,SPY,1.169835,0.585210,1.755045
34,2022-11-01,BTC-USD,61.515438,30.742348,92.257785
35,2022-12-01,AAPL,0.148136,0.074105,0.222241
35,2022-12-01,SPY,6.537050,3.270160,9.807210
35,2022-12-01,BTC-USD,51.478254,25.752003,77.230257
35,2022-12-01,MSFT,66.547196,33.256969,99.804165
36,2023-01-03,MSFT,1.700709,0.850780,2.551489
36,2023-01-03,SPY,0.768356,0.384370,1.152726
36,2023-01-03,AAPL,3.128283,1.563360,4.691643
37,2023-02-01,AAPL,2.734062,1.367715,4.101777
37,2023-02-01,MSFT,63.208380,31.620000,94.828380
37,2023-02-01,BTC-USD,46.298810,23.137836,69.436646
38,2023-03-01,AAPL,66.921004,33.477240,100.398244
38,2023-03-01,MSFT,65.230197,32.598799,97.828997
38,2023-03-01,SPY,1.186823,0.593115,1.779938
39,2023-04-03,MSFT,2.004637,1.002820,3.007457
39,2023-04-03,SPY,67.426521,33.730126,101.156646
39,2023-04-03,AAPL,72.150589,36.057266,108.207855
40,2023-05-01,MSFT,2.147716,1.074395,3.222111
40,2023-05-01,AAPL,1.016188,0.507840,1.524028
41,2023-06-01,AAPL,2.131334,1.066200,3.197534
41,2023-06-01,MSFT,3.257670,1.629650,4.887320
42,2023-07-03,AAPL,1.549465,0.775120,2.324585
42,2023-07-03,BTC-USD,61.218407,30.624516,91.842922
42,2023-07-03,MSFT,2.036158,1.017570,3.053728
42,2023-07-03,TSLA,82.158586,41.058764,123.217349
43,2023-08-01,AAPL,1.961419,0.981200,2.942619
43,2023-08-01,TSLA,2.131145,1.065040,3.196185
44,2023-09-01,MSFT,0.662289,0.331310,0.993599
44,2023-09-01,AAPL,0.379170,0.189490,0.568660
44,2023-09-01,TSLA,0.514777,0.257260,0.772037
45,2023-10-02,AAPL,71.363041,35.699370,107.062411
45,2023-10-02,MSFT,1.580609,0.790700,2.371309
45,2023-10-02,TSLA,0.734063,0.367215,1.101278
45,2023-10-02,SPY,73.842162,36.902630,110.744791
46,2023-11-01,MSFT,8.150883,4.077480,12.228363
46,2023-11-01,SPY,72.485341,36.260801,108.746142
46,2023-11-01,TSLA,9.390533,4.692920,14.083452
46,2023-11-01,BTC-USD,69.349204,34.657273,104.006478
47,2023-12-01,TSLA,2.097211,1.049130,3.146341
48,2024-01-02,TSLA,85.234642,42.638640,127.873282
48,2024-01-02,MSFT,6.358798,3.177810,9.536607
48,2024-01-02,SPY,85.031295,42.494400,127.525695
49,2024-02-01,MSFT,4.417920,2.210065,6.627985
