rebalance_id,date,ticker,side,quantity,price,transaction_cost,slippage_cost,cash_after
5,2020-06-01,AAPL,BUY,182,79.477219,14.464854,7.228813,85520.681334
5,2020-06-01,MSFT,BUY,79,182.631263,14.427870,7.210330,71078.383665
5,2020-06-01,SPY,BUY,47,303.771805,14.277275,7.135070,56786.831549
5,2020-06-01,TSLA,BUY,253,57.228601,14.478836,7.235800,42293.516720
5,2020-06-01,BTC-USD,BUY,4,9468.337271,37.873349,18.927211,4382.294285
6,2020-07-01,AAPL,SELL,12,91.234359,1.094812,0.547680,5476.011778
6,2020-07-01,MSFT,SELL,3,203.038429,0.609115,0.304710,6084.517951
6,2020-07-01,TSLA,SELL,39,72.163897,2.814392,1.407900,8896.095540
6,2020-07-01,SPY,BUY,2,309.724792,0.619450,0.309570,8276.026506
7,2020-08-03,MSFT,SELL,76,211.414244,16.067483,8.037760,24327.441588
7,2020-08-03,SPY,SELL,49,328.155847,16.079637,8.043840,40390.998470
7,2020-08-03,AAPL,BUY,196,108.254097,21.217803,10.603600,19151.977666
7,2020-08-03,TSLA,BUY,196,96.661641,18.945682,9.468107,187.350285
8,2020-09-01,TSLA,SELL,89,167.296315,14.889372,7.448410,15061.832937
8,2020-09-01,AAPL,BUY,37,132.826375,4.914576,2.456060,10142.342504
9,2020-10-01,BTC-USD,SELL,4,10789.857255,43.159429,21.590510,53258.612097
9,2020-10-01,AAPL,BUY,7,117.698819,0.823892,0.411740,52433.896469
9,2020-10-01,MSFT,BUY,225,213.596750,48.059269,24.017626,4326.568339
9,2020-10-01,TSLA,BUY,7,146.993458,1.028954,0.514220,3296.585178
10,2020-11-02,MSFT,SELL,225,204.187848,45.942266,22.982624,49192.908777
10,2020-11-02,TSLA,BUY,12,131.398995,1.576788,0.788000,47614.544050
10,2020-11-02,BTC-USD,BUY,3,13743.900743,41.231702,20.605548,6341.610120
11,2020-12-01,TSLA,SELL,40,199.097072,7.963883,3.983933,14297.529125
11,2020-12-01,AAPL,BUY,82,121.070507,9.927782,4.961410,4359.819758
12,2021-01-04,AAPL,BUY,21,133.586764,2.805322,1.401960,1551.692386
12,2021-01-04,TSLA,BUY,6,239.939917,1.439640,0.719460,110.613243
13,2021-02-01,TSLA,SELL,3,271.294278,0.813883,0.407145,923.682193
13,2021-02-01,AAPL,BUY,6,133.816875,0.802901,0.401250,119.978041
14,2021-03-01,AAPL,SELL,519,123.688125,64.194137,32.113125,64249.920780
14,2021-03-01,BTC-USD,SELL,1,45136.924154,45.136924,22.579752,109341.708010
