rebalance_id,date,ticker,side,quantity,price,transaction_cost,slippage_cost
5,2020-06-01,AAPL,BUY,182,79.477219,14.464854,7.228813
5,2020-06-01,MSFT,BUY,79,182.631263,14.427870,7.210330
5,2020-06-01,SPY,BUY,47,303.771805,14.277275,7.135070
5,2020-06-01,TSLA,BUY,253,57.228601,14.478836,7.235800
5,2020-06-01,BTC-USD,BUY,4,9468.337271,37.873349,18.927211
6,2020-07-01,AAPL,SELL,12,91.234359,1.094812,0.547680
6,2020-07-01,MSFT,SELL,3,203.038429,0.609115,0.304710
6,2020-07-01,TSLA,SELL,39,72.163897,2.814392,1.407900
6,2020-07-01,SPY,BUY,2,309.724792,0.619450,0.309570
7,2020-08-03,MSFT,SELL,76,211.414244,16.067483,8.037760
7,2020-08-03,SPY,SELL,49,328.155847,16.079637,8.043840
7,2020-08-03,AAPL,BUY,196,108.254097,21.217803,10.603600
7,2020-08-03,TSLA,BUY,196,96.661641,18.945682,9.468107
8,2020-09-01,TSLA,SELL,89,167.296315,14.889372,7.448410
8,2020-09-01,AAPL,BUY,37,132.826375,4.914576,2.456060
9,2020-10-01,BTC-USD,SELL,4,10789.857255,43.159429,21.590510
9,2020-10-01,AAPL,BUY,7,117.698819,0.823892,0.411740
9,2020-10-01,MSFT,BUY,225,213.596750,48.059269,24.017626
9,2020-10-01,TSLA,BUY,7,146.993458,1.028954,0.514220
10,2020-11-02,MSFT,SELL,225,204.187848,45.942266,22.982624
10,2020-11-02,TSLA,BUY,12,131.398995,1.576788,0.788000
10,2020-11-02,BTC-USD,BUY,3,13743.900743,41.231702,20.605548
11,2020-12-01,TSLA,SELL,40,199.097072,7.963883,3.983933
11,2020-12-01,AAPL,BUY,82,121.070507,9.927782,4.961410
12,2021-01-04,AAPL,BUY,21,133.586764,2.805322,1.401960
12,2021-01-04,TSLA,BUY,6,239.939917,1.439640,0.719460
13,2021-02-01,TSLA,SELL,3,271.294278,0.813883,0.407145
13,2021-02-01,AAPL,BUY,6,133.816875,0.802901,0.401250
14,2021-03-01,AAPL,SELL,519,123.688125,64.194137,32.113125
14,2021-03-01,BTC-USD,SELL,1,45136.924154,45.136924,22.579752
14,2021-03-01,SPY,BUY,227,385.782791,87.572694,43.764465
14,2021-03-01,TSLA,BUY,79,230.151685,18.181983,9.086448
15,2021-04-01,SPY,BUY,3,398.599194,1.195798,0.597600
15,2021-04-01,TSLA,BUY,8,229.571393,1.836571,0.917827
16,2021-05-03,TSLA,BUY,1,234.717306,0.234717,0.117300
17,2021-06-01,SPY,SELL,33,422.358722,13.937838,6.972405
17,2021-06-01,TSLA,SELL,391,209.162029,81.782353,40.911633
17,2021-06-01,MSFT,BUY,329,251.355611,82.695996,41.327334
18,2021-07-01,MSFT,SELL,18,269.475180,4.850553,2.426490
18,2021-07-01,SPY,SELL,1,428.655560,0.428656,0.214435
18,2021-07-01,BTC-USD,SELL,2,35018.466383,70.036933,35.035984
18,2021-07-01,TSLA,BUY,366,228.087314,83.479957,41.719119
19,2021-08-02,MSFT,SELL,8,286.216805,2.289734,1.145440
19,2021-08-02,TSLA,SELL,366,233.216662,85.357298,42.699999
19,2021-08-02,AAPL,BUY,591,146.433181,86.542010,43.249380
20,2021-09-01,MSFT,SELL,4,302.718560,1.210874,0.605740
20,2021-09-01,SPY,BUY,3,452.786278,1.358359,0.678840
21,2021-10-01,SPY,SELL,199,430.764521,85.722140,42.882511
21,2021-10-01,AAPL,BUY,6,141.970944,0.851826,0.425700
21,2021-10-01,MSFT,BUY,1,282.261055,0.282261,0.141060
21,2021-10-01,TSLA,BUY,326,259.596408,84.628429,42.293068
22,2021-11-01,AAPL,SELL,597,148.915510,88.902560,44.473517
22,2021-11-01,TSLA,SELL,53,381.475823,20.218219,10.114166
22,2021-11-01,MSFT,BUY,13,331.525665,4.309834,2.153840
22,2021-11-01,BTC-USD,BUY,1,61351.109443,61.351109,30.660225
23,2021-12-01,MSFT,SELL,4,334.962440,1.339850,0.670260
23,2021-12-01,TSLA,SELL,6,386.706544,2.320239,1.160700
