rebalance_id,date,ticker,transaction_cost,slippage_cost,total_cost
0,2020-01-03,AAPL,19.547381,9.768806,29.316187
0,2020-01-03,MSFT,19.483098,9.736680,29.219778
0,2020-01-03,SPY,19.279235,9.634800,28.914035
0,2020-01-03,TSLA,19.567979,9.779100,29.347079
0,2020-01-03,BTC-USD,13.975842,6.984429,20.960271
1,2020-02-03,TSLA,6.957983,3.480732,10.438714
1,2020-02-03,AAPL,2.892295,1.445425,4.337720
1,2020-02-03,MSFT,1.875667,0.937365,2.813032
1,2020-02-03,SPY,3.235117,1.616750,4.851867
2,2020-03-02,TSLA,2.132713,1.066890,3.199603
2,2020-03-02,AAPL,0.776658,0.388135,1.164793
2,2020-03-02,SPY,1.193436,0.596420,1.789856
3,2020-04-01,AAPL,0.800724,0.400562,1.201287
3,2020-04-01,MSFT,1.988006,0.994500,2.982506
3,2020-04-01,TSLA,2.689344,1.344000,4.033344
4,2020-05-01,TSLA,4.728968,2.365667,7.094634
4,2020-05-01,AAPL,1.288769,0.644062,1.932832
4,2020-05-01,MSFT,1.407103,0.703200,2.110303
4,2020-05-01,SPY,1.427263,0.713275,2.140538
5,2020-06-01,AAPL,0.555784,0.278031,0.833816
5,2020-06-01,TSLA,1.257771,0.629200,1.886971
5,2020-06-01,MSFT,0.913156,0.456350,1.369506
5,2020-06-01,SPY,0.303772,0.151810,0.455582
6,2020-07-01,AAPL,1.186047,0.593320,1.779367
6,2020-07-01,TSLA,3.969014,1.985500,5.954514
6,2020-07-01,SPY,2.168074,1.083495,3.251569
7,2020-08-03,AAPL,0.973313,0.486900,1.460213
7,2020-08-03,TSLA,5.021381,2.511947,7.533328
7,2020-08-03,MSFT,2.751135,1.374880,4.126015
7,2020-08-03,SPY,2.299389,1.149120,3.448509
8,2020-09-01,AAPL,0.132694,0.066380,0.199074
8,2020-09-01,TSLA,15.893150,7.950550,23.843700
8,2020-09-01,MSFT,4.738078,2.367855,7.105933
8,2020-09-01,SPY,4.905391,2.451470,7.356861
8,2020-09-01,BTC-USD,11.685156,5.839658,17.524814
9,2020-10-01,MSFT,0.640150,0.320235,0.960385
9,2020-10-01,SPY,1.350085,0.675380,2.025465
9,2020-10-01,AAPL,1.294687,0.647020,1.941707
9,2020-10-01,TSLA,1.469935,0.734600,2.204535
10,2020-11-02,AAPL,1.855797,0.927435,2.783232
10,2020-11-02,MSFT,0.817569,0.408580,1.226149
10,2020-11-02,SPY,0.330365,0.165100,0.495465
10,2020-11-02,TSLA,2.759379,1.379000,4.138379
11,2020-12-01,TSLA,7.565689,3.784737,11.350425
11,2020-12-01,AAPL,2.421410,1.210100,3.631510
11,2020-12-01,MSFT,3.219259,1.608825,4.828084
11,2020-12-01,SPY,2.194517,1.096710,3.291227
12,2021-01-04,BTC-USD,32.794544,16.405475,49.200018
12,2021-01-04,AAPL,8.549553,4.272640,12.822193
12,2021-01-04,MSFT,11.799987,5.897045,17.697032
12,2021-01-04,SPY,10.889432,5.441995,16.331427
12,2021-01-04,TSLA,1.199700,0.599550,1.799250
13,2021-02-01,TSLA,4.340708,2.171440,6.512148
13,2021-02-01,AAPL,1.873436,0.936250,2.809686
13,2021-02-01,MSFT,0.470355,0.235060,0.705415
13,2021-02-01,SPY,2.243441,1.121160,3.364601
17,2021-06-01,MSFT,2.762148,1.381765,4.143913
17,2021-06-01,SPY,4.223587,2.112850,6.336437
17,2021-06-01,AAPL,2.002281,1.000640,3.002921
17,2021-06-01,TSLA,5.024911,2.511200,7.536111
18,2021-07-01,MSFT,2.155801,1.078440,3.234241
18,2021-07-01,AAPL,0.136668,0.068300,0.204968
18,2021-07-01,TSLA,1.824699,0.911893,2.736592
22,2021-11-01,TSLA,10.681323,5.343333,16.024656
22,2021-11-01,AAPL,4.173806,2.085860,6.259666
22,2021-11-01,MSFT,1.989154,0.994080,2.983234
22,2021-11-01,SPY,4.605301,2.301500,6.906801
23,2021-12-01,TSLA,0.773413,0.386900,1.160313
23,2021-12-01,AAPL,0.167564,0.083740,0.251304
23,2021-12-01,SPY,0.461871,0.230820,0.692691
24,2022-01-03,AAPL,2.488375,1.244810,3.733185
24,2022-01-03,TSLA,1.911960,0.956458,2.868419
24,2022-01-03,MSFT,1.006553,0.503025,1.509578
24,2022-01-03,SPY,3.335767,1.667050,5.002817
25,2022-02-01,AAPL,6.782997,3.393195,10.176191
25,2022-02-01,MSFT,0.310255,0.155205,0.465460
25,2022-02-01,SPY,0.901811,0.450680,1.352491
25,2022-02-01,TSLA,5.925958,2.961498,8.887456
26,2022-03-01,AAPL,0.164782,0.082350,0.247132
27,2022-04-01,TSLA,5.763250,2.883067,8.646317
27,2022-04-01,AAPL,1.915287,0.957165,2.872452
27,2022-04-01,MSFT,1.857148,0.928110,2.785258
27,2022-04-01,SPY,1.814147,0.906620,2.720767
28,2022-05-02,TSLA,0.574134,0.286923,0.861057
29,2022-06-01,AAPL,1.648075,0.824450,2.472525
29,2022-06-01,MSFT,3.300749,1.651200,4.951949
29,2022-06-01,SPY,5.394512,2.698605,8.093117
29,2022-06-01,TSLA,7.303530,3.649940,10.953470
30,2022-07-01,AAPL,3.399299,1.700500,5.099799
30,2022-07-01,MSFT,4.868975,2.435705,7.304680
30,2022-07-01,SPY,3.387345,1.694520,5.081865
30,2022-07-01,TSLA,2.722638,1.362000,4.084638
31,2022-08-01,AAPL,1.126506,0.563535,1.690041
31,2022-08-01,TSLA,8.431529,4.217873,12.649402
31,2022-08-01,MSFT,3.613466,1.805830,5.419296
31,2022-08-01,SPY,3.684191,1.841175,5.525366
32,2022-09-01,AAPL,2.348425,1.174800,3.523225
32,2022-09-01,SPY,1.178081,0.589335,1.767416
32,2022-09-01,MSFT,0.258999,0.129435,0.388434
32,2022-09-01,TSLA,1.363581,0.681450,2.045031
33,2022-10-03,TSLA,0.254373,0.127250,0.381623
33,2022-10-03,AAPL,2.074187,1.036575,3.110762
33,2022-10-03,MSFT,0.706583,0.353115,1.059698
34,2022-11-01,AAPL,4.340069,2.171120,6.511189
34,2022-11-01,SPY,2.339670,1.170420,3.510090
34,2022-11-01,MSFT,1.877738,0.938400,2.816138
34,2022-11-01,TSLA,5.620009,2.808600,8.428609
35,2022-12-01,MSFT,6.089833,3.046440,9.136273
35,2022-12-01,SPY,4.494222,2.248235,6.742457
35,2022-12-01,AAPL,0.148284,0.074105,0.222389
35,2022-12-01,TSLA,6.309713,3.153280,9.462993
35,2022-12-01,BTC-USD,17.176586,8.584001,25.760587
36,2023-01-03,AAPL,0.260430,0.130280,0.390710
36,2023-01-03,MSFT,4.373252,2.187720,6.560972
36,2023-01-03,SPY,3.457600,1.729665,5.187265
36,2023-01-03,TSLA,13.156745,6.575085,19.731830
37,2023-02-01,TSLA,10.080577,5.042810,15.123387
37,2023-02-01,AAPL,2.304672,1.151760,3.456432
37,2023-02-01,MSFT,4.218108,2.108000,6.326108
37,2023-02-01,SPY,3.243301,1.620840,4.864141
38,2023-03-01,TSLA,8.038169,4.021095,12.059264
38,2023-03-01,AAPL,1.762841,0.880980,2.643821
38,2023-03-01,MSFT,3.010624,1.504560,4.515184
38,2023-03-01,SPY,3.164862,1.581640,4.746502
39,2023-04-03,TSLA,0.200010,0.099955,0.299965
40,2023-05-01,AAPL,0.845977,0.423200,1.269177
40,2023-05-01,MSFT,3.374982,1.688335,5.063317
40,2023-05-01,SPY,0.831355,0.415470,1.246825
40,2023-05-01,TSLA,3.265032,1.631700,4.896732
41,2023-06-01,AAPL,0.532833,0.266550,0.799383
41,2023-06-01,MSFT,1.303068,0.651860,1.954928
41,2023-06-01,SPY,1.254897,0.627135,1.882032
41,2023-06-01,TSLA,0.810765,0.405180,1.215945
42,2023-07-03,TSLA,9.119608,4.562085,13.681692
42,2023-07-03,AAPL,1.163261,0.581340,1.744601
42,2023-07-03,MSFT,2.375517,1.187165,3.562682
42,2023-07-03,SPY,5.317698,2.657520,7.975218
43,2023-08-01,AAPL,0.196142,0.098120,0.294262
44,2023-09-01,AAPL,0.757581,0.378980,1.136561
44,2023-09-01,MSFT,0.331476,0.165655,0.497131
