rebalance_id,date,policy_name,frequency,turnover,cash_buffer,max_weight,min_trade_value
0,2020-01-03,equal_weight,monthly,0.918535,0.020000,0.400000,25.000000
1,2020-02-03,equal_weight,monthly,0.127842,0.020000,0.400000,25.000000
2,2020-03-02,equal_weight,monthly,0.036431,0.020000,0.400000,25.000000
3,2020-04-01,equal_weight,monthly,0.058424,0.020000,0.400000,25.000000
4,2020-05-01,equal_weight,monthly,0.076406,0.020000,0.400000,25.000000
5,2020-06-01,equal_weight,monthly,0.024178,0.020000,0.400000,25.000000
6,2020-07-01,equal_weight,monthly,0.053044,0.020000,0.400000,25.000000
7,2020-08-03,equal_weight,monthly,0.069564,0.020000,0.400000,25.000000
8,2020-09-01,equal_weight,monthly,0.192472,0.020000,0.400000,25.000000
9,2020-10-01,equal_weight,monthly,0.026564,0.020000,0.400000,25.000000
10,2020-11-02,equal_weight,monthly,0.032149,0.020000,0.400000,25.000000
11,2020-12-01,equal_weight,monthly,0.068843,0.020000,0.400000,25.000000
12,2021-01-04,equal_weight,monthly,0.233857,0.020000,0.400000,25.000000
13,2021-02-01,equal_weight,monthly,0.030846,0.020000,0.400000,25.000000
14,2021-03-01,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
15,2021-04-01,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
16,2021-05-03,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
17,2021-06-01,equal_weight,monthly,0.047966,0.020000,0.400000,25.000000
18,2021-07-01,equal_weight,monthly,0.013634,0.020000,0.400000,25.000000
19,2021-08-02,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
20,2021-09-01,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
21,2021-10-01,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
22,2021-11-01,equal_weight,monthly,0.051696,0.020000,0.400000,25.000000
23,2021-12-01,equal_weight,monthly,0.003367,0.020000,0.400000,25.000000
24,2022-01-03,equal_weight,monthly,0.021661,0.020000,0.400000,25.000000
25,2022-02-01,equal_weight,monthly,0.038686,0.020000,0.400000,25.000000
26,2022-03-01,equal_weight,monthly,0.000464,0.020000,0.400000,25.000000
27,2022-04-01,equal_weight,monthly,0.029468,0.020000,0.400000,25.000000
28,2022-05-02,equal_weight,monthly,0.001717,0.020000,0.400000,25.000000
29,2022-06-01,equal_weight,monthly,0.056826,0.020000,0.400000,25.000000
30,2022-07-01,equal_weight,monthly,0.054233,0.020000,0.400000,25.000000
31,2022-08-01,equal_weight,monthly,0.054811,0.020000,0.400000,25.000000
32,2022-09-01,equal_weight,monthly,0.017939,0.020000,0.400000,25.000000
33,2022-10-03,equal_weight,monthly,0.011454,0.020000,0.400000,25.000000
34,2022-11-01,equal_weight,monthly,0.051738,0.020000,0.400000,25.000000
35,2022-12-01,equal_weight,monthly,0.129880,0.020000,0.400000,25.000000
36,2023-01-03,equal_weight,monthly,0.092416,0.020000,0.400000,25.000000
37,2023-02-01,equal_weight,monthly,0.071401,0.020000,0.400000,25.000000
38,2023-03-01,equal_weight,monthly,0.055382,0.020000,0.400000,25.000000
39,2023-04-03,equal_weight,monthly,0.000629,0.020000,0.400000,25.000000
40,2023-05-01,equal_weight,monthly,0.026157,0.020000,0.400000,25.000000
41,2023-06-01,equal_weight,monthly,0.011789,0.020000,0.400000,25.000000
42,2023-07-03,equal_weight,monthly,0.047896,0.020000,0.400000,25.000000
43,2023-08-01,equal_weight,monthly,0.000529,0.020000,0.400000,25.000000
44,2023-09-01,equal_weight,monthly,0.005078,0.020000,0.400000,25.000000
45,2023-10-02,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
46,2023-11-01,equal_weight,monthly,0.003534,0.020000,0.400000,25.000000
47,2023-12-01,equal_weight,monthly,0.002034,0.020000,0.400000,25.000000
48,2024-01-02,equal_weight,monthly,0.205816,0.020000,0.400000,25.000000
49,2024-02-01,equal_weight,monthly,0.081455,0.020000,0.400000,25.000000
50,2024-03-01,equal_weight,monthly,0.000803,0.020000,0.400000,25.000000
51,2024-04-01,equal_weight,monthly,0.000757,0.020000,0.400000,25.000000
52,2024-05-01,equal_weight,monthly,0.000395,0.020000,0.400000,25.000000
53,2024-06-03,equal_weight,monthly,0.000386,0.020000,0.400000,25.000000
54,2024-07-01,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
55,2024-08-01,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
56,2024-09-03,equal_weight,monthly,0.018079,0.020000,0.400000,25.000000
57,2024-10-01,equal_weight,monthly,0.038876,0.020000,0.400000,25.000000
58,2024-11-01,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
59,2024-12-02,equal_weight,monthly,0.041635,0.020000,0.400000,25.000000
60,2025-01-02,equal_weight,monthly,0.034124,0.020000,0.400000,25.000000
61,2025-02-03,equal_weight,monthly,0.000366,0.020000,0.400000,25.000000
62,2025-03-03,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
63,2025-04-01,equal_weight,monthly,0.000490,0.020000,0.400000,25.000000
64,2025-05-01,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
65,2025-06-02,equal_weight,monthly,0.000320,0.020000,0.400000,25.000000
66,2025-07-01,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
67,2025-08-01,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
68,2025-09-02,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
69,2025-10-01,equal_weight,monthly,0.000000,0.020000,0.400000,25.000000
70,2025-11-03,equal_weight,monthly,0.002589,0.020000,0.400000,25.000000
71,2025-12-01,equal_weight,monthly,0.002373,0.020000,0.400000,25.000000
