schema_version,regime,ticker,strategy,benchmark_ticker,return,sharpe,drawdown,trade_count,win_rate,profit_factor,benchmark_relative_performance,average_exposure,regime_information_cutoff,volatility_threshold_method,return_attribution_policy
2,bull/low_volatility,AAPL,MA_Cross,AAPL,0.122874,0.321927,-0.233844,12,0.500000,4.433086,-0.091933,0.825348,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/high_volatility,AAPL,MA_Cross,AAPL,0.309160,2.826601,-0.052988,3,1.000000,21414.844624,0.037640,0.709220,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/low_volatility,AAPL,MA_Cross,AAPL,0.066015,1.185005,-0.059799,2,0.000000,0.000000,-0.348573,0.218750,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/high_volatility,AAPL,MA_Cross,AAPL,-0.124856,-2.431667,-0.142031,6,0.000000,0.000000,0.022812,0.090909,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/low_volatility,AAPL,MA_Cross,AAPL,0.023841,0.280756,-0.125646,4,1.000000,6937.864235,-0.134623,0.505814,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/high_volatility,AAPL,MA_Cross,AAPL,-0.031583,-0.982337,-0.053341,4,0.000000,0.000000,-0.080148,0.218750,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/low_volatility,AAPL,RSI_Mean_Reversion,AAPL,-0.178504,-0.534334,-0.264702,18,0.875000,23.092469,-0.393310,0.247295,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/high_volatility,AAPL,RSI_Mean_Reversion,AAPL,0.099349,1.287443,-0.087993,1,1.000000,5749.379666,-0.172170,0.354610,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/low_volatility,AAPL,RSI_Mean_Reversion,AAPL,0.120573,1.462765,-0.090507,2,0.000000,0.000000,-0.294016,0.645833,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/high_volatility,AAPL,RSI_Mean_Reversion,AAPL,-0.019859,0.118625,-0.233733,4,0.333333,0.606746,0.127809,0.802139,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/low_volatility,AAPL,RSI_Mean_Reversion,AAPL,0.160034,1.357744,-0.089145,4,1.000000,5526.577204,0.001571,0.540698,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/high_volatility,AAPL,RSI_Mean_Reversion,AAPL,0.018984,0.402588,-0.131419,3,0.500000,3.515506,-0.029581,0.828125,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/low_volatility,AAPL,MACD_Momentum,AAPL,0.364507,0.902233,-0.136177,50,0.500000,3.854746,0.149700,0.496136,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bull/high_volatility,AAPL,MACD_Momentum,AAPL,-0.043992,-0.379050,-0.127671,13,0.666667,1.974632,-0.315511,0.624113,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/low_volatility,AAPL,MACD_Momentum,AAPL,0.305789,3.623269,-0.058232,6,0.333333,0.479915,-0.108800,0.520833,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,bear/high_volatility,AAPL,MACD_Momentum,AAPL,-0.359438,-2.378858,-0.370760,15,0.166667,0.000488,-0.211770,0.508021,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
2,sideways/low_volatility,AAPL,MACD_Momentum,AAPL,0.070574,0.866685,-0.062979,11,0.571429,3.404831,-0.087890,0.401163,start_of_period_close,expanding_median_strictly_prior_volatility,start_of_period_regime
