path,total_return,terminal_wealth,max_drawdown,sharpe
0,1.54377,254377,-0.253904,0.909785
1,0.194041,119404,-0.399332,0.253115
2,0.661128,166113,-0.303725,0.574244
3,0.331812,133181,-0.398763,0.339946
4,0.0717245,107172,-0.40126,0.156817
5,0.407715,140772,-0.255557,0.397609
6,1.8432,284320,-0.224026,1.06696
7,0.804782,180478,-0.260445,0.618529
8,3.9403,494030,-0.211743,1.4503
9,3.13037,413037,-0.14713,1.4353
10,-0.0432949,95670.5,-0.440337,0.051437
11,0.766277,176628,-0.301274,0.613331
12,1.20685,220685,-0.265479,0.824121
13,0.92614,192614,-0.21084,0.699395
14,2.21406,321406,-0.24682,1.10263
15,1.52083,252083,-0.18293,0.916118
16,1.63681,263681,-0.159502,1.00796
17,2.86279,386279,-0.221713,1.31183
18,1.92129,292129,-0.226104,1.04073
19,-0.0396725,96032.7,-0.41299,0.0662568
20,-0.167021,83297.9,-0.461134,-0.0811369
21,2.36829,336829,-0.219097,1.15676
22,1.06833,206833,-0.204705,0.777339
23,1.94939,294939,-0.234438,1.04924
24,0.109347,110935,-0.289891,0.186077
25,2.00081,300081,-0.200281,1.02452
26,0.93146,193146,-0.411911,0.668245
27,1.13557,213557,-0.219509,0.780427
28,0.970474,197047,-0.29327,0.702847
29,1.54588,254588,-0.222954,0.939129
30,0.854769,185477,-0.205829,0.644671
31,2.76054,376054,-0.305377,1.25786
32,-0.109531,89046.9,-0.419375,-0.0072751
33,1.92763,292763,-0.189102,1.03691
34,1.27328,227328,-0.355127,0.832437
35,0.240972,124097,-0.390588,0.291194
36,2.1429,314290,-0.180671,1.1244
37,1.11519,211519,-0.277631,0.76324
38,0.913568,191357,-0.393822,0.664318
39,0.689925,168992,-0.267075,0.595132
40,1.04104,204104,-0.263724,0.744605
41,0.45494,145494,-0.234124,0.433167
42,1.65565,265565,-0.292954,0.937993
43,1.67446,267446,-0.308602,0.964654
44,1.16473,216473,-0.326603,0.804145
45,0.162632,116263,-0.242729,0.227304
46,2.21392,321392,-0.246158,1.19001
47,0.115968,111597,-0.264554,0.191304
48,3.29306,429306,-0.308558,1.33316
49,3.38112,438112,-0.256451,1.43002
50,2.3029,330290,-0.171703,1.23621
51,0.454374,145437,-0.384949,0.416923
52,0.908884,190888,-0.247245,0.651564
53,3.8646,486460,-0.185744,1.39582
54,4.29901,529901,-0.170576,1.58784
55,0.250407,125041,-0.30355,0.295
56,0.797795,179780,-0.339284,0.591292
57,3.53321,453321,-0.244289,1.44884
58,1.39163,239163,-0.368647,0.846904
59,1.94582,294582,-0.134831,1.06104
60,1.4416,244160,-0.223302,0.922376
61,2.52213,352213,-0.199589,1.21423
62,0.461681,146168,-0.199562,0.438681
63,1.6373,263730,-0.286977,0.946047
64,1.38935,238935,-0.305959,0.815482
65,1.06359,206359,-0.273156,0.710425
66,1.61254,261254,-0.331143,0.926836
67,1.49893,249893,-0.270531,0.876109
68,-0.411817,58818.3,-0.567031,-0.367396
69,0.490002,149000,-0.313021,0.454228
70,1.13524,213524,-0.160634,0.827968
71,0.236193,123619,-0.276268,0.280202
72,1.20192,220192,-0.214648,0.786586
73,1.16268,216268,-0.270585,0.797976
74,0.0772893,107729,-0.364429,0.161617
75,0.383891,138389,-0.27476,0.388194
76,0.721288,172129,-0.316175,0.564936
77,4.0567,505670,-0.203724,1.5253
78,1.16638,216638,-0.339014,0.765893
79,1.38657,238657,-0.303215,0.908262
80,0.574799,157480,-0.379379,0.504377
81,0.992503,199250,-0.295442,0.722925
82,0.500342,150034,-0.335283,0.458607
83,0.644935,164493,-0.249104,0.547824
84,1.09453,209453,-0.230295,0.743077
85,-0.0398052,96019.5,-0.411109,0.0638335
86,1.54914,254914,-0.267291,0.904708
87,0.157639,115764,-0.292407,0.224623
88,-0.146015,85398.5,-0.481669,-0.0589624
89,0.0303802,103038,-0.464754,0.114909
90,1.81254,281254,-0.23896,1.08253
91,0.753004,175300,-0.233797,0.598178
92,0.9737,197370,-0.361334,0.690619
93,0.731404,173140,-0.235952,0.589035
94,0.332431,133243,-0.324764,0.349678
95,1.43121,243121,-0.28076,0.896222
96,0.66934,166934,-0.270268,0.543105
97,1.87623,287623,-0.272014,1.04338
98,0.198355,119835,-0.373194,0.251649
99,0.727849,172785,-0.266427,0.562651
100,-0.164069,83593.1,-0.31861,-0.0811831
101,1.91395,291395,-0.380342,1.03651
102,0.671484,167148,-0.453032,0.570653
103,2.03725,303725,-0.205542,1.05026
104,2.30461,330461,-0.162292,1.19354
105,-0.290325,70967.5,-0.616591,-0.182497
106,1.75866,275866,-0.319347,0.997043
107,0.294052,129405,-0.47469,0.33283
108,-0.165512,83448.8,-0.359864,-0.0855323
109,1.80908,280908,-0.253837,1.00483
110,0.987221,198722,-0.268814,0.718352
111,0.817666,181767,-0.317586,0.614528
112,0.596333,159633,-0.31641,0.508123
113,0.803643,180364,-0.265733,0.652164
114,0.582445,158245,-0.31145,0.492233
115,2.23598,323598,-0.324986,1.1338
116,0.163878,116388,-0.271378,0.2285
117,1.91528,291528,-0.236531,1.07327
118,0.0696946,106969,-0.347835,0.155348
119,0.519021,151902,-0.292252,0.457945
120,3.27322,427322,-0.227099,1.40282
121,0.987845,198785,-0.199178,0.705536
122,1.49169,249169,-0.240172,0.901191
123,3.13671,413671,-0.144997,1.37715
124,2.95814,395814,-0.14721,1.27212
125,0.961392,196139,-0.290377,0.678341
126,0.521925,152192,-0.467416,0.461401
127,3.24437,424437,-0.273383,1.31716
128,2.53578,353578,-0.24207,1.22729
129,1.23425,223425,-0.191475,0.813481
130,1.74822,274822,-0.195192,1.01266
131,0.953042,195304,-0.29424,0.651016
132,1.62459,262459,-0.231397,0.969472
133,0.129069,112907,-0.402229,0.202158
134,1.22122,222122,-0.284162,0.804926
135,0.323862,132386,-0.314131,0.343077
136,2.87415,387415,-0.194831,1.31087
137,1.71214,271214,-0.210142,1.0071
138,2.46369,346369,-0.389763,1.13218
139,0.974294,197429,-0.19019,0.678166
140,0.25519,125519,-0.232042,0.299765
141,0.364783,136478,-0.252762,0.368435
142,1.44647,244647,-0.197137,0.895782
143,0.629388,162939,-0.232472,0.532998
144,0.156378,115638,-0.288987,0.221777
145,0.306056,130606,-0.340638,0.331477
146,1.76176,276176,-0.185842,0.986535
147,2.69152,369152,-0.215167,1.24914
148,1.74497,274497,-0.296481,0.985185
149,1.34529,234529,-0.294032,0.852595
150,0.582123,158212,-0.205097,0.515477
151,0.248477,124848,-0.323699,0.295464
152,0.0682754,106828,-0.364562,0.155256
153,1.64618,264618,-0.258694,0.920444
154,2.17222,317222,-0.275963,1.09918
155,0.488668,148867,-0.325506,0.428818
156,0.412287,141229,-0.265396,0.401954
157,0.80229,180229,-0.2992,0.63864
158,1.42635,242635,-0.256758,0.895427
159,1.36203,236203,-0.212271,0.853402
160,2.04242,304242,-0.196599,1.04161
161,0.638398,163840,-0.314836,0.545661
162,1.44058,244058,-0.212903,0.927205
163,1.5442,254420,-0.281144,0.955778
164,0.282907,128291,-0.281513,0.3272
165,1.86312,286312,-0.183601,1.01458
166,1.56119,256119,-0.250345,0.973546
167,0.611133,161113,-0.217301,0.517437
168,2.13358,313358,-0.202203,1.24254
169,0.551643,155164,-0.366907,0.477748
170,0.591434,159143,-0.50447,0.502363
171,5.8756,687560,-0.26782,1.83404
172,3.45121,445121,-0.267161,1.38146
173,-0.181292,81870.8,-0.402468,-0.0726
174,5.55417,655417,-0.165503,1.81946
175,3.01108,401108,-0.264127,1.35566
176,0.705734,170573,-0.287537,0.543866
177,0.243534,124353,-0.591435,0.28837
178,1.63578,263578,-0.263076,0.938795
179,0.304691,130469,-0.27869,0.342749
180,0.498284,149828,-0.406563,0.458688
181,1.35216,235216,-0.268144,0.863016
182,1.36009,236009,-0.293314,0.831741
183,0.731636,173164,-0.287613,0.616531
184,0.550499,155050,-0.26939,0.474768
185,0.677405,167740,-0.210689,0.559369
186,0.9857,198570,-0.369238,0.687422
187,1.37837,237837,-0.199809,0.864127
188,1.21371,221371,-0.284557,0.781685
189,-0.0364286,96357.1,-0.289727,0.0580074
190,1.12432,212432,-0.320561,0.766286
191,0.388988,138899,-0.265556,0.401557
192,0.901709,190171,-0.287866,0.68337
193,0.634151,163415,-0.371713,0.518066
194,1.40904,240904,-0.171708,0.871525
195,1.61108,261108,-0.210917,0.897561
196,0.533212,153321,-0.484146,0.473999
197,4.83752,583752,-0.23915,1.74476
198,1.34301,234301,-0.312364,0.869608
199,2.57431,357431,-0.241723,1.26259
200,0.704694,170469,-0.285455,0.557311
201,0.707981,170798,-0.289057,0.583433
202,0.214835,121483,-0.27983,0.265104
203,1.01358,201358,-0.251841,0.739112
204,0.341088,134109,-0.312899,0.35917
205,0.898724,189872,-0.369525,0.670236
206,0.244495,124450,-0.291843,0.290261
207,1.54301,254301,-0.162665,0.918573
208,1.39059,239059,-0.287756,0.895144
209,0.894192,189419,-0.487544,0.675786
210,-0.115388,88461.2,-0.332092,-0.0242925
211,-0.369185,63081.5,-0.563254,-0.316915
212,0.70212,170212,-0.371925,0.571493
213,0.419589,141959,-0.355579,0.402356
214,0.48974,148974,-0.302987,0.465255
215,2.92534,392534,-0.22089,1.38346
216,2.24487,324487,-0.21768,1.16399
217,0.982043,198204,-0.316825,0.718165
218,-0.137518,86248.2,-0.414501,-0.0472896
219,3.26091,426091,-0.173816,1.40375
220,2.35906,335906,-0.254328,1.22353
221,1.01892,201892,-0.283305,0.707589
222,1.84904,284904,-0.4496,1.03738
223,2.76463,376463,-0.212689,1.28193
224,0.602391,160239,-0.295747,0.493781
225,1.26738,226738,-0.212334,0.804238
226,1.14611,214611,-0.313018,0.868235
227,0.438953,143895,-0.261872,0.407559
228,1.10233,210233,-0.229318,0.75835
229,0.432231,143223,-0.443757,0.39723
230,-0.103964,89603.6,-0.518253,-0.00517053
231,0.604339,160434,-0.404036,0.503068
232,0.553252,155325,-0.269,0.483118
233,0.705561,170556,-0.221067,0.573331
234,0.95128,195128,-0.226424,0.679838
235,0.608594,160859,-0.288153,0.509846
236,0.570674,157067,-0.315933,0.506381
237,2.30968,330968,-0.292991,1.16851
238,0.261535,126154,-0.381977,0.304411
239,1.26213,226213,-0.255623,0.806607
240,1.37355,237355,-0.246492,0.847927
241,2.30831,330831,-0.206661,1.08283
242,0.377299,137730,-0.330918,0.378089
243,0.348357,134836,-0.227574,0.361133
244,0.453137,145314,-0.376546,0.453662
245,1.58232,258232,-0.334045,0.915645
246,0.339421,133942,-0.258005,0.35784
247,1.10251,210251,-0.223778,0.747524
248,1.10137,210137,-0.217692,0.734534
249,0.356177,135618,-0.273423,0.36
250,0.252889,125289,-0.258839,0.299358
251,2.44744,344744,-0.165563,1.21548
252,-0.377494,62250.6,-0.45898,-0.366341
253,1.98874,298874,-0.326815,0.98787
254,0.770311,177031,-0.294655,0.599768
255,3.21217,421217,-0.223174,1.35134
256,1.13024,213024,-0.250122,0.795129
257,0.966915,196691,-0.280016,0.669666
258,0.572107,157211,-0.226876,0.486844
259,2.54629,354629,-0.222358,1.2413
260,0.900306,190031,-0.461988,0.643923
261,1.57637,257637,-0.167268,0.941285
262,1.71446,271446,-0.386836,0.970828
263,0.294245,129425,-0.247727,0.322404
264,-0.0699359,93006.4,-0.356121,0.0263712
265,1.26819,226819,-0.217044,0.855371
266,0.0739879,107399,-0.452372,0.15809
267,0.944673,194467,-0.240929,0.666142
268,0.433798,143380,-0.315982,0.410692
269,-0.208938,79106.2,-0.470517,-0.131661
270,0.705206,170521,-0.331022,0.566236
271,0.400727,140073,-0.287138,0.395473
