date,ticker,filled_notional,estimated_cost
2020-01-02,AAPL,20000.000000,0
2020-01-02,MSFT,20000.000000,0
2020-01-02,SPY,20000.000000,0
2020-01-02,TSLA,20000.000000,0
2020-01-02,BTC-USD,20000.000000,0
2020-02-03,AAPL,20000.000000,0
2020-02-03,MSFT,20000.000000,0
2020-02-03,SPY,20000.000000,0
2020-02-03,TSLA,20000.000000,0
2020-02-03,BTC-USD,20000.000000,0
2020-03-04,AAPL,20000.000000,0
2020-03-04,MSFT,20000.000000,0
2020-03-04,SPY,20000.000000,0
2020-03-04,TSLA,20000.000000,0
2020-03-04,BTC-USD,20000.000000,0
2020-04-02,AAPL,20000.000000,0
2020-04-02,MSFT,20000.000000,0
2020-04-02,SPY,20000.000000,0
2020-04-02,TSLA,20000.000000,0
2020-04-02,BTC-USD,20000.000000,0
2020-05-04,AAPL,20004.231755,0
2020-05-04,MSFT,20004.231755,0
2020-05-04,SPY,20004.231755,0
2020-05-04,TSLA,20004.231755,0
2020-05-04,BTC-USD,20004.231755,0
2020-06-03,AAPL,21535.732188,0
2020-06-03,MSFT,21535.732188,0
2020-06-03,SPY,21535.732188,0
2020-06-03,TSLA,21535.732188,0
2020-06-03,BTC-USD,21535.732188,0
2020-07-02,AAPL,25183.316812,0
2020-07-02,MSFT,25183.316812,0
2020-07-02,SPY,25183.316812,0
2020-07-02,TSLA,25183.316812,0
2020-07-02,BTC-USD,25183.316812,0
2020-08-03,AAPL,27870.277669,0
2020-08-03,MSFT,27870.277669,0
2020-08-03,SPY,27870.277669,0
2020-08-03,TSLA,27870.277669,0
2020-08-03,BTC-USD,27870.277669,0
2020-09-01,AAPL,34274.278649,0
2020-09-01,MSFT,34274.278649,0
2020-09-01,SPY,34274.278649,0
2020-09-01,TSLA,34274.278649,0
2020-09-01,BTC-USD,34274.278649,0
2020-10-01,AAPL,31949.867547,0
2020-10-01,MSFT,31949.867547,0
2020-10-01,SPY,31949.867547,0
2020-10-01,TSLA,31949.867547,0
2020-10-01,BTC-USD,31949.867547,0
2020-10-30,AAPL,29867.437884,0
2020-10-30,MSFT,29867.437884,0
