ticker,strategy,window_id,selected_parameters,objective_value,in_sample_sharpe,in_sample_return
AAPL,MA_Cross,0,short=5;long=50,0.875556,0.875556,0.630067
AAPL,MA_Cross,1,short=5;long=50,0.730969,0.730969,0.405174
AAPL,MA_Cross,2,short=5;long=50,0.512764,0.512764,0.231194
AAPL,MA_Cross,3,short=10;long=50,0.808533,0.808533,0.404646
AAPL,MA_Cross,4,short=10;long=200,0.793511,0.793511,0.389141
MSFT,MA_Cross,0,short=5;long=100,0.728523,0.728523,0.300314
MSFT,MA_Cross,1,short=5;long=100,1.196154,1.196154,0.742470
MSFT,MA_Cross,2,short=5;long=200,0.667432,0.667432,0.262540
MSFT,MA_Cross,3,short=5;long=200,1.098482,1.098482,0.581539
MSFT,MA_Cross,4,short=30;long=200,0.970401,0.970401,0.531903
SPY,MA_Cross,0,short=10;long=100,0.635270,0.635270,0.228542
SPY,MA_Cross,1,short=20;long=200,0.691159,0.691159,0.108632
SPY,MA_Cross,2,short=20;long=200,0.793309,0.793309,0.169703
SPY,MA_Cross,3,short=20;long=200,1.355670,1.355670,0.374026
SPY,MA_Cross,4,short=20;long=200,1.343034,1.343034,0.462823
TSLA,MA_Cross,0,short=5;long=50,1.373790,1.373790,3.853904
TSLA,MA_Cross,1,short=5;long=50,1.184984,1.184984,1.915401
TSLA,MA_Cross,2,short=5;long=50,0.525796,0.525796,0.432237
TSLA,MA_Cross,3,short=5;long=50,0.554085,0.554085,0.438108
TSLA,MA_Cross,4,short=5;long=50,0.569918,0.569918,0.534283
BTC-USD,MA_Cross,0,short=10;long=50,1.643463,1.643463,4.669890
BTC-USD,MA_Cross,1,short=5;long=100,1.484438,1.484438,3.887224
BTC-USD,MA_Cross,2,short=5;long=100,1.484438,1.484438,3.887224
BTC-USD,MA_Cross,3,short=5;long=150,0.311552,0.311552,0.138754
BTC-USD,MA_Cross,4,short=5;long=150,0.414867,0.414867,0.244931
BTC-USD,MA_Cross,5,short=5;long=200,0.360391,0.360391,0.170210
BTC-USD,MA_Cross,6,short=5;long=200,1.218116,1.218116,1.149792
BTC-USD,MA_Cross,7,short=5;long=200,1.176917,1.176917,1.530583
BTC-USD,MA_Cross,8,short=5;long=50,1.019496,1.019496,1.025217
BTC-USD,MA_Cross,9,short=5;long=50,1.089376,1.089376,1.081458
BTC-USD,MA_Cross,10,short=5;long=50,1.281446,1.281446,1.459738
