ticker,strategy,window_id,train_start,train_end,test_start,test_end,selected_parameters,objective_value,parameter_changed
AAPL,MA_Cross,0,2020-01-02,2022-12-30,2023-01-03,2023-07-05,short=5;long=50,0.875556,0
AAPL,MA_Cross,1,2020-07-02,2023-07-05,2023-07-06,2024-01-03,short=5;long=50,0.730969,0
AAPL,MA_Cross,2,2020-12-31,2024-01-03,2024-01-04,2024-07-05,short=5;long=50,0.512764,0
AAPL,MA_Cross,3,2021-07-02,2024-07-05,2024-07-08,2025-01-03,short=10;long=50,0.808533,1
AAPL,MA_Cross,4,2021-12-31,2025-01-03,2025-01-06,2025-07-09,short=10;long=200,0.793511,1
MSFT,MA_Cross,0,2020-01-02,2022-12-30,2023-01-03,2023-07-05,short=5;long=100,0.728523,0
MSFT,MA_Cross,1,2020-07-02,2023-07-05,2023-07-06,2024-01-03,short=5;long=100,1.196154,0
MSFT,MA_Cross,2,2020-12-31,2024-01-03,2024-01-04,2024-07-05,short=5;long=200,0.667432,1
MSFT,MA_Cross,3,2021-07-02,2024-07-05,2024-07-08,2025-01-03,short=5;long=200,1.098482,0
MSFT,MA_Cross,4,2021-12-31,2025-01-03,2025-01-06,2025-07-09,short=30;long=200,0.970401,1
SPY,MA_Cross,0,2020-01-02,2022-12-30,2023-01-03,2023-07-05,short=10;long=100,0.635270,0
SPY,MA_Cross,1,2020-07-02,2023-07-05,2023-07-06,2024-01-03,short=20;long=200,0.691159,1
SPY,MA_Cross,2,2020-12-31,2024-01-03,2024-01-04,2024-07-05,short=20;long=200,0.793309,0
SPY,MA_Cross,3,2021-07-02,2024-07-05,2024-07-08,2025-01-03,short=20;long=200,1.355670,0
SPY,MA_Cross,4,2021-12-31,2025-01-03,2025-01-06,2025-07-09,short=20;long=200,1.343034,0
TSLA,MA_Cross,0,2020-01-02,2022-12-30,2023-01-03,2023-07-05,short=5;long=50,1.373790,0
TSLA,MA_Cross,1,2020-07-02,2023-07-05,2023-07-06,2024-01-03,short=5;long=50,1.184984,0
TSLA,MA_Cross,2,2020-12-31,2024-01-03,2024-01-04,2024-07-05,short=5;long=50,0.525796,0
TSLA,MA_Cross,3,2021-07-02,2024-07-05,2024-07-08,2025-01-03,short=5;long=50,0.554085,0
TSLA,MA_Cross,4,2021-12-31,2025-01-03,2025-01-06,2025-07-09,short=5;long=50,0.569918,0
BTC-USD,MA_Cross,0,2020-01-01,2022-01-25,2022-01-26,2022-05-31,short=10;long=50,1.643463,0
BTC-USD,MA_Cross,1,2020-05-06,2022-05-31,2022-06-01,2022-10-04,short=5;long=100,1.484438,1
BTC-USD,MA_Cross,2,2020-09-09,2022-10-04,2022-10-05,2023-02-07,short=5;long=100,1.484438,0
BTC-USD,MA_Cross,3,2021-01-13,2023-02-07,2023-02-08,2023-06-13,short=5;long=150,0.311552,1
BTC-USD,MA_Cross,4,2021-05-19,2023-06-13,2023-06-14,2023-10-17,short=5;long=150,0.414867,0
BTC-USD,MA_Cross,5,2021-09-22,2023-10-17,2023-10-18,2024-02-20,short=5;long=200,0.360391,1
BTC-USD,MA_Cross,6,2022-01-26,2024-02-20,2024-02-21,2024-06-25,short=5;long=200,1.218116,0
BTC-USD,MA_Cross,7,2022-06-01,2024-06-25,2024-06-26,2024-10-29,short=5;long=200,1.176917,0
BTC-USD,MA_Cross,8,2022-10-05,2024-10-29,2024-10-30,2025-03-04,short=5;long=50,1.019496,1
BTC-USD,MA_Cross,9,2023-02-08,2025-03-04,2025-03-05,2025-07-08,short=5;long=50,1.089376,0
BTC-USD,MA_Cross,10,2023-06-14,2025-07-08,2025-07-09,2025-11-11,short=5;long=50,1.281446,0
