ticker,strategy,window_id,parameter_set,total_return,sharpe,max_drawdown,trade_count
AAPL,MACD_Momentum,0,fast=8;slow=21;signal=5,0.222303,0.422349,-0.207267,80
AAPL,MACD_Momentum,0,fast=12;slow=26;signal=9,0.701489,0.967691,-0.180714,40
AAPL,MACD_Momentum,0,fast=16;slow=32;signal=9,0.591846,0.856742,-0.254191,44
AAPL,MACD_Momentum,0,fast=20;slow=40;signal=10,0.553673,0.827216,-0.242360,32
AAPL,MACD_Momentum,1,fast=8;slow=21;signal=5,0.220529,0.444392,-0.210261,89
AAPL,MACD_Momentum,1,fast=12;slow=26;signal=9,0.534149,0.846304,-0.180757,51
AAPL,MACD_Momentum,1,fast=16;slow=32;signal=9,0.331458,0.596733,-0.254227,51
AAPL,MACD_Momentum,1,fast=20;slow=40;signal=10,0.358361,0.634912,-0.242429,41
AAPL,MACD_Momentum,2,fast=8;slow=21;signal=5,0.197195,0.434161,-0.210238,92
AAPL,MACD_Momentum,2,fast=12;slow=26;signal=9,0.428705,0.814367,-0.180661,50
AAPL,MACD_Momentum,2,fast=16;slow=32;signal=9,0.349484,0.695129,-0.200275,48
AAPL,MACD_Momentum,2,fast=20;slow=40;signal=10,0.384795,0.740477,-0.223685,40
AAPL,MACD_Momentum,3,fast=8;slow=21;signal=5,0.050959,0.182117,-0.210260,109
AAPL,MACD_Momentum,3,fast=12;slow=26;signal=9,0.297276,0.612923,-0.180644,57
AAPL,MACD_Momentum,3,fast=16;slow=32;signal=9,0.377274,0.714655,-0.200137,49
AAPL,MACD_Momentum,3,fast=20;slow=40;signal=10,0.418814,0.763263,-0.223791,43
AAPL,MACD_Momentum,4,fast=8;slow=21;signal=5,0.102724,0.277693,-0.210229,104
AAPL,MACD_Momentum,4,fast=12;slow=26;signal=9,0.263895,0.568720,-0.173536,60
AAPL,MACD_Momentum,4,fast=16;slow=32;signal=9,0.292663,0.597856,-0.197637,50
AAPL,MACD_Momentum,4,fast=20;slow=40;signal=10,0.237086,0.508562,-0.188361,48
MSFT,MACD_Momentum,0,fast=8;slow=21;signal=5,-0.051394,0.009036,-0.296936,86
MSFT,MACD_Momentum,0,fast=12;slow=26;signal=9,-0.173887,-0.231255,-0.380539,64
MSFT,MACD_Momentum,0,fast=16;slow=32;signal=9,-0.210600,-0.312760,-0.398369,56
MSFT,MACD_Momentum,0,fast=20;slow=40;signal=10,-0.183217,-0.270150,-0.339831,48
MSFT,MACD_Momentum,1,fast=8;slow=21;signal=5,-0.074671,-0.046805,-0.307125,90
MSFT,MACD_Momentum,1,fast=12;slow=26;signal=9,-0.268508,-0.475962,-0.396052,70
MSFT,MACD_Momentum,1,fast=16;slow=32;signal=9,-0.257949,-0.439696,-0.422227,60
MSFT,MACD_Momentum,1,fast=20;slow=40;signal=10,-0.245131,-0.432790,-0.339937,50
MSFT,MACD_Momentum,2,fast=8;slow=21;signal=5,-0.006032,0.080248,-0.307233,92
MSFT,MACD_Momentum,2,fast=12;slow=26;signal=9,-0.088213,-0.078833,-0.396200,64
MSFT,MACD_Momentum,2,fast=16;slow=32;signal=9,-0.070974,-0.045946,-0.422314,54
MSFT,MACD_Momentum,2,fast=20;slow=40;signal=10,-0.054355,-0.020149,-0.353317,44
MSFT,MACD_Momentum,3,fast=8;slow=21;signal=5,-0.051506,-0.005800,-0.307334,95
MSFT,MACD_Momentum,3,fast=12;slow=26;signal=9,-0.104192,-0.115481,-0.396483,59
MSFT,MACD_Momentum,3,fast=16;slow=32;signal=9,-0.078242,-0.062208,-0.422454,53
MSFT,MACD_Momentum,3,fast=20;slow=40;signal=10,-0.099902,-0.118198,-0.353581,45
MSFT,MACD_Momentum,4,fast=8;slow=21;signal=5,-0.096939,-0.089975,-0.302674,92
MSFT,MACD_Momentum,4,fast=12;slow=26;signal=9,-0.240149,-0.402622,-0.365538,62
MSFT,MACD_Momentum,4,fast=16;slow=32;signal=9,-0.222681,-0.361295,-0.388156,58
MSFT,MACD_Momentum,4,fast=20;slow=40;signal=10,-0.264555,-0.487951,-0.329363,50
SPY,MACD_Momentum,0,fast=8;slow=21;signal=5,0.033613,0.148982,-0.203022,82
SPY,MACD_Momentum,0,fast=12;slow=26;signal=9,0.162637,0.438371,-0.160429,58
SPY,MACD_Momentum,0,fast=16;slow=32;signal=9,0.082174,0.264587,-0.212966,54
SPY,MACD_Momentum,0,fast=20;slow=40;signal=10,0.253620,0.653233,-0.194149,44
SPY,MACD_Momentum,1,fast=8;slow=21;signal=5,-0.022537,-0.010715,-0.202594,89
SPY,MACD_Momentum,1,fast=12;slow=26;signal=9,0.098064,0.328026,-0.160466,65
SPY,MACD_Momentum,1,fast=16;slow=32;signal=9,-0.004831,0.040714,-0.193280,63
SPY,MACD_Momentum,1,fast=20;slow=40;signal=10,0.008803,0.081085,-0.194058,51
SPY,MACD_Momentum,2,fast=8;slow=21;signal=5,-0.016693,0.003228,-0.202821,90
SPY,MACD_Momentum,2,fast=12;slow=26;signal=9,0.012142,0.091589,-0.160026,66
SPY,MACD_Momentum,2,fast=16;slow=32;signal=9,-0.035295,-0.060159,-0.188898,62
SPY,MACD_Momentum,2,fast=20;slow=40;signal=10,-0.012537,0.009700,-0.138575,51
SPY,MACD_Momentum,3,fast=8;slow=21;signal=5,-0.037871,-0.062989,-0.202791,99
SPY,MACD_Momentum,3,fast=12;slow=26;signal=9,0.085910,0.306684,-0.160281,62
SPY,MACD_Momentum,3,fast=16;slow=32;signal=9,0.016738,0.105105,-0.187011,60
SPY,MACD_Momentum,3,fast=20;slow=40;signal=10,0.081526,0.307507,-0.138535,47
SPY,MACD_Momentum,4,fast=8;slow=21;signal=5,-0.010102,0.023421,-0.170627,100
SPY,MACD_Momentum,4,fast=12;slow=26;signal=9,0.098112,0.340791,-0.129846,58
SPY,MACD_Momentum,4,fast=16;slow=32;signal=9,0.045170,0.191800,-0.154987,58
SPY,MACD_Momentum,4,fast=20;slow=40;signal=10,0.076523,0.288966,-0.134754,48
TSLA,MACD_Momentum,0,fast=8;slow=21;signal=5,1.096231,0.827021,-0.392413,72
TSLA,MACD_Momentum,0,fast=12;slow=26;signal=9,0.500355,0.532062,-0.436869,56
TSLA,MACD_Momentum,0,fast=16;slow=32;signal=9,0.176495,0.335048,-0.417915,38
TSLA,MACD_Momentum,0,fast=20;slow=40;signal=10,2.310002,1.141410,-0.358185,36
TSLA,MACD_Momentum,1,fast=8;slow=21;signal=5,2.544547,1.252413,-0.392299,77
TSLA,MACD_Momentum,1,fast=12;slow=26;signal=9,1.054156,0.789268,-0.447076,58
TSLA,MACD_Momentum,1,fast=16;slow=32;signal=9,1.536049,0.949323,-0.417822,43
TSLA,MACD_Momentum,1,fast=20;slow=40;signal=10,2.574628,1.242548,-0.359834,35
TSLA,MACD_Momentum,2,fast=8;slow=21;signal=5,1.768610,1.112481,-0.375411,72
TSLA,MACD_Momentum,2,fast=12;slow=26;signal=9,0.966400,0.776832,-0.447331,58
TSLA,MACD_Momentum,2,fast=16;slow=32;signal=9,0.703771,0.659099,-0.417664,43
TSLA,MACD_Momentum,2,fast=20;slow=40;signal=10,0.928888,0.783005,-0.359918,39
TSLA,MACD_Momentum,3,fast=8;slow=21;signal=5,2.312325,1.237042,-0.375652,79
TSLA,MACD_Momentum,3,fast=12;slow=26;signal=9,1.238076,0.877527,-0.447620,57
TSLA,MACD_Momentum,3,fast=16;slow=32;signal=9,1.189588,0.859547,-0.417661,45
TSLA,MACD_Momentum,3,fast=20;slow=40;signal=10,0.891544,0.741558,-0.401384,43
TSLA,MACD_Momentum,4,fast=8;slow=21;signal=5,2.203870,1.187629,-0.311305,76
TSLA,MACD_Momentum,4,fast=12;slow=26;signal=9,1.740907,1.026641,-0.366267,52
TSLA,MACD_Momentum,4,fast=16;slow=32;signal=9,1.609700,0.977074,-0.366231,44
TSLA,MACD_Momentum,4,fast=20;slow=40;signal=10,1.137382,0.822199,-0.401230,40
BTC-USD,MACD_Momentum,0,fast=8;slow=21;signal=5,2.273567,1.219186,-0.315975,78
BTC-USD,MACD_Momentum,0,fast=12;slow=26;signal=9,2.780717,1.350156,-0.413246,42
BTC-USD,MACD_Momentum,0,fast=16;slow=32;signal=9,2.097386,1.183341,-0.470099,42
BTC-USD,MACD_Momentum,0,fast=20;slow=40;signal=10,1.922351,1.140660,-0.492286,36
BTC-USD,MACD_Momentum,1,fast=8;slow=21;signal=5,1.423431,0.971270,-0.477083,87
BTC-USD,MACD_Momentum,1,fast=12;slow=26;signal=9,1.634259,1.066253,-0.414843,47
BTC-USD,MACD_Momentum,1,fast=16;slow=32;signal=9,1.272720,0.920539,-0.453812,49
BTC-USD,MACD_Momentum,1,fast=20;slow=40;signal=10,0.805447,0.732892,-0.520909,43
BTC-USD,MACD_Momentum,2,fast=8;slow=21;signal=5,1.110606,0.838365,-0.521784,91
