ticker,strategy,window_id,parameter_set,total_return,benchmark_net_return,excess_return,sharpe,max_drawdown,trade_count,total_costs
AAPL,MACD_Momentum,0,fast=12;slow=26;signal=9,0.195851,0.525201,-0.329349,2.543359,-0.058723,15,2434.518151
AAPL,MACD_Momentum,1,fast=12;slow=26;signal=9,0.028131,-0.042291,0.070422,0.576005,-0.085384,10,1427.560641
AAPL,MACD_Momentum,2,fast=12;slow=26;signal=9,0.025692,0.240514,-0.214822,0.377630,-0.108301,13,1815.267931
AAPL,MACD_Momentum,3,fast=20;slow=40;signal=10,-0.009705,0.065012,-0.074717,-0.104326,-0.059980,8,1108.860709
AAPL,MACD_Momentum,4,fast=16;slow=32;signal=9,-0.138851,-0.140786,0.001935,-1.239213,-0.220362,13,1711.124889
MSFT,MACD_Momentum,0,fast=8;slow=21;signal=5,0.075015,0.407200,-0.332185,0.847225,-0.083189,16,2519.408192
MSFT,MACD_Momentum,1,fast=8;slow=21;signal=5,0.045329,0.082691,-0.037362,0.663920,-0.076300,14,1998.245970
MSFT,MACD_Momentum,2,fast=8;slow=21;signal=5,0.125416,0.266944,-0.141529,1.944242,-0.067449,17,2526.088434
MSFT,MACD_Momentum,3,fast=8;slow=21;signal=5,-0.000658,-0.094711,0.094053,0.063515,-0.083698,12,1705.813367
MSFT,MACD_Momentum,4,fast=8;slow=21;signal=5,-0.027876,0.173312,-0.201189,-0.193223,-0.189924,14,1853.582004
SPY,MACD_Momentum,0,fast=20;slow=40;signal=10,0.015428,0.160135,-0.144707,0.359726,-0.082888,9,1276.660256
SPY,MACD_Momentum,1,fast=12;slow=26;signal=9,0.019669,0.063062,-0.043392,0.575996,-0.050701,10,1420.546657
SPY,MACD_Momentum,2,fast=12;slow=26;signal=9,0.055041,0.183399,-0.128358,1.787050,-0.016236,10,1463.515677
SPY,MACD_Momentum,3,fast=20;slow=40;signal=10,0.003996,0.062845,-0.058849,0.148820,-0.039331,8,1137.023228
SPY,MACD_Momentum,4,fast=12;slow=26;signal=9,-0.022554,0.045066,-0.067620,-0.285810,-0.128909,11,1506.375558
TSLA,MACD_Momentum,0,fast=20;slow=40;signal=10,1.307680,1.605308,-0.297629,3.955536,-0.193230,5,998.921491
TSLA,MACD_Momentum,1,fast=8;slow=21;signal=5,0.076062,-0.140321,0.216382,0.614561,-0.116250,12,1763.302071
TSLA,MACD_Momentum,2,fast=8;slow=21;signal=5,0.233944,0.053951,0.179993,1.236632,-0.192036,13,1752.326591
TSLA,MACD_Momentum,3,fast=8;slow=21;signal=5,0.310425,0.617817,-0.307392,1.526232,-0.112455,12,1933.607290
TSLA,MACD_Momentum,4,fast=8;slow=21;signal=5,-0.325612,-0.282341,-0.043271,-1.799816,-0.329133,16,1819.233464
BTC-USD,MACD_Momentum,0,fast=12;slow=26;signal=9,0.034574,-0.139885,0.174458,0.380110,-0.172942,9,1099.712414
BTC-USD,MACD_Momentum,1,fast=12;slow=26;signal=9,-0.011219,-0.319579,0.308360,0.059138,-0.142351,7,911.055502
BTC-USD,MACD_Momentum,2,fast=8;slow=21;signal=5,0.258446,0.150485,0.107961,2.203020,-0.096028,14,1756.568007
BTC-USD,MACD_Momentum,3,fast=12;slow=26;signal=9,-0.026493,0.126494,-0.152986,-0.195952,-0.093840,10,1200.899702
BTC-USD,MACD_Momentum,4,fast=12;slow=26;signal=9,0.032235,0.127602,-0.095367,0.480880,-0.133183,7,891.069491
BTC-USD,MACD_Momentum,5,fast=12;slow=26;signal=9,0.110853,0.840145,-0.729292,1.213044,-0.146460,7,863.535842
BTC-USD,MACD_Momentum,6,fast=12;slow=26;signal=9,0.093503,0.188667,-0.095164,1.043786,-0.097451,8,776.114929
BTC-USD,MACD_Momentum,7,fast=16;slow=32;signal=9,0.085249,0.192257,-0.107008,1.081092,-0.085706,7,638.418806
BTC-USD,MACD_Momentum,8,fast=16;slow=32;signal=9,0.160302,0.202122,-0.041820,1.505424,-0.078779,6,860.501266
BTC-USD,MACD_Momentum,9,fast=20;slow=40;signal=10,0.130589,0.198628,-0.068039,1.265179,-0.093485,4,531.210728
BTC-USD,MACD_Momentum,10,fast=16;slow=32;signal=9,0.000000,-0.077588,0.077588,0.000000,0.000000,0,0.000000
