ticker,strategy,window_id,selected_parameters,objective_value,in_sample_sharpe,in_sample_return
AAPL,MACD_Momentum,0,fast=12;slow=26;signal=9,0.967691,0.967691,0.701489
AAPL,MACD_Momentum,1,fast=12;slow=26;signal=9,0.846304,0.846304,0.534149
AAPL,MACD_Momentum,2,fast=12;slow=26;signal=9,0.814367,0.814367,0.428705
AAPL,MACD_Momentum,3,fast=20;slow=40;signal=10,0.763263,0.763263,0.418814
AAPL,MACD_Momentum,4,fast=16;slow=32;signal=9,0.597856,0.597856,0.292663
MSFT,MACD_Momentum,0,fast=8;slow=21;signal=5,0.009036,0.009036,-0.051394
MSFT,MACD_Momentum,1,fast=8;slow=21;signal=5,-0.046805,-0.046805,-0.074671
MSFT,MACD_Momentum,2,fast=8;slow=21;signal=5,0.080248,0.080248,-0.006032
MSFT,MACD_Momentum,3,fast=8;slow=21;signal=5,-0.005800,-0.005800,-0.051506
MSFT,MACD_Momentum,4,fast=8;slow=21;signal=5,-0.089975,-0.089975,-0.096939
SPY,MACD_Momentum,0,fast=20;slow=40;signal=10,0.653233,0.653233,0.253620
SPY,MACD_Momentum,1,fast=12;slow=26;signal=9,0.328026,0.328026,0.098064
SPY,MACD_Momentum,2,fast=12;slow=26;signal=9,0.091589,0.091589,0.012142
SPY,MACD_Momentum,3,fast=20;slow=40;signal=10,0.307507,0.307507,0.081526
SPY,MACD_Momentum,4,fast=12;slow=26;signal=9,0.340791,0.340791,0.098112
TSLA,MACD_Momentum,0,fast=20;slow=40;signal=10,1.141410,1.141410,2.310002
TSLA,MACD_Momentum,1,fast=8;slow=21;signal=5,1.252413,1.252413,2.544547
TSLA,MACD_Momentum,2,fast=8;slow=21;signal=5,1.112481,1.112481,1.768610
TSLA,MACD_Momentum,3,fast=8;slow=21;signal=5,1.237042,1.237042,2.312325
TSLA,MACD_Momentum,4,fast=8;slow=21;signal=5,1.187629,1.187629,2.203870
BTC-USD,MACD_Momentum,0,fast=12;slow=26;signal=9,1.350156,1.350156,2.780717
BTC-USD,MACD_Momentum,1,fast=12;slow=26;signal=9,1.066253,1.066253,1.634259
BTC-USD,MACD_Momentum,2,fast=8;slow=21;signal=5,0.838365,0.838365,1.110606
BTC-USD,MACD_Momentum,3,fast=12;slow=26;signal=9,0.269189,0.269189,0.113401
BTC-USD,MACD_Momentum,4,fast=12;slow=26;signal=9,0.082460,0.082460,-0.041371
BTC-USD,MACD_Momentum,5,fast=12;slow=26;signal=9,0.118153,0.118153,0.001277
BTC-USD,MACD_Momentum,6,fast=12;slow=26;signal=9,0.494865,0.494865,0.309197
BTC-USD,MACD_Momentum,7,fast=16;slow=32;signal=9,1.215192,1.215192,1.212632
BTC-USD,MACD_Momentum,8,fast=16;slow=32;signal=9,1.496598,1.496598,1.496978
BTC-USD,MACD_Momentum,9,fast=20;slow=40;signal=10,1.327499,1.327499,1.101280
BTC-USD,MACD_Momentum,10,fast=16;slow=32;signal=9,1.604664,1.604664,1.569478
