ticker,strategy,window_id,train_start,train_end,test_start,test_end,selected_parameters,objective_value,parameter_changed
AAPL,MACD_Momentum,0,2020-01-02,2022-12-30,2023-01-03,2023-07-05,fast=12;slow=26;signal=9,0.967691,0
AAPL,MACD_Momentum,1,2020-07-02,2023-07-05,2023-07-06,2024-01-03,fast=12;slow=26;signal=9,0.846304,0
AAPL,MACD_Momentum,2,2020-12-31,2024-01-03,2024-01-04,2024-07-05,fast=12;slow=26;signal=9,0.814367,0
AAPL,MACD_Momentum,3,2021-07-02,2024-07-05,2024-07-08,2025-01-03,fast=20;slow=40;signal=10,0.763263,1
AAPL,MACD_Momentum,4,2021-12-31,2025-01-03,2025-01-06,2025-07-09,fast=16;slow=32;signal=9,0.597856,1
MSFT,MACD_Momentum,0,2020-01-02,2022-12-30,2023-01-03,2023-07-05,fast=8;slow=21;signal=5,0.009036,0
MSFT,MACD_Momentum,1,2020-07-02,2023-07-05,2023-07-06,2024-01-03,fast=8;slow=21;signal=5,-0.046805,0
MSFT,MACD_Momentum,2,2020-12-31,2024-01-03,2024-01-04,2024-07-05,fast=8;slow=21;signal=5,0.080248,0
MSFT,MACD_Momentum,3,2021-07-02,2024-07-05,2024-07-08,2025-01-03,fast=8;slow=21;signal=5,-0.005800,0
MSFT,MACD_Momentum,4,2021-12-31,2025-01-03,2025-01-06,2025-07-09,fast=8;slow=21;signal=5,-0.089975,0
SPY,MACD_Momentum,0,2020-01-02,2022-12-30,2023-01-03,2023-07-05,fast=20;slow=40;signal=10,0.653233,0
SPY,MACD_Momentum,1,2020-07-02,2023-07-05,2023-07-06,2024-01-03,fast=12;slow=26;signal=9,0.328026,1
SPY,MACD_Momentum,2,2020-12-31,2024-01-03,2024-01-04,2024-07-05,fast=12;slow=26;signal=9,0.091589,0
SPY,MACD_Momentum,3,2021-07-02,2024-07-05,2024-07-08,2025-01-03,fast=20;slow=40;signal=10,0.307507,1
SPY,MACD_Momentum,4,2021-12-31,2025-01-03,2025-01-06,2025-07-09,fast=12;slow=26;signal=9,0.340791,1
TSLA,MACD_Momentum,0,2020-01-02,2022-12-30,2023-01-03,2023-07-05,fast=20;slow=40;signal=10,1.141410,0
TSLA,MACD_Momentum,1,2020-07-02,2023-07-05,2023-07-06,2024-01-03,fast=8;slow=21;signal=5,1.252413,1
TSLA,MACD_Momentum,2,2020-12-31,2024-01-03,2024-01-04,2024-07-05,fast=8;slow=21;signal=5,1.112481,0
TSLA,MACD_Momentum,3,2021-07-02,2024-07-05,2024-07-08,2025-01-03,fast=8;slow=21;signal=5,1.237042,0
TSLA,MACD_Momentum,4,2021-12-31,2025-01-03,2025-01-06,2025-07-09,fast=8;slow=21;signal=5,1.187629,0
BTC-USD,MACD_Momentum,0,2020-01-01,2022-01-25,2022-01-26,2022-05-31,fast=12;slow=26;signal=9,1.350156,0
BTC-USD,MACD_Momentum,1,2020-05-06,2022-05-31,2022-06-01,2022-10-04,fast=12;slow=26;signal=9,1.066253,0
BTC-USD,MACD_Momentum,2,2020-09-09,2022-10-04,2022-10-05,2023-02-07,fast=8;slow=21;signal=5,0.838365,1
BTC-USD,MACD_Momentum,3,2021-01-13,2023-02-07,2023-02-08,2023-06-13,fast=12;slow=26;signal=9,0.269189,1
BTC-USD,MACD_Momentum,4,2021-05-19,2023-06-13,2023-06-14,2023-10-17,fast=12;slow=26;signal=9,0.082460,0
BTC-USD,MACD_Momentum,5,2021-09-22,2023-10-17,2023-10-18,2024-02-20,fast=12;slow=26;signal=9,0.118153,0
BTC-USD,MACD_Momentum,6,2022-01-26,2024-02-20,2024-02-21,2024-06-25,fast=12;slow=26;signal=9,0.494865,0
BTC-USD,MACD_Momentum,7,2022-06-01,2024-06-25,2024-06-26,2024-10-29,fast=16;slow=32;signal=9,1.215192,1
BTC-USD,MACD_Momentum,8,2022-10-05,2024-10-29,2024-10-30,2025-03-04,fast=16;slow=32;signal=9,1.496598,0
BTC-USD,MACD_Momentum,9,2023-02-08,2025-03-04,2025-03-05,2025-07-08,fast=20;slow=40;signal=10,1.327499,1
BTC-USD,MACD_Momentum,10,2023-06-14,2025-07-08,2025-07-09,2025-11-11,fast=16;slow=32;signal=9,1.604664,1
