path,total_return,terminal_wealth,max_drawdown,sharpe
0,1.53504,253504,-0.169308,0.936199
1,1.04963,204963,-0.264319,0.734277
2,0.406392,140639,-0.237745,0.403496
3,0.772857,177286,-0.312509,0.626625
4,0.27369,127369,-0.201599,0.313147
5,1.25805,225805,-0.285678,0.824401
6,0.975102,197510,-0.319073,0.675098
7,2.20334,320334,-0.187476,1.19387
8,1.23065,223065,-0.303067,0.770032
9,2.27623,327623,-0.249842,1.1558
10,1.34106,234106,-0.230949,0.85168
11,1.04142,204142,-0.235785,0.756439
12,0.418766,141877,-0.230993,0.399296
13,3.18437,418437,-0.167073,1.35988
14,-0.21862,78138,-0.424306,-0.114605
15,1.51444,251444,-0.344911,0.938115
16,1.60381,260381,-0.246355,0.996572
17,0.311054,131105,-0.471387,0.332602
18,4.30126,530126,-0.248722,1.54277
19,0.280277,128028,-0.30038,0.319285
20,1.70095,270095,-0.267499,0.960324
21,0.849758,184976,-0.297581,0.644573
22,0.852869,185287,-0.295449,0.677399
23,-0.171815,82818.5,-0.394345,-0.0440097
24,2.12187,312187,-0.245855,1.07079
25,0.53677,153677,-0.282776,0.48373
26,-0.187479,81252.1,-0.479275,-0.0893168
27,-0.0233744,97662.6,-0.517682,0.0706063
28,2.6309,363090,-0.256838,1.1767
29,3.26752,426752,-0.306154,1.35343
30,0.750928,175093,-0.27014,0.59468
31,2.07928,307928,-0.297023,1.09204
32,0.652007,165201,-0.39414,0.533459
33,1.36214,236214,-0.288078,0.907416
34,0.0118607,101186,-0.225657,0.107486
35,0.296144,129614,-0.235748,0.329707
36,1.57325,257325,-0.135539,1.01079
37,1.63526,263526,-0.202096,1.02766
38,0.544967,154497,-0.383357,0.473184
39,0.517165,151716,-0.329163,0.462905
40,1.44455,244455,-0.308903,0.884099
41,0.581102,158110,-0.362823,0.497226
42,3.07189,407189,-0.229795,1.35186
43,-0.0337129,96628.7,-0.408884,0.0615048
44,0.334851,133485,-0.435409,0.350338
45,0.795486,179549,-0.243752,0.597928
46,1.32814,232814,-0.252679,0.82929
47,0.882114,188211,-0.373597,0.646027
48,0.389471,138947,-0.300557,0.383208
49,1.93652,293652,-0.257342,1.0553
50,0.369017,136902,-0.418186,0.372688
51,3.22583,422583,-0.291913,1.28053
52,0.503151,150315,-0.297704,0.460212
53,0.814976,181498,-0.363274,0.605111
54,3.45506,445506,-0.237318,1.38306
55,1.06374,206374,-0.19291,0.790016
56,1.30585,230585,-0.213431,0.837635
57,0.975278,197528,-0.304116,0.688389
58,0.465559,146556,-0.401862,0.431325
59,2.43206,343206,-0.244264,1.16514
60,1.00196,200196,-0.241478,0.732952
61,2.36466,336466,-0.239438,1.17875
