regime,ticker,strategy,return,sharpe,drawdown,trade_count,win_rate,profit_factor,benchmark_relative_performance,average_exposure
bull/low_volatility,AAPL,MA_Cross,0.452080,1.037087,-0.142913,10,0.250000,2.532228,-0.747973,0.833043
bull/high_volatility,AAPL,MA_Cross,0.692488,2.555750,-0.114413,4,0.666667,2.836171,-0.239761,0.727700
bear/low_volatility,AAPL,MA_Cross,-0.050200,-1.654681,-0.050200,2,0.000000,0.000000,-0.044988,0.187500
bear/high_volatility,AAPL,MA_Cross,-0.248872,-3.273062,-0.251365,6,0.000000,0.000000,0.107647,0.113300
sideways/low_volatility,AAPL,MA_Cross,-0.097591,-1.072953,-0.166186,5,1.000000,28027.949097,0.062072,0.503546
sideways/high_volatility,AAPL,MA_Cross,-0.140599,-2.012993,-0.147630,4,0.000000,0.000000,-0.129906,0.315789
bull/low_volatility,AAPL,RSI_Mean_Reversion,0.335996,1.481113,-0.073006,17,0.888889,27.340081,-0.864058,0.238261
bull/high_volatility,AAPL,RSI_Mean_Reversion,0.172707,1.105387,-0.087993,2,1.000000,5737.372101,-0.759542,0.338028
bear/low_volatility,AAPL,RSI_Mean_Reversion,-0.017494,-0.237956,-0.094560,0,0.000000,0.000000,-0.012282,0.650000
bear/high_volatility,AAPL,RSI_Mean_Reversion,-0.284855,-0.882317,-0.407615,7,0.250000,0.380352,0.071664,0.798030
sideways/low_volatility,AAPL,RSI_Mean_Reversion,-0.141050,-1.701476,-0.173156,4,0.000000,0.000000,0.018613,0.560284
sideways/high_volatility,AAPL,RSI_Mean_Reversion,0.239984,2.162731,-0.108695,2,0.500000,3.386344,0.250678,0.694737
bull/low_volatility,AAPL,MACD_Momentum,0.454544,1.334388,-0.123151,47,0.500000,3.363082,-0.745509,0.497391
bull/high_volatility,AAPL,MACD_Momentum,0.225741,1.280773,-0.136177,18,0.666667,3.689171,-0.706508,0.577465
