path,total_return,terminal_wealth,max_drawdown,sharpe
0,0.493149,149315,-0.345038,0.456968
1,1.4227,242270,-0.186917,0.856802
2,0.227056,122706,-0.391045,0.272923
3,1.1324,213240,-0.25848,0.741383
4,0.736662,173666,-0.315484,0.586803
5,-0.167595,83240.5,-0.399572,-0.0824374
6,1.77772,277772,-0.235595,1.00482
7,1.05787,205787,-0.297796,0.761131
8,0.50304,150304,-0.327196,0.473663
9,0.680637,168064,-0.342822,0.557592
10,0.968208,196821,-0.311659,0.739535
11,0.388407,138841,-0.286991,0.402395
12,-0.356803,64319.7,-0.60224,-0.298406
13,0.771099,177110,-0.327626,0.60624
14,0.127176,112718,-0.42045,0.202341
15,0.472599,147260,-0.264474,0.439822
16,-0.309242,69075.8,-0.4094,-0.240734
17,1.61697,261697,-0.228921,0.986211
18,0.602113,160211,-0.315355,0.53543
19,3.31418,431418,-0.210193,1.28713
20,0.296587,129659,-0.324087,0.323522
21,0.632761,163276,-0.301717,0.52193
22,0.876101,187610,-0.348174,0.652069
23,2.0437,304370,-0.247284,0.990386
24,0.812565,181257,-0.45039,0.617557
25,2.67505,367505,-0.170138,1.33914
26,-0.183696,81630.4,-0.377618,-0.0822978
27,2.88275,388275,-0.197977,1.28038
28,1.13229,213229,-0.18125,0.745698
29,1.71777,271777,-0.23346,0.97495
30,0.557093,155709,-0.249791,0.51487
31,2.89648,389648,-0.228868,1.32924
32,1.33656,233656,-0.264881,0.83253
33,0.580111,158011,-0.463414,0.492536
34,0.137051,113705,-0.453273,0.208991
35,2.82219,382219,-0.276334,1.30016
36,0.83784,183784,-0.26409,0.624886
37,2.58605,358605,-0.27192,1.14557
38,2.58678,358678,-0.212185,1.19833
39,1.97358,297358,-0.201907,1.04497
40,1.37404,237404,-0.216333,0.849544
41,1.00346,200346,-0.250473,0.692832
42,1.56946,256946,-0.253509,0.969749
43,1.39833,239833,-0.239947,0.901255
44,0.712491,171249,-0.228442,0.583296
45,1.83553,283553,-0.207786,1.03887
46,0.182831,118283,-0.338103,0.243678
47,0.0545715,105457,-0.413063,0.140102
48,0.326215,132622,-0.229241,0.34949
49,2.52061,352061,-0.186543,1.21091
50,1.72035,272035,-0.186287,0.994651
51,0.982572,198257,-0.295314,0.693414
52,0.0790295,107903,-0.326755,0.161841
53,1.87073,287073,-0.253078,1.01554
54,2.34086,334086,-0.276955,1.13669
55,0.99359,199359,-0.275901,0.704437
56,1.17242,217242,-0.213706,0.760027
57,1.02449,202449,-0.153165,0.740022
58,0.862733,186273,-0.329334,0.668922
59,0.371656,137166,-0.324401,0.391683
60,0.423812,142381,-0.356969,0.408154
61,0.836581,183658,-0.282247,0.65101
62,0.212313,121231,-0.318155,0.268599
63,0.122186,112219,-0.367881,0.196989
64,-0.16942,83058,-0.453759,-0.0818082
65,2.17771,317771,-0.256273,1.0688
66,0.779773,177977,-0.464187,0.574046
67,0.123396,112340,-0.415233,0.196587
68,0.242337,124234,-0.286027,0.281592
69,0.932471,193247,-0.2465,0.685732
70,0.137984,113798,-0.425522,0.208992
71,0.341652,134165,-0.261407,0.35359
72,-0.0548043,94519.6,-0.532173,0.0397331
73,0.979671,197967,-0.287044,0.726263
74,4.05434,505434,-0.145815,1.55869
75,0.293895,129390,-0.453465,0.313279
76,0.140139,114014,-0.298567,0.20973
77,1.34046,234046,-0.252772,0.853816
78,2.89933,389933,-0.253755,1.28534
79,1.59352,259352,-0.20378,0.973869
80,0.481336,148134,-0.357766,0.440708
81,1.5214,252140,-0.301168,0.8935
82,0.308135,130814,-0.503953,0.332406
83,1.38509,238509,-0.226271,0.895022
84,3.19012,419012,-0.186778,1.40808
85,1.65556,265556,-0.225175,0.965809
86,0.46192,146192,-0.292626,0.414326
87,1.81751,281751,-0.187623,1.0231
88,3.98013,498013,-0.193447,1.54054
89,1.17537,217537,-0.288374,0.808344
90,1.30907,230907,-0.21612,0.838625
91,0.303149,130315,-0.256317,0.330641
92,0.64623,164623,-0.28708,0.545683
93,0.857254,185725,-0.3332,0.660966
94,0.951756,195176,-0.381518,0.701764
95,2.6506,365060,-0.19795,1.28482
96,3.01197,401197,-0.154543,1.31746
97,0.786013,178601,-0.308113,0.59509
98,0.58023,158023,-0.349066,0.500584
99,0.147659,114766,-0.510716,0.21559
100,0.257185,125718,-0.294898,0.300688
101,0.439787,143979,-0.419315,0.427174
102,0.682451,168245,-0.433154,0.581168
103,1.07257,207257,-0.398866,0.752315
104,1.00072,200072,-0.338201,0.684269
105,0.845868,184587,-0.347923,0.644335
106,0.931383,193138,-0.310025,0.684789
107,0.498208,149821,-0.434525,0.453268
108,0.328066,132807,-0.243284,0.350336
109,0.269491,126949,-0.392697,0.311073
110,0.96074,196074,-0.207008,0.671243
111,1.28056,228056,-0.508179,0.787543
112,4.69415,569415,-0.171732,1.69511
113,1.65123,265123,-0.177812,1.02223
114,0.155903,115590,-0.394839,0.222418
115,1.08157,208157,-0.228488,0.729492
116,1.38457,238457,-0.238561,0.883992
117,0.343823,134382,-0.261926,0.356372
118,1.29641,229641,-0.235011,0.81991
119,0.449382,144938,-0.286804,0.446947
120,0.989679,198968,-0.254716,0.690828
121,-0.00304634,99695.4,-0.291328,0.0960154
122,0.608251,160825,-0.336345,0.521381
123,0.237506,123751,-0.239549,0.288169
124,-0.23909,76091,-0.431493,-0.148566
125,0.0256135,102561,-0.476166,0.111494
126,0.939566,193957,-0.310906,0.691284
127,0.424826,142483,-0.300634,0.402777
128,0.756007,175601,-0.26161,0.596028
129,2.65574,365574,-0.288429,1.23988
130,1.14748,214748,-0.397067,0.749424
131,0.900806,190081,-0.328571,0.658696
132,1.14735,214735,-0.255402,0.780448
