ticker,strategy,window_id,parameter_set,total_return,sharpe,max_drawdown,trade_count
AAPL,MA_Cross,0,short=5;long=50,0.630067,0.875556,-0.256350,22
AAPL,MA_Cross,0,short=5;long=100,-0.021129,0.021362,-0.239156,10
AAPL,MA_Cross,0,short=5;long=150,0.046749,0.177983,-0.220192,14
AAPL,MA_Cross,0,short=5;long=200,-0.056465,-0.386420,-0.095200,4
AAPL,MA_Cross,0,short=10;long=50,0.543963,0.796709,-0.266849,20
AAPL,MA_Cross,0,short=10;long=100,-0.095699,-0.166431,-0.262456,10
AAPL,MA_Cross,0,short=10;long=150,0.024673,0.128574,-0.230761,10
AAPL,MA_Cross,0,short=10;long=200,-0.070094,-0.614164,-0.110581,2
AAPL,MA_Cross,0,short=20;long=50,0.425792,0.654360,-0.237632,18
AAPL,MA_Cross,0,short=20;long=100,-0.118798,-0.211678,-0.350258,8
AAPL,MA_Cross,0,short=20;long=150,-0.033786,0.007064,-0.244600,6
AAPL,MA_Cross,0,short=20;long=200,-0.125256,-0.811798,-0.138442,2
AAPL,MA_Cross,0,short=30;long=50,0.471399,0.670619,-0.265474,16
AAPL,MA_Cross,0,short=30;long=100,-0.047182,-0.040476,-0.266199,6
AAPL,MA_Cross,0,short=30;long=150,-0.140618,-0.221917,-0.352397,6
AAPL,MA_Cross,0,short=30;long=200,-0.083880,-0.502907,-0.109267,2
AAPL,MA_Cross,1,short=5;long=50,0.405174,0.730969,-0.180639,21
AAPL,MA_Cross,1,short=5;long=100,0.293574,0.613267,-0.239156,11
AAPL,MA_Cross,1,short=5;long=150,0.255926,0.561842,-0.263464,17
AAPL,MA_Cross,1,short=5;long=200,0.142692,0.578642,-0.131343,7
AAPL,MA_Cross,1,short=10;long=50,0.303910,0.599576,-0.213532,19
AAPL,MA_Cross,1,short=10;long=100,0.149414,0.371271,-0.276110,11
AAPL,MA_Cross,1,short=10;long=150,0.263516,0.561776,-0.269416,11
AAPL,MA_Cross,1,short=10;long=200,0.146731,0.613326,-0.158931,3
AAPL,MA_Cross,1,short=20;long=50,0.141914,0.335448,-0.272624,17
