ticker,strategy,window_id,date,action,price,quantity,cost,slippage,portfolio_value,realized_pnl
AAPL,MA_Cross,0,2023-01-26,BUY,143.241583,669,95.828619,47.890364,99856.281016,0.000000
AAPL,MA_Cross,1,2023-09-06,BUY,188.494194,500,94.247097,47.099998,99858.652905,0.000000
AAPL,MA_Cross,1,2023-09-08,SELL,178.260831,500,89.130416,44.587502,94699.941091,-5300.058909
AAPL,MA_Cross,1,2023-10-13,BUY,181.510708,497,90.210822,45.082870,94564.647400,0.000000
AAPL,MA_Cross,1,2023-10-20,SELL,175.222343,497,87.085504,43.564534,91397.327058,-3302.614033
AAPL,MA_Cross,1,2023-11-08,BUY,182.441181,477,87.024443,43.490476,91266.812138,0.000000
AAPL,MA_Cross,2,2024-01-24,BUY,195.517708,486,95.021606,47.487060,99857.491334,0.000000
AAPL,MA_Cross,2,2024-02-01,SELL,183.898010,486,89.374433,44.709571,94168.430889,-5831.569111
AAPL,MA_Cross,2,2024-05-06,BUY,182.441181,487,88.848855,44.402226,94035.179808,0.000000
AAPL,MA_Cross,3,2024-08-20,BUY,225.882889,420,94.870813,47.411701,99857.717486,0.000000
AAPL,MA_Cross,3,2024-09-16,SELL,216.431723,420,90.901324,45.473399,95844.738149,-4155.261851
AAPL,MA_Cross,3,2024-09-24,BUY,228.764319,402,91.963256,45.958649,95706.816244,0.000000
AAPL,MA_Cross,3,2024-11-12,SELL,224.437728,402,90.223967,45.134551,93923.261407,-1921.476742
AAPL,MA_Cross,3,2024-11-27,BUY,234.587236,379,88.908563,44.432065,93789.920779,0.000000
MSFT,MA_Cross,0,2023-01-27,BUY,249.114500,383,95.410854,47.681586,99856.907560,0.000000
MSFT,MA_Cross,1,2023-08-24,BUY,333.016431,290,96.574765,48.263251,99855.161984,0.000000
MSFT,MA_Cross,1,2023-09-22,SELL,321.159347,290,93.136211,46.591401,96371.734726,-3628.265274
MSFT,MA_Cross,1,2023-10-18,BUY,332.656235,275,91.480465,45.717374,96234.536888,0.000000
MSFT,MA_Cross,1,2023-10-19,SELL,331.983919,275,91.295578,45.670624,96004.071693,-367.663033
MSFT,MA_Cross,1,2023-10-26,BUY,340.710279,267,90.969644,45.462091,95867.639958,0.000000
MSFT,MA_Cross,3,2024-08-15,BUY,420.009888,227,95.342245,47.647299,99857.010457,0.000000
MSFT,MA_Cross,3,2024-09-09,SELL,407.036370,227,92.397256,46.221739,96867.272016,-3132.727984
MSFT,MA_Cross,3,2024-09-13,BUY,426.042902,215,91.599224,45.776724,96729.896069,0.000000
MSFT,MA_Cross,3,2024-10-08,SELL,410.694544,215,88.299327,44.171749,93387.476567,-3479.795449
MSFT,MA_Cross,3,2024-10-23,BUY,431.075415,207,89.232611,44.594008,93253.649948,0.000000
MSFT,MA_Cross,3,2024-11-05,SELL,408.165810,207,84.490323,42.266294,88471.465352,-4916.011215
MSFT,MA_Cross,3,2024-11-13,BUY,421.850835,198,83.526465,41.742361,88346.196525,0.000000
MSFT,MA_Cross,3,2024-11-18,SELL,414.662560,198,82.103187,41.072130,86882.557342,-1588.908010
MSFT,MA_Cross,3,2024-12-02,BUY,421.780792,194,81.825474,40.892291,86759.839577,0.000000
MSFT,MA_Cross,4,2025-05-27,BUY,456.708251,211,96.365441,48.158641,99855.475918,0.000000
SPY,MA_Cross,0,2023-01-13,BUY,393.816805,239,94.122216,47.037589,99858.840194,0.000000
SPY,MA_Cross,0,2023-03-20,SELL,390.604588,239,93.354496,46.700599,99044.803349,-955.196651
SPY,MA_Cross,0,2023-04-03,BUY,409.054431,229,93.673465,46.813326,98904.316558,0.000000
SPY,MA_Cross,4,2025-05-29,BUY,593.356528,161,95.530401,47.741330,99856.728269,0.000000
TSLA,MA_Cross,0,2023-01-30,BUY,178.139028,534,95.126241,47.539351,99857.334408,0.000000
TSLA,MA_Cross,0,2023-04-11,SELL,186.596657,534,99.642615,49.846231,104321.605237,4321.605237
TSLA,MA_Cross,0,2023-05-24,BUY,182.321111,533,97.177152,48.564294,104175.863791,0.000000
TSLA,MA_Cross,1,2023-09-13,BUY,270.205042,355,95.922790,47.937426,99856.139784,0.000000
TSLA,MA_Cross,1,2023-09-27,SELL,244.137865,355,86.668942,43.356149,90563.560143,-9436.439857
TSLA,MA_Cross,1,2023-10-05,BUY,260.130000,329,85.582770,42.770000,90435.207373,0.000000
TSLA,MA_Cross,1,2023-10-20,SELL,216.901490,329,71.360590,35.698144,76184.436831,-14379.123311
TSLA,MA_Cross,1,2023-11-28,BUY,236.798333,306,72.460290,36.212039,76075.764503,0.000000
TSLA,MA_Cross,2,2024-05-01,BUY,182.091000,518,94.323138,47.138000,99858.538862,0.000000
TSLA,MA_Cross,3,2024-08-22,BUY,223.931917,425,95.171065,47.561752,99857.267184,0.000000
TSLA,MA_Cross,3,2024-08-27,SELL,213.143375,425,90.585934,45.315625,95229.112511,-4770.887489
TSLA,MA_Cross,3,2024-09-16,BUY,229.414653,392,89.930544,44.942801,95094.239167,0.000000
TSLA,MA_Cross,3,2024-10-17,SELL,221.479201,392,86.819847,43.431639,91941.665049,-3287.447463
TSLA,MA_Cross,3,2024-10-28,BUY,270.135000,324,87.523740,43.740000,91810.401309,0.000000
TSLA,MA_Cross,4,2025-04-30,BUY,280.039944,325,91.012982,45.483749,99863.503269,0.000000
TSLA,MA_Cross,4,2025-07-07,SELL,291.224310,325,94.647901,47.347624,103449.258141,3449.258141
BTC-USD,MA_Cross,0,2022-02-13,BUY,42257.684689,2,84.515369,42.236566,99873.248064,0.000000
BTC-USD,MA_Cross,0,2022-02-23,SELL,38266.138609,2,76.532277,38.285281,91855.860193,-8144.139807
BTC-USD,MA_Cross,0,2022-03-04,BUY,42479.369695,2,84.958739,42.458141,91728.443313,0.000000
BTC-USD,MA_Cross,0,2022-03-13,SELL,38865.284199,2,77.730568,38.884727,84464.999893,-7390.860300
BTC-USD,MA_Cross,0,2022-03-23,BUY,42385.561096,1,42.385561,21.182189,84401.432143,0.000000
BTC-USD,MA_Cross,0,2022-04-15,SELL,39919.432643,1,39.919433,19.969701,81916.566446,-2548.433447
BTC-USD,MA_Cross,2,2022-11-07,BUY,20935.083404,4,83.740334,41.849242,99874.410424,0.000000
BTC-USD,MA_Cross,2,2022-11-09,SELL,18534.489838,4,74.137959,37.087523,90239.747441,-9760.252559
BTC-USD,MA_Cross,2,2023-01-14,BUY,19920.492378,4,79.681970,39.821074,90120.244398,0.000000
BTC-USD,MA_Cross,4,2023-06-20,BUY,26855.084895,3,80.565255,40.262496,99879.172249,0.000000
BTC-USD,MA_Cross,4,2023-08-19,SELL,26034.808115,3,78.104424,39.071748,97380.499983,-2619.500017
BTC-USD,MA_Cross,5,2023-10-20,BUY,28747.178906,3,86.241537,43.099219,99870.659245,0.000000
BTC-USD,MA_Cross,7,2024-07-16,BUY,64816.810178,1,64.816810,32.392209,99902.790981,0.000000
BTC-USD,MA_Cross,7,2024-08-06,SELL,53964.351982,1,53.964352,26.995674,89028.760643,-10971.239357
BTC-USD,MA_Cross,7,2024-09-27,BUY,65213.254395,1,65.213254,32.590332,88930.957056,0.000000
BTC-USD,MA_Cross,7,2024-10-03,SELL,60602.168133,1,60.602168,30.316242,84291.858958,-4736.901684
BTC-USD,MA_Cross,7,2024-10-16,BUY,67075.982168,1,67.075982,33.521230,84191.261746,0.000000
BTC-USD,MA_Cross,9,2025-04-17,BUY,84072.687211,1,84.072687,42.015336,99873.911977,0.000000
BTC-USD,MA_Cross,9,2025-04-18,SELL,84857.737406,1,84.857737,42.450094,100616.119771,616.119771
BTC-USD,MA_Cross,9,2025-04-19,BUY,84493.092621,1,84.493093,42.225434,100489.401244,0.000000
BTC-USD,MA_Cross,9,2025-06-22,SELL,102160.925234,1,102.160925,51.106016,118097.298366,17481.178595
BTC-USD,MA_Cross,9,2025-06-28,BUY,107144.092148,1,107.144092,53.545273,117936.609001,0.000000
