ticker,strategy,window_id,parameter_set,total_return,benchmark_net_return,excess_return,sharpe,max_drawdown,trade_count,total_costs
AAPL,MA_Cross,0,short=5;long=50,0.320753,0.525201,-0.204448,3.108376,-0.062073,1,143.718984
AAPL,MA_Cross,1,short=5;long=50,-0.078269,-0.042291,-0.035977,-1.495647,-0.087046,5,671.523662
AAPL,MA_Cross,2,short=5;long=50,0.154583,0.240514,-0.085931,1.980926,-0.062765,3,409.843752
AAPL,MA_Cross,3,short=10;long=50,-0.028408,0.065012,-0.093420,-0.342286,-0.085057,5,685.278287
AAPL,MA_Cross,4,short=10;long=200,0.000000,-0.140786,0.140786,0.000000,0.000000,0,0.000000
MSFT,MA_Cross,0,short=5;long=100,0.340052,0.407200,-0.067149,2.506809,-0.091228,1,143.092440
MSFT,MA_Cross,1,short=5;long=100,0.038937,0.082691,-0.043754,0.595762,-0.089231,5,695.161403
MSFT,MA_Cross,2,short=5;long=200,0.000000,0.266944,-0.266944,0.000000,0.000000,0,0.000000
MSFT,MA_Cross,3,short=5;long=200,-0.128948,-0.094711,-0.034237,-1.822273,-0.146667,9,1183.200706
MSFT,MA_Cross,4,short=30;long=200,0.097788,0.173312,-0.075524,3.313642,-0.012368,1,144.524082
SPY,MA_Cross,0,short=10;long=100,0.067544,0.160135,-0.092591,1.114775,-0.071332,3,421.701691
SPY,MA_Cross,1,short=20;long=200,0.000000,0.063062,-0.063062,0.000000,0.000000,0,0.000000
SPY,MA_Cross,2,short=20;long=200,0.000000,0.183399,-0.183399,0.000000,0.000000,0,0.000000
SPY,MA_Cross,3,short=20;long=200,0.000000,0.062845,-0.062845,0.000000,0.000000,0,0.000000
SPY,MA_Cross,4,short=20;long=200,0.048477,0.045066,0.003411,2.137861,-0.015010,1,143.271731
TSLA,MA_Cross,0,short=5;long=50,0.576091,1.605308,-1.029217,2.447522,-0.185135,3,437.895883
TSLA,MA_Cross,1,short=5;long=50,-0.233826,-0.140321,-0.093505,-2.222132,-0.257281,5,617.969140
TSLA,MA_Cross,2,short=5;long=50,0.358699,0.053951,0.304748,2.368146,-0.083309,1,141.461138
TSLA,MA_Cross,3,short=5;long=50,0.373130,0.617817,-0.244687,1.526262,-0.229726,5,675.022947
TSLA,MA_Cross,4,short=5;long=50,0.034493,-0.282341,0.316834,0.372046,-0.200352,2,278.492256
BTC-USD,MA_Cross,0,short=10;long=50,-0.180834,-0.139885,-0.040950,-1.548638,-0.219909,6,609.058554
BTC-USD,MA_Cross,1,short=5;long=100,0.000000,-0.319579,0.319579,0.000000,0.000000,0,0.000000
BTC-USD,MA_Cross,2,short=5;long=100,0.035353,0.150485,-0.115132,0.456399,-0.097603,3,356.318102
BTC-USD,MA_Cross,3,short=5;long=150,0.000000,0.126494,-0.126494,0.000000,0.000000,0,0.000000
BTC-USD,MA_Cross,4,short=5;long=150,-0.026195,0.127602,-0.153797,-0.241292,-0.144151,2,238.003923
BTC-USD,MA_Cross,5,short=5;long=200,0.705268,0.840145,-0.134876,3.293833,-0.144837,1,129.340755
BTC-USD,MA_Cross,6,short=5;long=200,0.000000,0.188667,-0.188667,0.000000,0.000000,0,0.000000
BTC-USD,MA_Cross,7,short=5;long=200,-0.101307,0.192257,-0.293564,-1.349802,-0.191472,5,467.488254
BTC-USD,MA_Cross,8,short=5;long=50,0.000000,0.202122,-0.202122,0.000000,0.000000,0,0.000000
BTC-USD,MA_Cross,9,short=5;long=50,0.197963,0.198628,-0.000664,2.011142,-0.087443,5,694.070687
BTC-USD,MA_Cross,10,short=5;long=50,0.000000,-0.077588,0.077588,0.000000,0.000000,0,0.000000
