ticker,strategy,parameter_set,start_date,end_date,total_return,benchmark_net_return,excess_return,sharpe,sortino,max_drawdown,calmar,turnover,total_costs,trade_count,win_rate,profit_factor
AAPL,RSI_Mean_Reversion,period=7;oversold=20;overbought=80,full,full,1.008643,2.625929,-1.617286,0.648509,0.565192,-0.248549,0.497698,68.399680,10259.932061,55,0.777778,5.475705
AAPL,RSI_Mean_Reversion,period=7;oversold=25;overbought=75,full,full,0.578621,2.625929,-2.047308,0.442947,0.422659,-0.248549,0.319190,80.161454,12024.198020,73,0.750000,2.006309
AAPL,RSI_Mean_Reversion,period=7;oversold=30;overbought=70,full,full,0.195878,2.625929,-2.430051,0.244725,0.228116,-0.299668,0.101326,76.291485,11443.702182,85,0.642857,1.307736
AAPL,RSI_Mean_Reversion,period=7;oversold=35;overbought=65,full,full,-0.048564,2.625929,-2.674493,0.075982,0.072289,-0.367272,-0.022572,82.576869,12386.509628,99,0.551020,0.966991
AAPL,RSI_Mean_Reversion,period=14;oversold=20;overbought=80,full,full,0.662568,2.625929,-1.963361,0.558633,0.520794,-0.224757,0.394765,20.226711,3033.984479,17,0.875000,6.542338
AAPL,RSI_Mean_Reversion,period=14;oversold=25;overbought=75,full,full,0.772112,2.625929,-1.853817,0.534335,0.478625,-0.303116,0.331243,39.047602,5857.118940,27,0.769231,3.037910
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,full,full,0.230576,2.625929,-2.395354,0.264821,0.241288,-0.302939,0.116538,35.265848,5289.855040,35,0.647059,1.576583
AAPL,RSI_Mean_Reversion,period=14;oversold=35;overbought=65,full,full,1.170674,2.625929,-1.455256,0.687009,0.620420,-0.262854,0.526432,73.193294,10978.974671,55,0.740741,3.215518
AAPL,RSI_Mean_Reversion,period=21;oversold=20;overbought=80,full,full,0.271398,2.625929,-2.354531,0.573591,0.299795,-0.086551,0.473352,4.355515,653.334249,4,1.000000,999999.000000
AAPL,RSI_Mean_Reversion,period=21;oversold=25;overbought=75,full,full,0.254135,2.625929,-2.371794,0.302099,0.259219,-0.290187,0.132991,10.787443,1618.123210,10,0.800000,14.882267
AAPL,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,full,full,0.344541,2.625929,-2.281388,0.330980,0.290072,-0.282959,0.179360,20.208595,3031.298637,18,0.666667,3.529049
AAPL,RSI_Mean_Reversion,period=21;oversold=35;overbought=65,full,full,0.470035,2.625929,-2.155894,0.397754,0.366729,-0.266476,0.249734,29.606845,4441.039615,26,0.769231,4.203027
MSFT,RSI_Mean_Reversion,period=7;oversold=20;overbought=80,full,full,0.749724,2.025898,-1.276174,0.541563,0.470943,-0.216680,0.452595,76.292739,11443.932492,58,0.724138,2.577863
MSFT,RSI_Mean_Reversion,period=7;oversold=25;overbought=75,full,full,0.648081,2.025898,-1.377817,0.491220,0.463627,-0.216680,0.402133,93.858741,14078.830869,72,0.666667,2.114087
MSFT,RSI_Mean_Reversion,period=7;oversold=30;overbought=70,full,full,0.423215,2.025898,-1.602683,0.388643,0.370580,-0.205364,0.296016,99.045163,14856.788673,84,0.642857,1.559553
MSFT,RSI_Mean_Reversion,period=7;oversold=35;overbought=65,full,full,0.685747,2.025898,-1.340152,0.519479,0.489731,-0.247328,0.368942,143.815003,21572.272968,114,0.701754,1.867767
MSFT,RSI_Mean_Reversion,period=14;oversold=20;overbought=80,full,full,0.397366,2.025898,-1.628532,0.421685,0.367839,-0.232704,0.247287,10.654006,1598.111274,10,0.600000,5.284821
MSFT,RSI_Mean_Reversion,period=14;oversold=25;overbought=75,full,full,0.711935,2.025898,-1.313964,0.550115,0.468427,-0.200058,0.470194,26.273236,3940.963653,19,0.888889,8.894403
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,full,full,0.970163,2.025898,-1.055735,0.641387,0.590869,-0.203997,0.588605,55.764052,8364.587421,37,0.833333,5.297093
MSFT,RSI_Mean_Reversion,period=14;oversold=35;overbought=65,full,full,0.619347,2.025898,-1.406551,0.482862,0.430409,-0.247032,0.339799,55.408984,8311.327677,43,0.714286,2.765242
MSFT,RSI_Mean_Reversion,period=21;oversold=20;overbought=80,full,full,0.119049,2.025898,-1.906849,0.248213,0.130539,-0.212315,0.089427,2.042051,306.310696,2,1.000000,999999.000000
MSFT,RSI_Mean_Reversion,period=21;oversold=25;overbought=75,full,full,0.345576,2.025898,-1.680322,0.371558,0.334252,-0.311457,0.163384,6.594035,989.114208,6,1.000000,999999.000000
MSFT,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,full,full,0.421209,2.025898,-1.604689,0.435734,0.373126,-0.219713,0.275546,16.917068,2537.536962,15,0.714286,19.091581
MSFT,RSI_Mean_Reversion,period=21;oversold=35;overbought=65,full,full,0.743772,2.025898,-1.282126,0.569559,0.452677,-0.212711,0.458099,30.198209,4529.709596,23,0.818182,7.574482
SPY,RSI_Mean_Reversion,period=7;oversold=20;overbought=80,full,full,0.164868,1.108388,-0.943520,0.241810,0.172205,-0.298340,0.086638,42.804524,6420.684320,44,0.727273,1.528719
SPY,RSI_Mean_Reversion,period=7;oversold=25;overbought=75,full,full,0.234282,1.108388,-0.874106,0.301965,0.228401,-0.298340,0.120081,60.088647,9013.305210,62,0.709677,1.730563
SPY,RSI_Mean_Reversion,period=7;oversold=30;overbought=70,full,full,0.099236,1.108388,-1.009152,0.179274,0.142745,-0.298042,0.053507,72.400991,10860.153886,82,0.609756,1.204061
SPY,RSI_Mean_Reversion,period=7;oversold=35;overbought=65,full,full,0.055325,1.108388,-1.053063,0.136896,0.109279,-0.298566,0.030296,91.157507,13673.630919,102,0.647059,1.092857
SPY,RSI_Mean_Reversion,period=14;oversold=20;overbought=80,full,full,0.203290,1.108388,-0.905098,0.271801,0.209021,-0.266632,0.117875,12.809250,1921.393003,12,0.833333,4.047138
SPY,RSI_Mean_Reversion,period=14;oversold=25;overbought=75,full,full,0.550670,1.108388,-0.557719,0.537187,0.393374,-0.267678,0.284352,28.649759,4297.478678,24,0.916667,48.594905
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,full,full,0.234295,1.108388,-0.874093,0.301256,0.211259,-0.277855,0.128940,30.322632,4548.401807,30,0.733333,1.864566
SPY,RSI_Mean_Reversion,period=14;oversold=35;overbought=65,full,full,0.231285,1.108388,-0.877103,0.298373,0.221677,-0.277855,0.127418,42.389591,6358.446037,40,0.750000,1.693049
SPY,RSI_Mean_Reversion,period=21;oversold=20;overbought=80,full,full,-0.029885,1.108388,-1.138274,-0.033637,-0.015357,-0.199665,-0.025346,1.892546,283.881202,2,0.000000,0.000000
SPY,RSI_Mean_Reversion,period=21;oversold=25;overbought=75,full,full,0.137730,1.108388,-0.970658,0.271145,0.197349,-0.199819,0.109157,5.918307,887.749767,6,0.666667,4.161447
SPY,RSI_Mean_Reversion,period=21;oversold=30;overbought=70,full,full,0.284910,1.108388,-0.823478,0.347320,0.237536,-0.266632,0.160563,12.752855,1912.935858,12,0.833333,5.914989
SPY,RSI_Mean_Reversion,period=21;oversold=35;overbought=65,full,full,0.242137,1.108388,-0.866252,0.314363,0.211583,-0.266632,0.138483,22.401606,3360.247775,22,0.818182,3.873546
TSLA,RSI_Mean_Reversion,period=7;oversold=20;overbought=80,full,full,0.164008,14.795173,-14.631165,0.261106,0.260467,-0.703236,0.036575,55.388220,8308.239142,52,0.653846,1.104177
TSLA,RSI_Mean_Reversion,period=7;oversold=25;overbought=75,full,full,-0.184349,14.795173,-14.979522,0.122669,0.120845,-0.752773,-0.044502,48.681498,7302.221957,64,0.593750,0.888859
TSLA,RSI_Mean_Reversion,period=7;oversold=30;overbought=70,full,full,-0.010233,14.795173,-14.805406,0.210578,0.213360,-0.731684,-0.002349,72.386842,10858.028730,84,0.619048,0.995393
TSLA,RSI_Mean_Reversion,period=7;oversold=35;overbought=65,full,full,-0.158345,14.795173,-14.953518,0.147551,0.151597,-0.784602,-0.036215,105.095763,15764.364358,102,0.627451,0.940832
TSLA,RSI_Mean_Reversion,period=14;oversold=20;overbought=80,full,full,-0.141740,14.795173,-14.936913,0.102627,0.097177,-0.631819,-0.039941,10.713295,1606.991049,12,0.500000,0.796255
TSLA,RSI_Mean_Reversion,period=14;oversold=25;overbought=75,full,full,-0.080917,14.795173,-14.876090,0.178643,0.185220,-0.632076,-0.022166,16.928929,2539.337893,18,0.777778,0.881584
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,full,full,1.410503,14.795173,-13.384670,0.554420,0.571359,-0.605464,0.261782,55.348399,8302.297124,38,0.789474,1.862147
TSLA,RSI_Mean_Reversion,period=14;oversold=35;overbought=65,full,full,-0.163581,14.795173,-14.958754,0.142300,0.146681,-0.689214,-0.042698,41.831620,6274.740465,42,0.619048,0.901182
TSLA,RSI_Mean_Reversion,period=21;oversold=20;overbought=80,full,full,0.114270,14.795173,-14.680903,0.190382,0.108653,-0.514291,0.035501,3.582154,537.326063,4,0.500000,1.925016
