date,portfolio_value,cash,holdings,total_return,drawdown
2020-01-02,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-03,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-06,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-07,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-08,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-09,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-10,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-13,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-14,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-15,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-16,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-17,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-21,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-22,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-23,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-24,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-27,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-28,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-29,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-30,100000.000000,0,100000.000000,0.000000,0.000000
2020-01-31,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-03,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-04,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-05,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-06,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-07,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-10,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-11,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-12,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-13,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-14,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-18,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-19,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-20,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-21,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-24,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-25,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-26,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-27,100000.000000,0,100000.000000,0.000000,0.000000
2020-02-28,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-02,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-03,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-04,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-05,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-06,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-09,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-10,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-11,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-12,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-13,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-16,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-17,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-18,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-19,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-20,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-23,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-24,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-25,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-26,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-27,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-30,100000.000000,0,100000.000000,0.000000,0.000000
2020-03-31,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-01,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-02,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-03,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-06,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-07,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-08,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-09,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-13,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-14,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-15,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-16,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-17,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-20,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-21,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-22,100000.000000,0,100000.000000,0.000000,0.000000
2020-04-23,99677.132758,0,99677.132758,-0.003229,-0.003229
2020-04-24,100019.555292,0,100019.555292,0.000196,0.000000
2020-04-27,99964.855292,0,99964.855292,-0.000351,-0.000547
2020-04-28,99500.998691,0,99500.998691,-0.004990,-0.005185
2020-04-29,100560.676726,0,100560.676726,0.005607,0.000000
2020-04-30,100295.373247,0,100295.373247,0.002954,-0.002638
2020-05-01,97760.202046,0,97760.202046,-0.022398,-0.027849
2020-05-04,100021.158773,0,100021.158773,0.000212,-0.005365
2020-05-05,100860.361918,0,100860.361918,0.008604,0.000000
2020-05-06,101481.536866,0,101481.536866,0.014815,0.000000
2020-05-07,101960.162876,0,101960.162876,0.019602,0.000000
2020-05-08,103775.155421,0,103775.155421,0.037752,0.000000
2020-05-11,104119.180247,0,104119.180247,0.041192,0.000000
2020-05-12,102995.972601,0,102995.972601,0.029960,-0.010788
2020-05-13,101663.774261,0,101663.774261,0.016638,-0.023583
2020-05-14,102397.149197,0,102397.149197,0.023971,-0.016539
2020-05-15,102549.511080,0,102549.511080,0.025495,-0.015076
2020-05-18,104137.027520,0,104137.027520,0.041370,0.000000
2020-05-19,103542.395161,0,103542.395161,0.035424,-0.005710
2020-05-20,104669.013662,0,104669.013662,0.046690,0.000000
2020-05-21,104434.421322,0,104434.421322,0.044344,-0.002241
2020-05-22,104346.972200,0,104346.972200,0.043470,-0.003077
2020-05-26,104282.286972,0,104282.286972,0.042823,-0.003695
2020-05-27,104722.371369,0,104722.371369,0.047224,0.000000
2020-05-28,104293.868290,0,104293.868290,0.042939,-0.004092
2020-05-29,105285.306098,0,105285.306098,0.052853,0.000000
2020-06-01,107130.729489,0,107130.729489,0.071307,0.000000
2020-06-02,107211.644381,0,107211.644381,0.072116,0.000000
2020-06-03,107678.660942,0,107678.660942,0.076787,0.000000
2020-06-04,106718.274900,0,106718.274900,0.067183,-0.008919
2020-06-05,108827.360209,0,108827.360209,0.088274,0.000000
2020-06-08,110920.216842,0,110920.216842,0.109202,0.000000
2020-06-09,111372.490617,0,111372.490617,0.113725,0.000000
2020-06-10,113860.559308,0,113860.559308,0.138606,0.000000
2020-06-11,109112.833301,0,109112.833301,0.091128,-0.041698
2020-06-12,109384.993361,0,109384.993361,0.093850,-0.039307
2020-06-15,112158.878734,0,112158.878734,0.121589,-0.014945
2020-06-16,113738.082751,0,113738.082751,0.137381,-0.001076
2020-06-17,113982.711447,0,113982.711447,0.139827,0.000000
2020-06-18,114813.501904,0,114813.501904,0.148135,0.000000
2020-06-19,114575.548791,0,114575.548791,0.145755,-0.002073
