ticker,strategy,window_id,parameter_set,total_return,sharpe,max_drawdown,trade_count
AAPL,RSI_Mean_Reversion,0,period=7;oversold=20;overbought=80,0.117595,0.273014,-0.248549,21
AAPL,RSI_Mean_Reversion,0,period=7;oversold=25;overbought=75,-0.028001,0.105539,-0.248549,27
AAPL,RSI_Mean_Reversion,0,period=7;oversold=30;overbought=70,-0.217610,-0.169697,-0.299668,31
AAPL,RSI_Mean_Reversion,0,period=7;oversold=35;overbought=65,-0.213435,-0.158543,-0.288941,41
AAPL,RSI_Mean_Reversion,0,period=14;oversold=20;overbought=80,0.008483,0.100135,-0.218789,5
AAPL,RSI_Mean_Reversion,0,period=14;oversold=25;overbought=75,0.290203,0.451925,-0.297704,13
AAPL,RSI_Mean_Reversion,0,period=14;oversold=30;overbought=70,-0.151018,-0.055885,-0.297527,15
AAPL,RSI_Mean_Reversion,0,period=14;oversold=35;overbought=65,0.102000,0.254726,-0.262854,23
AAPL,RSI_Mean_Reversion,0,period=21;oversold=20;overbought=80,0.134125,0.533976,-0.086551,2
AAPL,RSI_Mean_Reversion,0,period=21;oversold=25;overbought=75,0.068961,0.216889,-0.264935,4
AAPL,RSI_Mean_Reversion,0,period=21;oversold=30;overbought=70,-0.004380,0.128467,-0.277515,9
AAPL,RSI_Mean_Reversion,0,period=21;oversold=35;overbought=65,0.009923,0.141709,-0.260805,13
AAPL,RSI_Mean_Reversion,1,period=7;oversold=20;overbought=80,0.309541,0.588397,-0.183343,22
AAPL,RSI_Mean_Reversion,1,period=7;oversold=25;overbought=75,0.147976,0.319088,-0.233880,30
AAPL,RSI_Mean_Reversion,1,period=7;oversold=30;overbought=70,0.046283,0.176811,-0.299816,34
AAPL,RSI_Mean_Reversion,1,period=7;oversold=35;overbought=65,-0.004348,0.099538,-0.288974,42
AAPL,RSI_Mean_Reversion,1,period=14;oversold=20;overbought=80,0.087378,0.247759,-0.224757,6
AAPL,RSI_Mean_Reversion,1,period=14;oversold=25;overbought=75,0.153026,0.334033,-0.303043,12
AAPL,RSI_Mean_Reversion,1,period=14;oversold=30;overbought=70,-0.064841,0.007393,-0.302828,14
AAPL,RSI_Mean_Reversion,1,period=14;oversold=35;overbought=65,0.282359,0.506205,-0.262870,24
AAPL,RSI_Mean_Reversion,1,period=21;oversold=20;overbought=80,0.134125,0.533976,-0.086551,2
AAPL,RSI_Mean_Reversion,1,period=21;oversold=25;overbought=75,0.068961,0.216889,-0.264935,4
AAPL,RSI_Mean_Reversion,1,period=21;oversold=30;overbought=70,0.038965,0.163430,-0.283109,8
AAPL,RSI_Mean_Reversion,1,period=21;oversold=35;overbought=65,0.041551,0.167147,-0.266237,12
AAPL,RSI_Mean_Reversion,2,period=7;oversold=20;overbought=80,0.204433,0.464967,-0.183386,25
AAPL,RSI_Mean_Reversion,2,period=7;oversold=25;overbought=75,-0.098232,-0.081040,-0.233773,31
AAPL,RSI_Mean_Reversion,2,period=7;oversold=30;overbought=70,-0.189808,-0.265476,-0.299978,35
AAPL,RSI_Mean_Reversion,2,period=7;oversold=35;overbought=65,-0.253257,-0.404928,-0.288891,43
AAPL,RSI_Mean_Reversion,2,period=14;oversold=20;overbought=80,0.186571,0.404609,-0.224757,8
AAPL,RSI_Mean_Reversion,2,period=14;oversold=25;overbought=75,0.037141,0.161600,-0.303015,12
AAPL,RSI_Mean_Reversion,2,period=14;oversold=30;overbought=70,-0.035960,0.044477,-0.302873,16
AAPL,RSI_Mean_Reversion,2,period=14;oversold=35;overbought=65,0.137402,0.316884,-0.262852,27
AAPL,RSI_Mean_Reversion,2,period=21;oversold=20;overbought=80,0.134125,0.533976,-0.086551,2
AAPL,RSI_Mean_Reversion,2,period=21;oversold=25;overbought=75,0.168518,0.382988,-0.264935,6
AAPL,RSI_Mean_Reversion,2,period=21;oversold=30;overbought=70,0.115288,0.278535,-0.283109,10
AAPL,RSI_Mean_Reversion,2,period=21;oversold=35;overbought=65,0.096879,0.252368,-0.266237,14
AAPL,RSI_Mean_Reversion,3,period=7;oversold=20;overbought=80,0.312050,0.647625,-0.183196,24
AAPL,RSI_Mean_Reversion,3,period=7;oversold=25;overbought=75,0.050016,0.180366,-0.186306,34
AAPL,RSI_Mean_Reversion,3,period=7;oversold=30;overbought=70,-0.042713,0.016732,-0.247294,38
AAPL,RSI_Mean_Reversion,3,period=7;oversold=35;overbought=65,-0.194041,-0.294499,-0.289107,44
AAPL,RSI_Mean_Reversion,3,period=14;oversold=20;overbought=80,0.085172,0.242029,-0.224732,8
AAPL,RSI_Mean_Reversion,3,period=14;oversold=25;overbought=75,0.087571,0.238694,-0.303063,14
AAPL,RSI_Mean_Reversion,3,period=14;oversold=30;overbought=70,-0.024413,0.062786,-0.302946,16
AAPL,RSI_Mean_Reversion,3,period=14;oversold=35;overbought=65,0.095678,0.255153,-0.262855,24
AAPL,RSI_Mean_Reversion,3,period=21;oversold=20;overbought=80,0.121110,0.642090,-0.072964,2
AAPL,RSI_Mean_Reversion,3,period=21;oversold=25;overbought=75,0.089635,0.253010,-0.264874,6
AAPL,RSI_Mean_Reversion,3,period=21;oversold=30;overbought=70,0.083455,0.232022,-0.282971,10
AAPL,RSI_Mean_Reversion,3,period=21;oversold=35;overbought=65,0.011486,0.121420,-0.266382,12
AAPL,RSI_Mean_Reversion,4,period=7;oversold=20;overbought=80,0.455242,0.847248,-0.183229,28
AAPL,RSI_Mean_Reversion,4,period=7;oversold=25;overbought=75,0.119224,0.291697,-0.186301,39
AAPL,RSI_Mean_Reversion,4,period=7;oversold=30;overbought=70,0.017023,0.125269,-0.247290,43
AAPL,RSI_Mean_Reversion,4,period=7;oversold=35;overbought=65,-0.188937,-0.272122,-0.289161,47
AAPL,RSI_Mean_Reversion,4,period=14;oversold=20;overbought=80,0.187567,0.410753,-0.224732,10
AAPL,RSI_Mean_Reversion,4,period=14;oversold=25;overbought=75,0.152636,0.333380,-0.303128,14
AAPL,RSI_Mean_Reversion,4,period=14;oversold=30;overbought=70,0.036229,0.161843,-0.302957,18
AAPL,RSI_Mean_Reversion,4,period=14;oversold=35;overbought=65,0.192513,0.399345,-0.262789,28
AAPL,RSI_Mean_Reversion,4,period=21;oversold=20;overbought=80,0.121110,0.642090,-0.072964,2
AAPL,RSI_Mean_Reversion,4,period=21;oversold=25;overbought=75,0.089635,0.253010,-0.264874,6
AAPL,RSI_Mean_Reversion,4,period=21;oversold=30;overbought=70,0.011205,0.121524,-0.283022,8
AAPL,RSI_Mean_Reversion,4,period=21;oversold=35;overbought=65,0.065234,0.204946,-0.266314,12
MSFT,RSI_Mean_Reversion,0,period=7;oversold=20;overbought=80,0.299511,0.460110,-0.216680,29
MSFT,RSI_Mean_Reversion,0,period=7;oversold=25;overbought=75,0.198630,0.357774,-0.216680,33
MSFT,RSI_Mean_Reversion,0,period=7;oversold=30;overbought=70,0.105787,0.259084,-0.205364,41
MSFT,RSI_Mean_Reversion,0,period=7;oversold=35;overbought=65,0.223719,0.389749,-0.247328,55
MSFT,RSI_Mean_Reversion,0,period=14;oversold=20;overbought=80,-0.092738,-0.095423,-0.232704,4
MSFT,RSI_Mean_Reversion,0,period=14;oversold=25;overbought=75,0.351686,0.538705,-0.200058,10
MSFT,RSI_Mean_Reversion,0,period=14;oversold=30;overbought=70,0.444074,0.602295,-0.203997,20
