ticker,strategy,window_id,parameter_set,total_return,benchmark_net_return,excess_return,sharpe,max_drawdown,trade_count,total_costs
AAPL,RSI_Mean_Reversion,0,period=14;oversold=25;overbought=75,0.103211,0.525201,-0.421989,2.545808,-0.015638,2,304.862216
AAPL,RSI_Mean_Reversion,1,period=7;oversold=20;overbought=80,0.021551,-0.042291,0.063842,0.392320,-0.048935,7,1033.240328
AAPL,RSI_Mean_Reversion,2,period=7;oversold=20;overbought=80,0.063103,0.240514,-0.177412,0.782319,-0.122359,4,596.729044
AAPL,RSI_Mean_Reversion,3,period=7;oversold=20;overbought=80,0.106073,0.065012,0.041061,1.711861,-0.063669,6,886.953053
AAPL,RSI_Mean_Reversion,4,period=7;oversold=20;overbought=80,0.255432,-0.140786,0.396218,1.717927,-0.080127,10,1569.057384
MSFT,RSI_Mean_Reversion,0,period=14;oversold=30;overbought=70,0.197818,0.407200,-0.209382,2.864092,-0.033103,4,624.225211
MSFT,RSI_Mean_Reversion,1,period=7;oversold=35;overbought=65,0.007506,0.082691,-0.075184,0.189069,-0.069531,8,1113.852839
MSFT,RSI_Mean_Reversion,2,period=14;oversold=30;overbought=70,0.060713,0.266944,-0.206231,1.424367,-0.046039,2,295.203677
MSFT,RSI_Mean_Reversion,3,period=7;oversold=35;overbought=65,-0.029726,-0.094711,0.064985,-0.374265,-0.104515,11,1522.133744
MSFT,RSI_Mean_Reversion,4,period=7;oversold=35;overbought=65,0.109958,0.173312,-0.063355,1.119573,-0.067624,10,1470.773651
SPY,RSI_Mean_Reversion,0,period=14;oversold=25;overbought=75,0.000000,0.160135,-0.160135,0.000000,0.000000,0,0.000000
SPY,RSI_Mean_Reversion,1,period=14;oversold=25;overbought=75,0.033450,0.063062,-0.029612,0.764622,-0.084749,2,287.570917
SPY,RSI_Mean_Reversion,2,period=21;oversold=35;overbought=65,0.050547,0.183399,-0.132851,2.434981,-0.018148,2,293.275917
SPY,RSI_Mean_Reversion,3,period=21;oversold=35;overbought=65,0.055019,0.062845,-0.007827,1.801507,-0.023073,2,293.742293
SPY,RSI_Mean_Reversion,4,period=7;oversold=20;overbought=80,-0.059298,0.045066,-0.104364,-0.460765,-0.159547,2,275.780374
TSLA,RSI_Mean_Reversion,0,period=21;oversold=25;overbought=75,1.000434,1.605308,-0.604874,4.447524,-0.031739,4,894.300343
TSLA,RSI_Mean_Reversion,1,period=14;oversold=30;overbought=70,0.224993,-0.140321,0.365314,1.491220,-0.128065,4,620.714413
TSLA,RSI_Mean_Reversion,2,period=14;oversold=30;overbought=70,0.013623,0.053951,-0.040328,0.294789,-0.331457,2,282.526671
TSLA,RSI_Mean_Reversion,3,period=21;oversold=30;overbought=70,0.000000,0.617817,-0.617817,0.000000,0.000000,0,0.000000
TSLA,RSI_Mean_Reversion,4,period=14;oversold=30;overbought=70,-0.211472,-0.282341,0.070869,-0.470893,-0.359797,3,369.274130
BTC-USD,RSI_Mean_Reversion,0,period=21;oversold=20;overbought=80,0.000000,-0.139885,0.139885,0.000000,0.000000,0,0.000000
BTC-USD,RSI_Mean_Reversion,1,period=21;oversold=25;overbought=75,-0.011534,-0.319579,0.308045,0.117082,-0.204059,1,123.606958
BTC-USD,RSI_Mean_Reversion,2,period=7;oversold=25;overbought=75,0.179213,0.150485,0.028728,1.768962,-0.092502,4,542.214688
BTC-USD,RSI_Mean_Reversion,3,period=7;oversold=25;overbought=75,0.138650,0.126494,0.012156,1.070152,-0.123158,7,992.744315
BTC-USD,RSI_Mean_Reversion,4,period=21;oversold=25;overbought=75,0.069865,0.127602,-0.057737,1.012495,-0.073333,1,117.254316
BTC-USD,RSI_Mean_Reversion,5,period=7;oversold=25;overbought=75,0.114552,0.840145,-0.725593,1.296415,-0.065548,4,521.766316
BTC-USD,RSI_Mean_Reversion,6,period=7;oversold=25;overbought=75,0.064491,0.188667,-0.124176,0.787683,-0.076682,5,495.750184
BTC-USD,RSI_Mean_Reversion,7,period=7;oversold=25;overbought=75,0.096908,0.192257,-0.095349,1.013412,-0.094588,8,741.938354
BTC-USD,RSI_Mean_Reversion,8,period=21;oversold=25;overbought=75,0.000000,0.202122,-0.202122,0.000000,0.000000,0,0.000000
BTC-USD,RSI_Mean_Reversion,9,period=21;oversold=25;overbought=75,0.000000,0.198628,-0.198628,0.000000,0.000000,0,0.000000
BTC-USD,RSI_Mean_Reversion,10,period=14;oversold=35;overbought=65,0.000000,-0.077588,0.077588,0.000000,0.000000,0,0.000000
