ticker,strategy,window_id,train_start,train_end,test_start,test_end,selected_parameters,objective_value,parameter_changed
AAPL,RSI_Mean_Reversion,0,2020-01-02,2022-12-30,2023-01-03,2023-07-05,period=14;oversold=25;overbought=75,0.451925,0
AAPL,RSI_Mean_Reversion,1,2020-07-02,2023-07-05,2023-07-06,2024-01-03,period=7;oversold=20;overbought=80,0.588397,1
AAPL,RSI_Mean_Reversion,2,2020-12-31,2024-01-03,2024-01-04,2024-07-05,period=7;oversold=20;overbought=80,0.464967,0
AAPL,RSI_Mean_Reversion,3,2021-07-02,2024-07-05,2024-07-08,2025-01-03,period=7;oversold=20;overbought=80,0.647625,0
AAPL,RSI_Mean_Reversion,4,2021-12-31,2025-01-03,2025-01-06,2025-07-09,period=7;oversold=20;overbought=80,0.847248,0
MSFT,RSI_Mean_Reversion,0,2020-01-02,2022-12-30,2023-01-03,2023-07-05,period=14;oversold=30;overbought=70,0.602295,0
MSFT,RSI_Mean_Reversion,1,2020-07-02,2023-07-05,2023-07-06,2024-01-03,period=7;oversold=35;overbought=65,0.937849,1
MSFT,RSI_Mean_Reversion,2,2020-12-31,2024-01-03,2024-01-04,2024-07-05,period=14;oversold=30;overbought=70,0.741440,1
MSFT,RSI_Mean_Reversion,3,2021-07-02,2024-07-05,2024-07-08,2025-01-03,period=7;oversold=35;overbought=65,0.846460,1
MSFT,RSI_Mean_Reversion,4,2021-12-31,2025-01-03,2025-01-06,2025-07-09,period=7;oversold=35;overbought=65,0.664941,0
SPY,RSI_Mean_Reversion,0,2020-01-02,2022-12-30,2023-01-03,2023-07-05,period=14;oversold=25;overbought=75,0.451457,0
SPY,RSI_Mean_Reversion,1,2020-07-02,2023-07-05,2023-07-06,2024-01-03,period=14;oversold=25;overbought=75,0.696253,0
SPY,RSI_Mean_Reversion,2,2020-12-31,2024-01-03,2024-01-04,2024-07-05,period=21;oversold=35;overbought=65,0.405439,1
SPY,RSI_Mean_Reversion,3,2021-07-02,2024-07-05,2024-07-08,2025-01-03,period=21;oversold=35;overbought=65,0.532955,0
SPY,RSI_Mean_Reversion,4,2021-12-31,2025-01-03,2025-01-06,2025-07-09,period=7;oversold=20;overbought=80,0.584097,1
TSLA,RSI_Mean_Reversion,0,2020-01-02,2022-12-30,2023-01-03,2023-07-05,period=21;oversold=25;overbought=75,0.385032,0
TSLA,RSI_Mean_Reversion,1,2020-07-02,2023-07-05,2023-07-06,2024-01-03,period=14;oversold=30;overbought=70,0.504459,1
TSLA,RSI_Mean_Reversion,2,2020-12-31,2024-01-03,2024-01-04,2024-07-05,period=14;oversold=30;overbought=70,0.484350,0
TSLA,RSI_Mean_Reversion,3,2021-07-02,2024-07-05,2024-07-08,2025-01-03,period=21;oversold=30;overbought=70,0.418442,1
TSLA,RSI_Mean_Reversion,4,2021-12-31,2025-01-03,2025-01-06,2025-07-09,period=14;oversold=30;overbought=70,0.497036,1
BTC-USD,RSI_Mean_Reversion,0,2020-01-01,2022-01-25,2022-01-26,2022-05-31,period=21;oversold=20;overbought=80,1.150897,0
BTC-USD,RSI_Mean_Reversion,1,2020-05-06,2022-05-31,2022-06-01,2022-10-04,period=21;oversold=25;overbought=75,0.816416,1
BTC-USD,RSI_Mean_Reversion,2,2020-09-09,2022-10-04,2022-10-05,2023-02-07,period=7;oversold=25;overbought=75,0.328544,1
BTC-USD,RSI_Mean_Reversion,3,2021-01-13,2023-02-07,2023-02-08,2023-06-13,period=7;oversold=25;overbought=75,0.496963,0
BTC-USD,RSI_Mean_Reversion,4,2021-05-19,2023-06-13,2023-06-14,2023-10-17,period=21;oversold=25;overbought=75,0.506381,1
BTC-USD,RSI_Mean_Reversion,5,2021-09-22,2023-10-17,2023-10-18,2024-02-20,period=7;oversold=25;overbought=75,0.552561,1
BTC-USD,RSI_Mean_Reversion,6,2022-01-26,2024-02-20,2024-02-21,2024-06-25,period=7;oversold=25;overbought=75,0.934319,0
BTC-USD,RSI_Mean_Reversion,7,2022-06-01,2024-06-25,2024-06-26,2024-10-29,period=7;oversold=25;overbought=75,1.165241,0
BTC-USD,RSI_Mean_Reversion,8,2022-10-05,2024-10-29,2024-10-30,2025-03-04,period=21;oversold=25;overbought=75,1.449400,1
BTC-USD,RSI_Mean_Reversion,9,2023-02-08,2025-03-04,2025-03-05,2025-07-08,period=21;oversold=25;overbought=75,1.449400,0
BTC-USD,RSI_Mean_Reversion,10,2023-06-14,2025-07-08,2025-07-09,2025-11-11,period=14;oversold=35;overbought=65,1.123832,1
