schema_version,ticker,strategy,parameter_set,start_date,end_date,benchmark_ticker,benchmark_execution_policy,benchmark_cost_policy,excess_return_basis,total_return,benchmark_net_return,excess_return,sharpe,sortino,max_drawdown,calmar,turnover,total_costs,trade_count,win_rate,profit_factor
2,AAPL,MA_Cross,short=5;long=50,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,1.072291,1.066875,0.005416,0.742137,0.882007,-0.256350,0.505479,76.543567,11481.513922,47,0.347826,1.641368
2,AAPL,MA_Cross,short=5;long=100,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.379715,1.066875,-0.687159,0.420182,0.452226,-0.282108,0.196021,29.435348,4415.279561,27,0.230769,1.225062
2,AAPL,MA_Cross,short=5;long=150,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.411819,1.066875,-0.655056,0.445117,0.493450,-0.263464,0.225328,29.625620,4443.820457,29,0.428571,1.679952
2,AAPL,MA_Cross,short=5;long=200,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.393787,1.066875,-0.673088,0.493442,0.438459,-0.201303,0.283608,12.483061,1872.435871,13,0.500000,3.541640
2,AAPL,MA_Cross,short=10;long=50,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,1.297337,1.066875,0.230462,0.831503,0.973051,-0.266849,0.559199,66.956550,10043.462487,41,0.400000,1.998804
2,AAPL,MA_Cross,short=10;long=100,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.312423,1.066875,-0.754451,0.367776,0.394142,-0.276110,0.168455,20.132263,3019.816358,21,0.400000,1.049700
2,AAPL,MA_Cross,short=10;long=150,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.386551,1.066875,-0.680324,0.421156,0.467873,-0.269416,0.208493,26.423599,3963.517192,25,0.333333,1.558220
2,AAPL,MA_Cross,short=10;long=200,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.427679,1.066875,-0.639196,0.525537,0.477254,-0.195879,0.313187,7.156242,1073.413064,7,0.666667,4.168693
2,AAPL,MA_Cross,short=20;long=50,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,1.099404,1.066875,0.032529,0.740081,0.840012,-0.272710,0.484168,51.682391,7752.337879,33,0.375000,1.769269
2,AAPL,MA_Cross,short=20;long=100,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.322422,1.066875,-0.744453,0.369601,0.397213,-0.354473,0.134964,16.723390,2508.485368,17,0.375000,1.125294
2,AAPL,MA_Cross,short=20;long=150,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.273439,1.066875,-0.793435,0.326106,0.354730,-0.268635,0.153549,12.767926,1915.165612,13,0.500000,1.350088
2,AAPL,MA_Cross,short=20;long=200,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.308607,1.066875,-0.758268,0.409221,0.360971,-0.183394,0.250840,6.511549,976.709031,7,0.666667,1.782926
2,AAPL,MA_Cross,short=30;long=50,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,1.644981,1.066875,0.578106,0.910219,1.047032,-0.292563,0.603710,48.633980,7295.076008,29,0.571429,2.840055
2,AAPL,MA_Cross,short=30;long=100,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.423184,1.066875,-0.643691,0.449093,0.476899,-0.295691,0.205577,15.131776,2269.743326,15,0.428571,1.260513
2,AAPL,MA_Cross,short=30;long=150,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.120051,1.066875,-0.946824,0.196668,0.208792,-0.352397,0.054312,11.731509,1759.702939,13,0.500000,0.854263
2,AAPL,MA_Cross,short=30;long=200,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.352480,1.066875,-0.714395,0.450966,0.394968,-0.185162,0.279683,6.954731,1043.185466,7,0.666667,3.140288
2,MSFT,MA_Cross,short=5;long=50,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.319666,1.066875,-0.747209,0.344566,0.395352,-0.336871,0.140932,62.416470,9362.480838,58,0.310345,1.342734
2,MSFT,MA_Cross,short=5;long=100,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.960151,1.066875,-0.106723,0.805639,0.907428,-0.181524,0.656220,40.557692,6083.679289,26,0.461538,3.598853
2,MSFT,MA_Cross,short=5;long=150,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.159047,1.066875,-0.907828,0.254916,0.229253,-0.309683,0.080690,22.751507,3412.730914,22,0.181818,1.404749
2,MSFT,MA_Cross,short=5;long=200,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.253987,1.066875,-0.812887,0.352097,0.318418,-0.292703,0.131778,20.904675,3135.678640,19,0.222222,1.319257
2,MSFT,MA_Cross,short=10;long=50,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.221587,1.066875,-0.845288,0.277467,0.311004,-0.364947,0.093262,42.402078,6360.318841,42,0.428571,1.368093
2,MSFT,MA_Cross,short=10;long=100,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.661753,1.066875,-0.405122,0.625179,0.697766,-0.274803,0.322547,31.894653,4784.215758,22,0.363636,2.275721
2,MSFT,MA_Cross,short=10;long=150,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.302444,1.066875,-0.764431,0.409368,0.374711,-0.248677,0.181670,15.749328,2362.407334,14,0.285714,2.170700
2,MSFT,MA_Cross,short=10;long=200,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.184276,1.066875,-0.882599,0.280623,0.250236,-0.270241,0.106149,18.047240,2707.062873,17,0.125000,1.185924
2,MSFT,MA_Cross,short=20;long=50,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.429387,1.066875,-0.637488,0.424805,0.478434,-0.388541,0.158436,41.475744,6221.373823,34,0.411765,1.711712
2,MSFT,MA_Cross,short=20;long=100,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.175219,1.066875,-0.891655,0.278311,0.246003,-0.193325,0.141555,11.917825,1787.678549,12,0.500000,1.640107
2,MSFT,MA_Cross,short=20;long=150,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.258575,1.066875,-0.808300,0.368267,0.336073,-0.221960,0.176636,13.737980,2060.704054,12,0.333333,1.976203
2,MSFT,MA_Cross,short=20;long=200,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.579106,1.066875,-0.487769,0.666224,0.636977,-0.150120,0.528840,6.692394,1003.836482,5,0.500000,5.670616
