schema_version,window_mode,continuity_policy,ticker,strategy,window_id,parameter_set,starting_capital,ending_capital,total_return,cumulative_oos_return,benchmark_ticker,benchmark_net_return,excess_return,excess_return_basis,sharpe,max_drawdown,trade_count,total_costs,boundary_liquidation_costs
2,calendar_duration,continuous_capital,AAPL,MA_Cross,0,short=5;long=50,100000.000000,133646.899045,0.336469,0.336469,SPY,0.146562,0.189907,net_strategy_minus_net_benchmark,3.282953,-0.062073,2,338.302997,194.584013
2,calendar_duration,continuous_capital,AAPL,MA_Cross,1,short=5;long=50,133646.899045,128272.508026,-0.040213,0.282725,SPY,0.068531,-0.108744,net_strategy_minus_net_benchmark,-0.830079,-0.087146,6,1082.634106,184.189792
2,calendar_duration,continuous_capital,AAPL,MA_Cross,2,short=5;long=50,128272.508026,141910.911947,0.106324,0.419109,SPY,0.147033,-0.040709,net_strategy_minus_net_benchmark,1.459413,-0.062823,4,729.276835,203.135391
2,calendar_duration,continuous_capital,AAPL,MA_Cross,3,short=10;long=50,141910.911947,141479.711982,-0.003039,0.414797,SPY,0.061613,-0.064651,net_strategy_minus_net_benchmark,0.022827,-0.085030,6,1174.216993,202.021576
2,calendar_duration,continuous_capital,AAPL,MA_Cross,4,short=10;long=200,141479.711982,141479.711982,0.000000,0.414797,SPY,0.045826,-0.045826,net_strategy_minus_net_benchmark,0.000000,0.000000,0,0.000000,0.000000
2,calendar_duration,continuous_capital,MSFT,MA_Cross,0,short=5;long=100,100000.000000,134724.983708,0.347250,0.347250,SPY,0.146562,0.200688,net_strategy_minus_net_benchmark,2.576321,-0.091228,2,338.667461,195.575021
2,calendar_duration,continuous_capital,MSFT,MA_Cross,1,short=5;long=100,134724.983708,141730.123543,0.051996,0.417301,SPY,0.068458,-0.016462,net_strategy_minus_net_benchmark,0.771498,-0.089301,6,1140.492000,202.993917
2,calendar_duration,continuous_capital,MSFT,MA_Cross,2,short=5;long=200,141730.123543,141730.123543,0.000000,0.417301,SPY,0.147052,-0.147052,net_strategy_minus_net_benchmark,0.000000,0.000000,0,0.000000,0.000000
2,calendar_duration,continuous_capital,MSFT,MA_Cross,3,short=5;long=200,141730.123543,122744.408710,-0.133957,0.227444,SPY,0.061691,-0.195648,net_strategy_minus_net_benchmark,-1.903578,-0.142471,10,1853.993215,174.442833
2,calendar_duration,continuous_capital,MSFT,MA_Cross,4,short=30;long=200,122744.408710,131588.533404,0.072053,0.315885,SPY,0.045901,0.026152,net_strategy_minus_net_benchmark,2.841937,-0.011937,2,368.499298,191.097700
2,calendar_duration,continuous_capital,SPY,MA_Cross,0,short=10;long=100,100000.000000,106636.568957,0.066366,0.066366,SPY,0.146562,-0.080197,net_strategy_minus_net_benchmark,1.107886,-0.071332,4,573.917615,152.215924
2,calendar_duration,continuous_capital,SPY,MA_Cross,1,short=20;long=200,106636.568957,106636.568957,0.000000,0.066366,SPY,0.068471,-0.068471,net_strategy_minus_net_benchmark,0.000000,0.000000,0,0.000000,0.000000
2,calendar_duration,continuous_capital,SPY,MA_Cross,2,short=20;long=200,106636.568957,106636.568957,0.000000,0.066366,SPY,0.147273,-0.147273,net_strategy_minus_net_benchmark,0.000000,0.000000,0,0.000000,0.000000
2,calendar_duration,continuous_capital,SPY,MA_Cross,3,short=20;long=200,106636.568957,106636.568957,0.000000,0.066366,SPY,0.061579,-0.061579,net_strategy_minus_net_benchmark,0.000000,0.000000,0,0.000000,0.000000
2,calendar_duration,continuous_capital,SPY,MA_Cross,4,short=20;long=200,106636.568957,110553.692505,0.036733,0.105537,SPY,0.045932,-0.009198,net_strategy_minus_net_benchmark,1.786892,-0.015037,2,312.361071,159.300588
2,calendar_duration,continuous_capital,TSLA,MA_Cross,0,short=5;long=50,100000.000000,146361.464868,0.463615,0.463615,SPY,0.146562,0.317052,net_strategy_minus_net_benchmark,2.140252,-0.185135,4,647.111228,209.215345
2,calendar_duration,continuous_capital,TSLA,MA_Cross,1,short=5;long=50,146361.464868,116459.960875,-0.204299,0.164600,SPY,0.068485,-0.272784,net_strategy_minus_net_benchmark,-1.943904,-0.257300,6,1071.326060,166.922898
2,calendar_duration,continuous_capital,TSLA,MA_Cross,2,short=5;long=50,116459.960875,132905.112272,0.141209,0.329051,SPY,0.147453,-0.006245,net_strategy_minus_net_benchmark,1.308320,-0.083273,2,354.428971,189.755098
2,calendar_duration,continuous_capital,TSLA,MA_Cross,3,short=5;long=50,132905.112272,179434.395637,0.350094,0.794344,SPY,0.061491,0.288603,net_strategy_minus_net_benchmark,1.491294,-0.230037,6,1159.077414,260.995530
2,calendar_duration,continuous_capital,TSLA,MA_Cross,4,short=5;long=50,179434.395637,191058.886848,0.064784,0.910589,SPY,0.045916,0.018868,net_strategy_minus_net_benchmark,0.553493,-0.200309,2,507.737366,262.883231
2,calendar_duration,continuous_capital,BTC-USD,MA_Cross,0,short=5;long=100,100000.000000,119335.954480,0.193360,0.193360,SPY,0.146562,0.046797,net_strategy_minus_net_benchmark,0.962193,-0.171022,6,875.207630,137.101918
2,calendar_duration,continuous_capital,BTC-USD,MA_Cross,1,short=5;long=100,119335.954480,174643.482662,0.463461,0.746435,SPY,0.068430,0.395031,net_strategy_minus_net_benchmark,2.332443,-0.064060,2,423.557756,253.506595
2,calendar_duration,continuous_capital,BTC-USD,MA_Cross,2,short=5;long=150,174643.482662,174643.482662,0.000000,0.746435,SPY,0.145245,-0.145245,net_strategy_minus_net_benchmark,0.000000,0.000000,0,0.000000,0.000000
2,calendar_duration,continuous_capital,BTC-USD,MA_Cross,3,short=20;long=150,174643.482662,213747.513951,0.223908,1.137475,SPY,0.070821,0.153087,net_strategy_minus_net_benchmark,1.222958,-0.115289,6,1225.812460,280.194180
2,calendar_duration,continuous_capital,BTC-USD,MA_Cross,4,short=5;long=150,213747.513951,238090.997074,0.113889,1.380910,SPY,0.046287,0.067602,net_strategy_minus_net_benchmark,1.091578,-0.086357,2,605.376252,321.298872
