schema_version,window_mode,ticker,strategy,window_id,selected_parameters,objective_value,in_sample_sharpe,in_sample_return
2,calendar_duration,AAPL,MA_Cross,0,short=5;long=50,0.875556,0.875556,0.630067
2,calendar_duration,AAPL,MA_Cross,1,short=5;long=50,0.757421,0.757421,0.423971
2,calendar_duration,AAPL,MA_Cross,2,short=5;long=50,0.604854,0.604854,0.283937
2,calendar_duration,AAPL,MA_Cross,3,short=10;long=50,0.722570,0.722570,0.347106
2,calendar_duration,AAPL,MA_Cross,4,short=10;long=200,0.858770,0.858770,0.427971
2,calendar_duration,MSFT,MA_Cross,0,short=5;long=100,0.728523,0.728523,0.300314
2,calendar_duration,MSFT,MA_Cross,1,short=5;long=100,1.211821,1.211821,0.754372
2,calendar_duration,MSFT,MA_Cross,2,short=5;long=200,0.706354,0.706354,0.280438
2,calendar_duration,MSFT,MA_Cross,3,short=5;long=200,1.051110,1.051110,0.545908
2,calendar_duration,MSFT,MA_Cross,4,short=30;long=200,0.964485,0.964485,0.525576
2,calendar_duration,SPY,MA_Cross,0,short=10;long=100,0.635270,0.635270,0.228542
2,calendar_duration,SPY,MA_Cross,1,short=20;long=200,0.694289,0.694289,0.108989
2,calendar_duration,SPY,MA_Cross,2,short=20;long=200,0.861490,0.861490,0.185220
2,calendar_duration,SPY,MA_Cross,3,short=20;long=200,1.293408,1.293408,0.351892
2,calendar_duration,SPY,MA_Cross,4,short=20;long=200,1.315978,1.315978,0.448853
2,calendar_duration,TSLA,MA_Cross,0,short=5;long=50,1.373790,1.373790,3.853904
2,calendar_duration,TSLA,MA_Cross,1,short=5;long=50,1.122302,1.122302,1.711200
2,calendar_duration,TSLA,MA_Cross,2,short=5;long=50,0.566758,0.566758,0.489709
2,calendar_duration,TSLA,MA_Cross,3,short=5;long=50,0.364180,0.364180,0.209811
2,calendar_duration,TSLA,MA_Cross,4,short=5;long=50,0.559238,0.559238,0.510391
2,calendar_duration,BTC-USD,MA_Cross,0,short=5;long=100,1.176635,1.176635,3.887771
2,calendar_duration,BTC-USD,MA_Cross,1,short=5;long=100,1.218815,1.218815,4.353665
2,calendar_duration,BTC-USD,MA_Cross,2,short=5;long=150,0.569119,0.569119,0.581293
2,calendar_duration,BTC-USD,MA_Cross,3,short=20;long=150,0.777198,0.777198,1.077464
2,calendar_duration,BTC-USD,MA_Cross,4,short=5;long=150,0.930462,0.930462,1.423434
