schema_version,window_mode,ticker,strategy,window_id,train_start,train_end,test_start,test_end,train_observations,test_observations,selected_parameters,objective_value,parameter_changed,starting_capital,ending_capital,continuity_policy,boundary_position_policy,boundary_liquidation_costs,linked_return,cumulative_oos_return,benchmark_ticker,benchmark_execution_policy,benchmark_cost_policy,excess_return_basis
2,calendar_duration,AAPL,MA_Cross,0,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,short=5;long=50,0.875556,0,100000.000000,133646.899045,continuous_capital,liquidate_at_test_end_close,194.584013,0.336469,0.336469,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MA_Cross,1,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,short=5;long=50,0.757421,0,133646.899045,128272.508026,continuous_capital,liquidate_at_test_end_close,184.189792,-0.040213,0.282725,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MA_Cross,2,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,short=5;long=50,0.604854,0,128272.508026,141910.911947,continuous_capital,liquidate_at_test_end_close,203.135391,0.106324,0.419109,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MA_Cross,3,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,short=10;long=50,0.722570,1,141910.911947,141479.711982,continuous_capital,liquidate_at_test_end_close,202.021576,-0.003039,0.414797,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MA_Cross,4,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,short=10;long=200,0.858770,1,141479.711982,141479.711982,continuous_capital,liquidate_at_test_end_close,0.000000,0.000000,0.414797,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MA_Cross,0,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,short=5;long=100,0.728523,0,100000.000000,134724.983708,continuous_capital,liquidate_at_test_end_close,195.575021,0.347250,0.347250,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MA_Cross,1,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,short=5;long=100,1.211821,0,134724.983708,141730.123543,continuous_capital,liquidate_at_test_end_close,202.993917,0.051996,0.417301,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MA_Cross,2,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,short=5;long=200,0.706354,1,141730.123543,141730.123543,continuous_capital,liquidate_at_test_end_close,0.000000,0.000000,0.417301,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MA_Cross,3,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,short=5;long=200,1.051110,0,141730.123543,122744.408710,continuous_capital,liquidate_at_test_end_close,174.442833,-0.133957,0.227444,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MA_Cross,4,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,short=30;long=200,0.964485,1,122744.408710,131588.533404,continuous_capital,liquidate_at_test_end_close,191.097700,0.072053,0.315885,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MA_Cross,0,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,short=10;long=100,0.635270,0,100000.000000,106636.568957,continuous_capital,liquidate_at_test_end_close,152.215924,0.066366,0.066366,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MA_Cross,1,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,short=20;long=200,0.694289,1,106636.568957,106636.568957,continuous_capital,liquidate_at_test_end_close,0.000000,0.000000,0.066366,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MA_Cross,2,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,short=20;long=200,0.861490,0,106636.568957,106636.568957,continuous_capital,liquidate_at_test_end_close,0.000000,0.000000,0.066366,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MA_Cross,3,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,short=20;long=200,1.293408,0,106636.568957,106636.568957,continuous_capital,liquidate_at_test_end_close,0.000000,0.000000,0.066366,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MA_Cross,4,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,short=20;long=200,1.315978,0,106636.568957,110553.692505,continuous_capital,liquidate_at_test_end_close,159.300588,0.036733,0.105537,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,TSLA,MA_Cross,0,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,short=5;long=50,1.373790,0,100000.000000,146361.464868,continuous_capital,liquidate_at_test_end_close,209.215345,0.463615,0.463615,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,TSLA,MA_Cross,1,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,short=5;long=50,1.122302,0,146361.464868,116459.960875,continuous_capital,liquidate_at_test_end_close,166.922898,-0.204299,0.164600,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,TSLA,MA_Cross,2,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,short=5;long=50,0.566758,0,116459.960875,132905.112272,continuous_capital,liquidate_at_test_end_close,189.755098,0.141209,0.329051,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,TSLA,MA_Cross,3,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,short=5;long=50,0.364180,0,132905.112272,179434.395637,continuous_capital,liquidate_at_test_end_close,260.995530,0.350094,0.794344,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,TSLA,MA_Cross,4,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,short=5;long=50,0.559238,0,179434.395637,191058.886848,continuous_capital,liquidate_at_test_end_close,262.883231,0.064784,0.910589,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,BTC-USD,MA_Cross,0,2020-01-01,2022-12-31,2023-01-01,2023-06-30,1096,181,short=5;long=100,1.176635,0,100000.000000,119335.954480,continuous_capital,liquidate_at_test_end_close,137.101918,0.193360,0.193360,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,BTC-USD,MA_Cross,1,2020-07-01,2023-06-30,2023-07-01,2023-12-31,1095,184,short=5;long=100,1.218815,0,119335.954480,174643.482662,continuous_capital,liquidate_at_test_end_close,253.506595,0.463461,0.746435,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,BTC-USD,MA_Cross,2,2021-01-01,2023-12-31,2024-01-01,2024-06-30,1095,182,short=5;long=150,0.569119,1,174643.482662,174643.482662,continuous_capital,liquidate_at_test_end_close,0.000000,0.000000,0.746435,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,BTC-USD,MA_Cross,3,2021-07-01,2024-06-30,2024-07-01,2024-12-31,1096,184,short=20;long=150,0.777198,1,174643.482662,213747.513951,continuous_capital,liquidate_at_test_end_close,280.194180,0.223908,1.137475,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,BTC-USD,MA_Cross,4,2022-01-01,2024-12-31,2025-01-01,2025-06-30,1096,181,short=5;long=150,0.930462,1,213747.513951,238090.997074,continuous_capital,liquidate_at_test_end_close,321.298872,0.113889,1.380910,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
