path,total_return,terminal_wealth,max_drawdown,sharpe
0,0.646488,164649,-0.252112,0.551483
1,-0.317552,68244.8,-0.490736,-0.259888
2,2.05782,305782,-0.204335,1.18732
3,-0.435616,56438.4,-0.535573,-0.402724
4,0.661831,166183,-0.298925,0.544054
5,0.689433,168943,-0.210551,0.621174
6,2.22254,322254,-0.321629,1.12276
7,0.69967,169967,-0.238342,0.552891
8,0.643944,164394,-0.36452,0.525648
9,1.0304,203040,-0.210462,0.748409
10,0.645197,164520,-0.270003,0.565145
11,0.29913,129913,-0.222024,0.324162
12,0.494826,149483,-0.368243,0.443121
13,1.42403,242403,-0.231478,0.870265
14,1.32174,232174,-0.351343,0.865555
15,0.014502,101450,-0.372394,0.104266
16,-0.0963736,90362.6,-0.236288,-0.0100642
17,0.381284,138128,-0.27659,0.38819
18,0.445286,144529,-0.354136,0.405813
19,0.94803,194803,-0.271071,0.682113
20,0.620823,162082,-0.2241,0.518136
21,0.30227,130227,-0.329401,0.335699
22,-0.316513,68348.7,-0.584798,-0.2472
23,1.26332,226332,-0.303393,0.825811
24,0.815357,181536,-0.331177,0.598077
25,0.14046,114046,-0.352937,0.211268
26,-0.227094,77290.6,-0.55027,-0.146943
27,-0.380203,61979.7,-0.555772,-0.393232
28,-0.279463,72053.7,-0.501192,-0.193721
29,0.378418,137842,-0.331966,0.382052
30,0.46295,146295,-0.395449,0.438454
31,0.0298619,102986,-0.412622,0.126771
32,0.41813,141813,-0.33193,0.404264
33,0.028238,102824,-0.353373,0.118756
34,1.71677,271677,-0.27839,0.992343
35,0.0311362,103114,-0.428286,0.123166
36,1.93751,293751,-0.332395,1.05234
37,0.875088,187509,-0.277719,0.676387
38,0.731503,173150,-0.235557,0.587635
39,1.22239,222239,-0.179051,0.832012
40,0.933127,193313,-0.331981,0.682436
41,1.20629,220629,-0.259163,0.825812
42,1.79134,279134,-0.213625,1.02962
43,2.52425,352425,-0.254062,1.21823
44,0.00715712,100716,-0.436475,0.0969417
45,-0.0515053,94849.5,-0.363984,0.0392442
46,0.203303,120330,-0.288118,0.257547
47,0.830203,183020,-0.201931,0.645099
48,0.47371,147371,-0.235875,0.465184
49,0.58305,158305,-0.270498,0.518875
50,1.1645,216450,-0.229756,0.788588
51,-0.174415,82558.5,-0.50444,-0.0724334
52,1.25834,225834,-0.26676,0.826239
53,0.461893,146189,-0.347036,0.448243
54,-0.0213623,97863.8,-0.44182,0.0741436
55,0.544696,154470,-0.2767,0.488921
56,0.118058,111806,-0.375033,0.19347
57,-0.019528,98047.2,-0.287431,0.0776232
58,-0.112555,88744.5,-0.390241,-0.00726432
59,-0.207777,79222.3,-0.499031,-0.12377
60,0.254828,125483,-0.30664,0.296177
61,0.457382,145738,-0.426158,0.427239
62,0.728976,172898,-0.285852,0.600599
63,0.641433,164143,-0.340285,0.555057
64,1.40084,240084,-0.288162,0.899247
65,0.355206,135521,-0.321005,0.376883
66,-0.140782,85921.8,-0.419977,-0.030052
67,0.243168,124317,-0.317069,0.292928
68,-0.435999,56400.1,-0.60927,-0.411565
69,0.155433,115543,-0.361837,0.221427
70,1.36324,236324,-0.375026,0.851489
71,1.98052,298052,-0.146069,1.09355
72,0.311431,131143,-0.300579,0.339447
73,-0.337155,66284.5,-0.575326,-0.305265
74,0.0118087,101181,-0.502342,0.0989387
75,0.105741,110574,-0.441119,0.1834
76,-0.180084,81991.6,-0.585237,-0.0980691
77,0.106419,110642,-0.364051,0.185122
78,-0.288997,71100.3,-0.483794,-0.228065
79,0.892982,189298,-0.31824,0.653028
80,-0.555548,44445.2,-0.581003,-0.702358
81,0.747123,174712,-0.19549,0.58394
82,0.0781036,107810,-0.271804,0.16094
83,0.891853,189185,-0.313883,0.655865
84,0.908034,190803,-0.303809,0.651363
85,0.14216,114216,-0.389361,0.214295
86,0.584934,158493,-0.395602,0.522548
87,0.931072,193107,-0.204924,0.658517
88,-0.26761,73239,-0.584655,-0.190794
89,0.382783,138278,-0.263857,0.382561
90,2.87093,387093,-0.226851,1.35379
91,-0.181624,81837.6,-0.543556,-0.0645085
92,0.854369,185437,-0.193507,0.700707
93,1.18707,218707,-0.278361,0.781806
94,0.585199,158520,-0.319534,0.501593
95,0.954997,195500,-0.252344,0.68901
96,-0.220134,77986.6,-0.433315,-0.15188
97,1.21498,221498,-0.244438,0.800629
98,-0.0240266,97597.3,-0.455496,0.0766755
99,-0.462698,53730.2,-0.596111,-0.504567
100,-0.185065,81493.5,-0.450594,-0.0793571
101,0.306931,130693,-0.337308,0.337316
102,-0.303146,69685.4,-0.347824,-0.264329
103,0.71033,171033,-0.280696,0.589113
104,0.249092,124909,-0.263092,0.289869
105,-0.104302,89569.8,-0.464889,-0.00676512
106,0.56211,156211,-0.405722,0.502254
107,0.343466,134347,-0.336696,0.358812
108,-0.135222,86477.8,-0.324635,-0.0222208
109,1.10165,210165,-0.295394,0.737326
110,0.20831,120831,-0.341193,0.263116
111,0.289045,128904,-0.389475,0.321074
112,-0.0869068,91309.3,-0.38748,0.00628311
113,1.08122,208122,-0.193541,0.73112
114,-0.224398,77560.2,-0.283795,-0.136011
115,1.31324,231324,-0.300587,0.843615
116,0.307293,130729,-0.376385,0.338064
117,0.646885,164689,-0.179792,0.549659
118,-0.135217,86478.3,-0.434057,-0.0368653
119,-0.311083,68891.7,-0.554199,-0.224402
120,0.532113,153211,-0.368385,0.480371
121,0.669921,166992,-0.318768,0.559361
122,0.543073,154307,-0.274347,0.470977
123,1.79304,279304,-0.216002,1.01201
124,0.703107,170311,-0.367235,0.54724
125,0.181262,118126,-0.215276,0.248288
126,0.802727,180273,-0.363381,0.61598
127,1.26128,226128,-0.323134,0.817544
128,-0.228775,77122.5,-0.448934,-0.128456
129,0.274772,127477,-0.365228,0.309913
130,0.359921,135992,-0.315579,0.374703
131,0.227826,122783,-0.368941,0.280464
132,2.71876,371876,-0.142658,1.27522
133,0.176407,117641,-0.275684,0.237621
134,2.45248,345248,-0.177331,1.25989
135,-0.136572,86342.8,-0.370052,-0.040655
136,1.13418,213418,-0.242612,0.785706
137,-0.00430882,99569.1,-0.314623,0.085578
138,0.797227,179723,-0.288078,0.595552
139,-0.273327,72667.3,-0.454359,-0.177808
140,0.793211,179321,-0.191155,0.680429
141,1.23321,223321,-0.201391,0.827463
142,-0.4382,56180,-0.653755,-0.426884
143,0.899487,189949,-0.250931,0.708397
144,0.256376,125638,-0.385744,0.291886
145,1.18431,218431,-0.270153,0.804814
146,1.05361,205361,-0.276551,0.724282
147,-0.327799,67220.1,-0.389577,-0.294711
148,-0.119023,88097.7,-0.460942,-0.0185017
149,-0.154905,84509.5,-0.389269,-0.0446668
150,1.33839,233839,-0.294669,0.853298
151,-0.0633406,93665.9,-0.39547,0.0441414
152,0.682758,168276,-0.301311,0.558459
153,1.1146,211460,-0.310295,0.77032
154,-0.70797,29203,-0.752733,-0.958563
155,1.5271,252710,-0.280351,0.887702
156,0.447517,144752,-0.271431,0.43252
157,-0.489034,51096.6,-0.577202,-0.48644
158,0.345048,134505,-0.30167,0.347585
159,0.815114,181511,-0.241496,0.627322
160,0.195764,119576,-0.409035,0.25139
161,2.03306,303306,-0.210274,1.08658
162,0.283496,128350,-0.263356,0.314712
163,0.687559,168756,-0.419166,0.572232
164,-0.159808,84019.2,-0.389521,-0.0562742
165,1.02709,202709,-0.26819,0.725834
166,0.974777,197478,-0.25736,0.731756
167,0.96025,196025,-0.325586,0.723794
168,0.208852,120885,-0.328295,0.265474
169,1.32752,232752,-0.288965,0.847972
170,0.0864312,108643,-0.351852,0.168069
171,0.0747065,107471,-0.381892,0.156251
172,3.6245,462450,-0.225614,1.43125
173,1.09534,209534,-0.264973,0.791814
174,-0.0988287,90117.1,-0.407757,0.00700666
175,1.75218,275218,-0.241149,1.01548
176,-0.157524,84247.6,-0.483605,-0.049844
177,1.045,204500,-0.237055,0.768047
178,0.132525,113252,-0.293226,0.20622
179,0.730307,173031,-0.323845,0.592051
180,0.647926,164793,-0.24194,0.553282
181,0.0269226,102692,-0.302098,0.122976
182,1.32191,232191,-0.274838,0.830712
183,-0.142061,85793.9,-0.441334,-0.0450763
184,0.665478,166548,-0.181806,0.566622
185,-0.12775,87225,-0.401343,-0.0425713
186,1.06714,206714,-0.30922,0.75348
187,1.16894,216894,-0.177634,0.831842
188,1.95872,295872,-0.226954,1.07213
189,0.288733,128873,-0.344224,0.313531
190,2.10153,310153,-0.342707,1.03529
191,0.232932,123293,-0.316237,0.276675
192,-0.0709665,92903.4,-0.451442,0.0389929
193,-0.0211525,97884.8,-0.457871,0.0757484
194,0.754519,175452,-0.250402,0.623631
195,0.513399,151340,-0.349412,0.462741
196,1.47526,247526,-0.281815,0.909238
197,0.607921,160792,-0.237682,0.527762
198,1.19799,219799,-0.334637,0.813269
199,0.0226977,102270,-0.445035,0.121243
200,1.04894,204894,-0.353012,0.732244
201,1.93397,293397,-0.166688,1.09206
202,1.03769,203769,-0.190817,0.754129
203,1.24967,224967,-0.151014,0.869668
204,1.34617,234617,-0.319457,0.865647
205,0.263619,126362,-0.280685,0.298953
206,0.674689,167469,-0.330943,0.553161
207,1.51593,251593,-0.210276,0.897828
208,1.46307,246307,-0.222575,0.935676
209,0.203645,120364,-0.409209,0.255533
210,0.21521,121521,-0.298517,0.273237
211,0.458858,145886,-0.211261,0.427752
212,0.0582197,105822,-0.467649,0.142628
213,-0.182402,81759.8,-0.385495,-0.102649
214,-0.486849,51315.1,-0.539857,-0.455051
215,-0.383479,61652.1,-0.489338,-0.338934
216,-0.38727,61273,-0.518194,-0.350837
217,1.5671,256710,-0.224101,0.943555
218,0.117307,111731,-0.318754,0.194053
219,0.121116,112112,-0.259237,0.196363
220,1.64737,264737,-0.256875,1.04211
221,1.28047,228047,-0.255985,0.794928
222,0.187499,118750,-0.288426,0.246426
223,-0.105376,89462.4,-0.544386,0.0128256
224,-0.285906,71409.4,-0.470654,-0.226706
225,1.40466,240466,-0.260414,0.918547
226,0.462089,146209,-0.328717,0.429301
227,1.56026,256026,-0.243832,0.984657
228,1.21528,221528,-0.235204,0.835071
229,-0.296621,70337.9,-0.665469,-0.203589
230,0.318526,131853,-0.286441,0.341012
231,0.432601,143260,-0.218884,0.40634
232,0.31954,131954,-0.269192,0.339992
233,-0.515286,48471.4,-0.5507,-0.583004
234,1.13439,213439,-0.441394,0.763808
235,-0.305136,69486.4,-0.536485,-0.229646
236,-0.0877119,91228.8,-0.334967,0.0134326
237,0.989959,198996,-0.362107,0.736019
238,0.0162043,101620,-0.418907,0.113632
239,1.19353,219353,-0.243004,0.780576
240,-0.111493,88850.7,-0.402497,0.00279827
241,-0.0886251,91137.5,-0.492378,0.0135759
242,-0.0474938,95250.6,-0.459892,0.0510663
243,0.962878,196288,-0.337546,0.717092
244,1.98023,298023,-0.183095,1.0747
245,-0.0511273,94887.3,-0.305528,0.0439929
246,1.9434,294340,-0.197158,1.02739
247,-0.31719,68281,-0.436519,-0.245808
248,-0.49093,50907,-0.617589,-0.516208
249,0.593119,159312,-0.216283,0.516
