schema_version,window_mode,ticker,strategy,window_id,parameter_set,total_return,sharpe,max_drawdown,trade_count
2,calendar_duration,AAPL,MACD_Momentum,0,fast=8;slow=21;signal=5,0.222303,0.422349,-0.207267,80
2,calendar_duration,AAPL,MACD_Momentum,0,fast=12;slow=26;signal=9,0.701489,0.967691,-0.180714,40
2,calendar_duration,AAPL,MACD_Momentum,0,fast=16;slow=32;signal=9,0.591846,0.856742,-0.254191,44
2,calendar_duration,AAPL,MACD_Momentum,0,fast=20;slow=40;signal=10,0.553673,0.827216,-0.242360,32
2,calendar_duration,AAPL,MACD_Momentum,1,fast=8;slow=21;signal=5,0.236527,0.467955,-0.210261,89
2,calendar_duration,AAPL,MACD_Momentum,1,fast=12;slow=26;signal=9,0.554265,0.870664,-0.180757,51
2,calendar_duration,AAPL,MACD_Momentum,1,fast=16;slow=32;signal=9,0.349067,0.620772,-0.254227,51
2,calendar_duration,AAPL,MACD_Momentum,1,fast=20;slow=40;signal=10,0.376313,0.659173,-0.242429,41
2,calendar_duration,AAPL,MACD_Momentum,2,fast=8;slow=21;signal=5,0.197195,0.435026,-0.210238,92
2,calendar_duration,AAPL,MACD_Momentum,2,fast=12;slow=26;signal=9,0.428705,0.815992,-0.180661,50
2,calendar_duration,AAPL,MACD_Momentum,2,fast=16;slow=32;signal=9,0.349484,0.696515,-0.200275,48
2,calendar_duration,AAPL,MACD_Momentum,2,fast=20;slow=40;signal=10,0.384795,0.741954,-0.223685,40
2,calendar_duration,AAPL,MACD_Momentum,3,fast=8;slow=21;signal=5,0.024455,0.132916,-0.210260,108
2,calendar_duration,AAPL,MACD_Momentum,3,fast=12;slow=26;signal=9,0.264522,0.562880,-0.180644,56
2,calendar_duration,AAPL,MACD_Momentum,3,fast=16;slow=32;signal=9,0.320251,0.634488,-0.200137,48
2,calendar_duration,AAPL,MACD_Momentum,3,fast=20;slow=40;signal=10,0.360795,0.685659,-0.223791,43
2,calendar_duration,AAPL,MACD_Momentum,4,fast=8;slow=21;signal=5,0.102724,0.278246,-0.210229,104
2,calendar_duration,AAPL,MACD_Momentum,4,fast=12;slow=26;signal=9,0.263895,0.569853,-0.173536,60
2,calendar_duration,AAPL,MACD_Momentum,4,fast=16;slow=32;signal=9,0.301905,0.613528,-0.197637,49
2,calendar_duration,AAPL,MACD_Momentum,4,fast=20;slow=40;signal=10,0.273320,0.569068,-0.188361,47
