schema_version,window_mode,continuity_policy,ticker,strategy,window_id,date,action,price,quantity,cost,slippage,portfolio_value,realized_pnl
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-01-10,BUY,130.325125,729,95.007016,47.479768,99857.513216,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-02-22,SELL,148.795560,729,108.471963,54.263113,113261.468585,13261.468585
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-03-17,BUY,156.158042,690,107.749049,53.847601,113099.871935,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-04-12,SELL,161.139391,690,111.186180,55.620900,116479.664434,3218.195849
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-04-20,BUY,166.173041,660,109.674207,54.809699,116315.180528,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-04-21,SELL,164.967478,660,108.878536,54.466501,115465.439922,-1014.224511
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-05-02,BUY,170.175041,646,109.933077,54.939069,115300.567777,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-05-03,SELL,169.415250,646,109.442252,54.748500,114755.239391,-710.200531
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-05-08,BUY,172.566236,628,108.371596,54.158719,114592.709076,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-05-17,SELL,171.624152,628,107.779967,53.916942,113947.459066,-807.780325
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-05-22,BUY,174.066986,618,107.573397,53.759819,113786.125850,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-05-23,SELL,173.043440,618,106.940846,53.497172,113100.393491,-847.065575
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-06-01,BUY,177.788847,606,107.740041,53.843099,112938.810351,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-06-27,SELL,185.797054,606,112.593015,56.324670,117733.034145,4632.640654
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-06-28,BUY,188.023958,594,111.686231,55.815208,117565.532707,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,2023-06-30,SELL,193.873016,594,115.160572,57.609090,120980.528120,3247.493975
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,1,2023-08-28,BUY,180.180041,643,115.855767,57.898934,120806.773420,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,1,2023-09-13,SELL,176.421740,643,113.439179,56.747963,118334.645101,-2645.883020
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,1,2023-10-05,BUY,173.876888,647,112.498347,56.221063,118165.925691,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,1,2023-10-23,SELL,170.824549,647,110.523483,55.289386,116136.759535,-2197.885565
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,1,2023-11-03,BUY,174.327125,621,108.257145,54.101522,115974.400869,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,1,2023-12-01,SELL,190.234837,621,118.135834,59.097466,125789.055295,9652.295760
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,1,2023-12-11,BUY,193.206556,610,117.855999,58.898550,125612.300746,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,1,2023-12-12,SELL,192.983462,610,117.719912,58.889401,125417.392179,-371.663117
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,1,2023-12-14,BUY,198.119014,601,119.069528,59.505011,125238.817640,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,1,2023-12-20,SELL,196.801544,601,118.277728,59.168448,124388.245228,-1029.146951
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,2,2024-01-22,BUY,192.396153,616,118.516030,59.228401,124210.500797,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,2,2024-02-01,SELL,183.898010,616,113.281174,56.668922,118921.592204,-5466.653023
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,2,2024-03-19,BUY,174.427166,650,113.377658,56.660499,118751.554047,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,2,2024-04-22,SELL,165.437244,650,107.534209,53.794001,112857.230995,-6064.361210
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,2,2024-04-26,BUY,169.964945,631,107.247880,53.597142,112696.385973,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,2,2024-05-30,SELL,190.664615,631,120.309372,60.184778,125691.165276,12833.934281
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,2,2024-06-06,BUY,195.787847,609,119.234799,59.587606,125512.342871,0.000000
