schema_version,window_mode,continuity_policy,ticker,strategy,window_id,parameter_set,starting_capital,ending_capital,total_return,cumulative_oos_return,benchmark_ticker,benchmark_net_return,excess_return,excess_return_basis,sharpe,max_drawdown,trade_count,total_costs,boundary_liquidation_costs
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,0,fast=12;slow=26;signal=9,100000.000000,120980.528120,0.209805,0.209805,SPY,0.146562,0.063243,net_strategy_minus_net_benchmark,2.748945,-0.058723,16,2607.287813,172.769662
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,1,fast=12;slow=26;signal=9,120980.528120,124388.245228,0.028167,0.243882,SPY,0.068294,-0.040126,net_strategy_minus_net_benchmark,0.576405,-0.085437,10,1727.450663,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,2,fast=12;slow=26;signal=9,124388.245228,124360.347175,-0.000224,0.243603,SPY,0.147495,-0.147719,net_strategy_minus_net_benchmark,0.082902,-0.108380,12,2081.535703,0.000000
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,3,fast=20;slow=40;signal=10,124360.347175,126574.048254,0.017801,0.265740,SPY,0.061699,-0.043898,net_strategy_minus_net_benchmark,0.366556,-0.060000,8,1384.503297,182.495327
2,calendar_duration,continuous_capital,AAPL,MACD_Momentum,4,fast=16;slow=32;signal=9,126574.048254,107209.414499,-0.152991,0.072094,SPY,0.045855,-0.198845,net_strategy_minus_net_benchmark,-1.434667,-0.220348,14,2319.751493,153.943294
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,0,fast=8;slow=21;signal=5,100000.000000,107501.508098,0.075015,0.075015,SPY,0.146562,-0.071547,net_strategy_minus_net_benchmark,0.854049,-0.083189,16,2519.408192,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,1,fast=8;slow=21;signal=5,107501.508098,112591.174703,0.047345,0.125912,SPY,0.068516,-0.021171,net_strategy_minus_net_benchmark,0.691183,-0.076290,16,2420.552786,160.139646
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,2,fast=8;slow=21;signal=5,112591.174703,124485.097500,0.105638,0.244851,SPY,0.147306,-0.041668,net_strategy_minus_net_benchmark,1.684547,-0.067507,16,2669.830499,176.937373
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,3,fast=8;slow=21;signal=5,124485.097500,124429.547024,-0.000446,0.244295,SPY,0.061637,-0.062083,net_strategy_minus_net_benchmark,0.066328,-0.083806,12,2127.265045,0.000000
2,calendar_duration,continuous_capital,MSFT,MACD_Momentum,4,fast=8;slow=21;signal=5,124429.547024,121473.585260,-0.023756,0.214736,SPY,0.045962,-0.069718,net_strategy_minus_net_benchmark,-0.150926,-0.190123,14,2310.270694,174.127634
2,calendar_duration,continuous_capital,SPY,MACD_Momentum,0,fast=20;slow=40;signal=10,100000.000000,101430.088674,0.014301,0.014301,SPY,0.146562,-0.132261,net_strategy_minus_net_benchmark,0.340749,-0.082888,10,1422.229197,145.568940
2,calendar_duration,continuous_capital,SPY,MACD_Momentum,1,fast=12;slow=26;signal=9,101430.088674,104084.275171,0.026168,0.040843,SPY,0.068513,-0.042345,net_strategy_minus_net_benchmark,0.759144,-0.050682,10,1441.683926,148.960014
2,calendar_duration,continuous_capital,SPY,MACD_Momentum,2,fast=12;slow=26;signal=9,104084.275171,109809.421497,0.055005,0.098094,SPY,0.147359,-0.092354,net_strategy_minus_net_benchmark,1.792851,-0.016236,10,1523.820470,0.000000
2,calendar_duration,continuous_capital,SPY,MACD_Momentum,3,fast=12;slow=26;signal=9,109809.421497,109479.704720,-0.003003,0.094797,SPY,0.061750,-0.064752,net_strategy_minus_net_benchmark,-0.052689,-0.031054,12,1877.165874,0.000000
2,calendar_duration,continuous_capital,SPY,MACD_Momentum,4,fast=12;slow=26;signal=9,109479.704720,105804.869802,-0.033566,0.058049,SPY,0.045773,-0.079340,net_strategy_minus_net_benchmark,-0.471458,-0.128981,12,1799.899555,150.965092
2,calendar_duration,continuous_capital,TSLA,MACD_Momentum,0,fast=20;slow=40;signal=10,100000.000000,213822.642339,1.138226,1.138226,SPY,0.146562,0.991664,net_strategy_minus_net_benchmark,3.704138,-0.193230,6,1314.118343,315.196851
2,calendar_duration,continuous_capital,TSLA,MACD_Momentum,1,fast=8;slow=21;signal=5,213822.642339,230118.056181,0.076210,1.301181,SPY,0.068445,0.007765,net_strategy_minus_net_benchmark,0.615202,-0.116371,12,3773.435843,328.969315
2,calendar_duration,continuous_capital,TSLA,MACD_Momentum,2,fast=8;slow=21;signal=5,230118.056181,237693.826287,0.032921,1.376938,SPY,0.147335,-0.114414,net_strategy_minus_net_benchmark,0.356898,-0.192022,14,4382.266301,346.782948
2,calendar_duration,continuous_capital,TSLA,MACD_Momentum,3,fast=8;slow=21;signal=5,237693.826287,311553.304392,0.310734,2.115533,SPY,0.061708,0.249025,net_strategy_minus_net_benchmark,1.520497,-0.112477,12,4599.961623,0.000000
2,calendar_duration,continuous_capital,TSLA,MACD_Momentum,4,fast=8;slow=21;signal=5,311553.304392,209897.452703,-0.326287,1.098975,SPY,0.045982,-0.372270,net_strategy_minus_net_benchmark,-1.822745,-0.329817,16,5677.288197,0.000000
2,calendar_duration,continuous_capital,BTC-USD,MACD_Momentum,0,fast=12;slow=26;signal=9,100000.000000,141062.659508,0.410627,0.410627,SPY,0.146562,0.264064,net_strategy_minus_net_benchmark,2.161471,-0.102879,14,2311.158851,182.802557
2,calendar_duration,continuous_capital,BTC-USD,MACD_Momentum,1,fast=12;slow=26;signal=9,141062.659508,160335.506617,0.136626,0.603355,SPY,0.068333,0.068293,net_strategy_minus_net_benchmark,1.072864,-0.106609,10,1866.848204,0.000000
2,calendar_duration,continuous_capital,BTC-USD,MACD_Momentum,2,fast=12;slow=26;signal=9,160335.506617,187952.688336,0.172246,0.879527,SPY,0.145135,0.027111,net_strategy_minus_net_benchmark,1.112499,-0.112350,12,2379.431562,0.000000
2,calendar_duration,continuous_capital,BTC-USD,MACD_Momentum,3,fast=12;slow=26;signal=9,187952.688336,232683.265312,0.237988,1.326833,SPY,0.070784,0.167204,net_strategy_minus_net_benchmark,1.357915,-0.103466,14,3756.419118,0.000000
2,calendar_duration,continuous_capital,BTC-USD,MACD_Momentum,4,fast=8;slow=21;signal=5,232683.265312,190891.890057,-0.179606,0.908919,SPY,0.046318,-0.225925,net_strategy_minus_net_benchmark,-1.060149,-0.272335,26,5921.844005,160.649436
