schema_version,window_mode,ticker,strategy,window_id,train_start,train_end,test_start,test_end,train_observations,test_observations,selected_parameters,objective_value,parameter_changed,starting_capital,ending_capital,continuity_policy,boundary_position_policy,boundary_liquidation_costs,linked_return,cumulative_oos_return,benchmark_ticker,benchmark_execution_policy,benchmark_cost_policy,excess_return_basis
2,calendar_duration,AAPL,MACD_Momentum,0,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,fast=12;slow=26;signal=9,0.967691,0,100000.000000,120980.528120,continuous_capital,liquidate_at_test_end_close,172.769662,0.209805,0.209805,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MACD_Momentum,1,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,fast=12;slow=26;signal=9,0.870664,0,120980.528120,124388.245228,continuous_capital,liquidate_at_test_end_close,0.000000,0.028167,0.243882,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MACD_Momentum,2,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,fast=12;slow=26;signal=9,0.815992,0,124388.245228,124360.347175,continuous_capital,liquidate_at_test_end_close,0.000000,-0.000224,0.243603,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MACD_Momentum,3,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,fast=20;slow=40;signal=10,0.685659,1,124360.347175,126574.048254,continuous_capital,liquidate_at_test_end_close,182.495327,0.017801,0.265740,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,MACD_Momentum,4,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,fast=16;slow=32;signal=9,0.613528,1,126574.048254,107209.414499,continuous_capital,liquidate_at_test_end_close,153.943294,-0.152991,0.072094,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MACD_Momentum,0,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,fast=8;slow=21;signal=5,0.009036,0,100000.000000,107501.508098,continuous_capital,liquidate_at_test_end_close,0.000000,0.075015,0.075015,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MACD_Momentum,1,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,fast=8;slow=21;signal=5,-0.046867,0,107501.508098,112591.174703,continuous_capital,liquidate_at_test_end_close,160.139646,0.047345,0.125912,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MACD_Momentum,2,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,fast=8;slow=21;signal=5,0.115623,0,112591.174703,124485.097500,continuous_capital,liquidate_at_test_end_close,176.937373,0.105638,0.244851,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MACD_Momentum,3,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,fast=8;slow=21;signal=5,-0.038606,0,124485.097500,124429.547024,continuous_capital,liquidate_at_test_end_close,0.000000,-0.000446,0.244295,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,MACD_Momentum,4,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,fast=8;slow=21;signal=5,-0.090154,0,124429.547024,121473.585260,continuous_capital,liquidate_at_test_end_close,174.127634,-0.023756,0.214736,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MACD_Momentum,0,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,fast=20;slow=40;signal=10,0.653233,0,100000.000000,101430.088674,continuous_capital,liquidate_at_test_end_close,145.568940,0.014301,0.014301,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MACD_Momentum,1,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,fast=12;slow=26;signal=9,0.325026,1,101430.088674,104084.275171,continuous_capital,liquidate_at_test_end_close,148.960014,0.026168,0.040843,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MACD_Momentum,2,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,fast=12;slow=26;signal=9,0.115192,0,104084.275171,109809.421497,continuous_capital,liquidate_at_test_end_close,0.000000,0.055005,0.098094,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MACD_Momentum,3,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,fast=12;slow=26;signal=9,0.307294,0,109809.421497,109479.704720,continuous_capital,liquidate_at_test_end_close,0.000000,-0.003003,0.094797,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,SPY,MACD_Momentum,4,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,fast=12;slow=26;signal=9,0.341469,0,109479.704720,105804.869802,continuous_capital,liquidate_at_test_end_close,150.965092,-0.033566,0.058049,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,TSLA,MACD_Momentum,0,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,fast=20;slow=40;signal=10,1.141410,0,100000.000000,213822.642339,continuous_capital,liquidate_at_test_end_close,315.196851,1.138226,1.138226,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,TSLA,MACD_Momentum,1,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,fast=8;slow=21;signal=5,1.245011,1,213822.642339,230118.056181,continuous_capital,liquidate_at_test_end_close,328.969315,0.076210,1.301181,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,TSLA,MACD_Momentum,2,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,fast=8;slow=21;signal=5,1.114705,0,230118.056181,237693.826287,continuous_capital,liquidate_at_test_end_close,346.782948,0.032921,1.376938,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
