path,total_return,terminal_wealth,max_drawdown,sharpe
0,2.39967,339967,-0.218526,1.06267
1,2.34142,334142,-0.296069,0.99342
2,0.192455,119245,-0.456816,0.243828
3,3.09282,409282,-0.241724,1.22078
4,1.65924,265924,-0.324571,0.863287
5,0.444152,144415,-0.313093,0.402944
6,0.420754,142075,-0.2245,0.380527
7,1.11984,211984,-0.25752,0.704584
8,0.848348,184835,-0.371491,0.572027
9,0.952156,195216,-0.255202,0.634366
10,0.319908,131991,-0.415988,0.315904
11,4.18409,518409,-0.218046,1.33526
12,2.76063,376063,-0.18877,1.16808
13,0.270265,127026,-0.395412,0.289158
14,0.568065,156807,-0.325633,0.450634
15,0.428296,142830,-0.300607,0.411842
16,0.299501,129950,-0.362658,0.319053
17,0.504231,150423,-0.330133,0.427775
18,0.207135,120714,-0.366664,0.253596
19,0.417011,141701,-0.387842,0.383695
20,0.0805817,108058,-0.319407,0.167596
21,0.336974,133697,-0.401033,0.323906
22,0.722103,172210,-0.548002,0.503535
23,1.42473,242473,-0.291518,0.757176
24,1.34131,234131,-0.253196,0.808918
25,0.0504412,105044,-0.317386,0.144943
26,-0.195166,80483.4,-0.466872,-0.0682728
27,0.408277,140828,-0.4015,0.366925
28,2.92292,392292,-0.30233,1.17423
29,0.468936,146894,-0.37907,0.421483
30,0.70928,170928,-0.244505,0.552136
31,1.06551,206551,-0.211515,0.731245
32,1.06817,206817,-0.387128,0.756419
33,-0.544977,45502.3,-0.568001,-0.581537
34,1.03916,203916,-0.262438,0.696063
35,0.860373,186037,-0.344023,0.576651
36,-0.24207,75793,-0.424686,-0.120267
37,1.22439,222439,-0.279804,0.732439
38,2.50701,350701,-0.326616,1.05464
39,0.761506,176151,-0.40949,0.524174
40,1.01723,201723,-0.327412,0.64529
41,0.662587,166259,-0.280444,0.528696
42,0.25243,125243,-0.43918,0.292268
43,0.304808,130481,-0.299164,0.325559
44,0.394382,139438,-0.362032,0.366136
45,-0.282735,71726.5,-0.54278,-0.142892
46,2.57454,357454,-0.204702,1.10386
47,0.191258,119126,-0.379739,0.249006
48,0.825436,182544,-0.256919,0.560059
49,2.71265,371265,-0.268408,1.0546
50,0.544317,154432,-0.361189,0.434811
51,0.153116,115312,-0.4996,0.218909
52,1.54713,254713,-0.301754,0.82146
53,1.59257,259257,-0.292777,0.86545
54,1.99341,299341,-0.185726,1.0657
55,1.27029,227029,-0.36016,0.747652
56,0.262797,126280,-0.51512,0.298498
57,2.82671,382671,-0.338629,1.04825
58,1.35898,235898,-0.36179,0.687575
59,0.983526,198353,-0.463059,0.639875
60,4.66208,566208,-0.262351,1.53619
61,7.45767,845767,-0.240513,1.72518
62,0.226339,122634,-0.435058,0.26629
63,3.99599,499599,-0.181093,1.25935
64,1.41955,241955,-0.235838,0.841172
65,0.341278,134128,-0.473829,0.327504
66,0.583579,158358,-0.241179,0.469528
67,3.30514,430514,-0.14792,1.25903
68,1.66063,266063,-0.289194,0.94318
69,0.233764,123376,-0.380959,0.27203
70,1.89973,289973,-0.282519,0.996176
71,4.23699,523699,-0.262799,1.3551
72,1.66225,266225,-0.195792,0.866248
73,3.57665,457665,-0.289137,1.19811
74,1.60181,260181,-0.272254,0.827628
75,1.3766,237660,-0.306952,0.842627
76,0.30775,130775,-0.347487,0.336026
77,0.0586312,105863,-0.365066,0.153858
78,1.10237,210237,-0.325079,0.684056
79,6.08238,708238,-0.17393,1.63394
80,-0.163698,83630.2,-0.498512,-0.0100588
81,2.47537,347537,-0.198549,1.04023
82,0.723371,172337,-0.45351,0.504115
83,4.81268,581268,-0.146575,1.53222
84,0.659537,165954,-0.400886,0.490475
85,-0.0205663,97943.4,-0.36972,0.0755907
86,0.565273,156527,-0.560421,0.455297
87,1.72146,272146,-0.308265,0.937886
88,0.522886,152289,-0.367004,0.441637
89,0.40327,140327,-0.408165,0.396962
90,1.64047,264047,-0.35342,0.819064
91,0.18474,118474,-0.464753,0.239198
92,3.85471,485471,-0.20618,1.41934
93,0.501619,150162,-0.250546,0.436154
94,0.519847,151985,-0.247888,0.420678
95,-0.225942,77405.8,-0.530272,-0.0785865
96,1.8462,284620,-0.265232,0.908817
97,1.58396,258396,-0.250289,0.892413
98,1.23197,223197,-0.347201,0.730492
99,0.238458,123846,-0.374888,0.272965
100,0.0764695,107647,-0.426027,0.163351
101,0.317541,131754,-0.351148,0.316515
102,2.39213,339213,-0.219001,1.05563
103,0.82363,182363,-0.236633,0.602051
104,0.744598,174460,-0.400363,0.516358
105,0.0701299,107013,-0.357217,0.158093
106,2.05494,305494,-0.211853,0.990805
107,0.559085,155909,-0.283197,0.468186
108,2.44307,344307,-0.394468,1.01219
109,3.44114,444114,-0.307255,1.09948
110,3.00008,400008,-0.367637,1.21092
111,1.26864,226864,-0.306924,0.736769
112,0.484049,148405,-0.409968,0.42314
113,4.77546,577546,-0.215505,1.3833
114,0.427002,142700,-0.269528,0.380823
115,0.635093,163509,-0.471644,0.48447
116,2.4241,342410,-0.285115,1.06335
117,1.0989,209890,-0.297705,0.675297
118,2.43196,343196,-0.241393,1.13983
119,0.536343,153634,-0.197557,0.487925
120,0.462089,146209,-0.377574,0.399139
121,0.807945,180794,-0.316368,0.562972
122,0.244658,124466,-0.510654,0.274095
123,3.92141,492141,-0.26796,1.41924
124,-0.197902,80209.8,-0.577087,0.000824689
125,1.55809,255809,-0.300808,0.886524
126,2.75916,375916,-0.207237,1.24821
127,1.19236,219236,-0.245885,0.718003
128,0.947345,194735,-0.243631,0.613035
129,0.303998,130400,-0.541368,0.305154
130,0.693777,169378,-0.28097,0.543243
131,0.949305,194931,-0.346689,0.634897
132,0.184871,118487,-0.323767,0.240339
133,1.16015,216015,-0.35754,0.699454
134,0.044481,104448,-0.389408,0.141597
135,0.206041,120604,-0.369508,0.25295
136,0.0585425,105854,-0.516084,0.145731
137,1.37348,237348,-0.451379,0.800649
138,0.331813,133181,-0.46261,0.322848
139,1.18408,218408,-0.41291,0.708865
140,1.45185,245185,-0.249771,0.857813
141,2.9996,399960,-0.155464,1.22406
142,0.2291,122910,-0.501723,0.265592
143,5.54216,654216,-0.219654,1.50587
