schema_version,ticker,strategy,parameter_set,start_date,end_date,benchmark_ticker,benchmark_execution_policy,benchmark_cost_policy,excess_return_basis,total_return,benchmark_net_return,excess_return,sharpe,sortino,max_drawdown,calmar,turnover,total_costs,trade_count,win_rate,profit_factor
2,AAPL,RSI_Mean_Reversion,period=7;oversold=20;overbought=80,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,1.008643,1.066875,-0.058232,0.648509,0.565192,-0.248549,0.497698,68.399680,10259.932061,55,0.777778,5.475705
2,AAPL,RSI_Mean_Reversion,period=7;oversold=25;overbought=75,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.578621,1.066875,-0.488254,0.442947,0.422659,-0.248549,0.319190,80.161454,12024.198020,73,0.750000,2.006309
2,AAPL,RSI_Mean_Reversion,period=7;oversold=30;overbought=70,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.195878,1.066875,-0.870996,0.244725,0.228116,-0.299668,0.101326,76.291485,11443.702182,85,0.642857,1.307736
2,AAPL,RSI_Mean_Reversion,period=7;oversold=35;overbought=65,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,-0.048564,1.066875,-1.115439,0.075982,0.072289,-0.367272,-0.022572,82.576869,12386.509628,99,0.551020,0.966991
2,AAPL,RSI_Mean_Reversion,period=14;oversold=20;overbought=80,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.662568,1.066875,-0.404306,0.558633,0.520794,-0.224757,0.394765,20.226711,3033.984479,17,0.875000,6.542338
2,AAPL,RSI_Mean_Reversion,period=14;oversold=25;overbought=75,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.772112,1.066875,-0.294763,0.534335,0.478625,-0.303116,0.331243,39.047602,5857.118940,27,0.769231,3.037910
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.230576,1.066875,-0.836299,0.264821,0.241288,-0.302939,0.116538,35.265848,5289.855040,35,0.647059,1.576583
2,AAPL,RSI_Mean_Reversion,period=14;oversold=35;overbought=65,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,1.170674,1.066875,0.103799,0.687009,0.620420,-0.262854,0.526432,73.193294,10978.974671,55,0.740741,3.215518
2,AAPL,RSI_Mean_Reversion,period=21;oversold=20;overbought=80,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.271398,1.066875,-0.795477,0.573591,0.299795,-0.086551,0.473352,4.355515,653.334249,4,1.000000,999999.000000
2,AAPL,RSI_Mean_Reversion,period=21;oversold=25;overbought=75,full,full,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.254135,1.066875,-0.812740,0.302099,0.259219,-0.290187,0.132991,10.787443,1618.123210,10,0.800000,14.882267
