schema_version,date,ticker,trend_regime,volatility_regime,regime,volatility_value,volatility_threshold,information_cutoff,volatility_threshold_method
2,2020-01-02,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-02,expanding_median_strictly_prior_volatility
2,2020-01-03,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-03,expanding_median_strictly_prior_volatility
2,2020-01-06,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-06,expanding_median_strictly_prior_volatility
2,2020-01-07,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-07,expanding_median_strictly_prior_volatility
2,2020-01-08,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-08,expanding_median_strictly_prior_volatility
2,2020-01-09,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-09,expanding_median_strictly_prior_volatility
2,2020-01-10,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-10,expanding_median_strictly_prior_volatility
2,2020-01-13,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-13,expanding_median_strictly_prior_volatility
2,2020-01-14,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-14,expanding_median_strictly_prior_volatility
2,2020-01-15,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-15,expanding_median_strictly_prior_volatility
2,2020-01-16,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-16,expanding_median_strictly_prior_volatility
2,2020-01-17,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-17,expanding_median_strictly_prior_volatility
2,2020-01-21,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-21,expanding_median_strictly_prior_volatility
2,2020-01-22,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-22,expanding_median_strictly_prior_volatility
2,2020-01-23,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-23,expanding_median_strictly_prior_volatility
2,2020-01-24,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-24,expanding_median_strictly_prior_volatility
2,2020-01-27,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-27,expanding_median_strictly_prior_volatility
2,2020-01-28,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-28,expanding_median_strictly_prior_volatility
2,2020-01-29,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-29,expanding_median_strictly_prior_volatility
2,2020-01-30,AAPL,unavailable,unavailable,unavailable,0.000000,0.000000,2020-01-30,expanding_median_strictly_prior_volatility
2,2020-01-31,AAPL,unavailable,unavailable,unavailable,0.280647,0.000000,2020-01-31,expanding_median_strictly_prior_volatility
2,2020-02-03,AAPL,unavailable,unavailable,unavailable,0.277977,0.000000,2020-02-03,expanding_median_strictly_prior_volatility
2,2020-02-04,AAPL,unavailable,unavailable,unavailable,0.298561,0.000000,2020-02-04,expanding_median_strictly_prior_volatility
2,2020-02-05,AAPL,unavailable,unavailable,unavailable,0.297503,0.000000,2020-02-05,expanding_median_strictly_prior_volatility
2,2020-02-06,AAPL,unavailable,unavailable,unavailable,0.295519,0.000000,2020-02-06,expanding_median_strictly_prior_volatility
2,2020-02-07,AAPL,unavailable,unavailable,unavailable,0.295672,0.000000,2020-02-07,expanding_median_strictly_prior_volatility
2,2020-02-10,AAPL,unavailable,unavailable,unavailable,0.295853,0.000000,2020-02-10,expanding_median_strictly_prior_volatility
2,2020-02-11,AAPL,unavailable,unavailable,unavailable,0.287876,0.000000,2020-02-11,expanding_median_strictly_prior_volatility
2,2020-02-12,AAPL,unavailable,unavailable,unavailable,0.294019,0.000000,2020-02-12,expanding_median_strictly_prior_volatility
2,2020-02-13,AAPL,unavailable,unavailable,unavailable,0.295049,0.000000,2020-02-13,expanding_median_strictly_prior_volatility
2,2020-02-14,AAPL,unavailable,unavailable,unavailable,0.292611,0.000000,2020-02-14,expanding_median_strictly_prior_volatility
2,2020-02-18,AAPL,unavailable,unavailable,unavailable,0.298629,0.000000,2020-02-18,expanding_median_strictly_prior_volatility
2,2020-02-19,AAPL,unavailable,unavailable,unavailable,0.301552,0.000000,2020-02-19,expanding_median_strictly_prior_volatility
2,2020-02-20,AAPL,unavailable,unavailable,unavailable,0.304139,0.000000,2020-02-20,expanding_median_strictly_prior_volatility
2,2020-02-21,AAPL,unavailable,unavailable,unavailable,0.314505,0.000000,2020-02-21,expanding_median_strictly_prior_volatility
2,2020-02-24,AAPL,unavailable,unavailable,unavailable,0.355631,0.000000,2020-02-24,expanding_median_strictly_prior_volatility
2,2020-02-25,AAPL,unavailable,unavailable,unavailable,0.360349,0.000000,2020-02-25,expanding_median_strictly_prior_volatility
2,2020-02-26,AAPL,unavailable,unavailable,unavailable,0.348429,0.000000,2020-02-26,expanding_median_strictly_prior_volatility
2,2020-02-27,AAPL,unavailable,unavailable,unavailable,0.398092,0.000000,2020-02-27,expanding_median_strictly_prior_volatility
