schema_version,window_mode,ticker,strategy,window_id,parameter_set,total_return,sharpe,max_drawdown,trade_count
2,calendar_duration,AAPL,RSI_Mean_Reversion,0,period=7;oversold=20;overbought=80,0.117595,0.273014,-0.248549,21
2,calendar_duration,AAPL,RSI_Mean_Reversion,0,period=7;oversold=25;overbought=75,-0.028001,0.105539,-0.248549,27
2,calendar_duration,AAPL,RSI_Mean_Reversion,0,period=7;oversold=30;overbought=70,-0.217610,-0.169697,-0.299668,31
2,calendar_duration,AAPL,RSI_Mean_Reversion,0,period=7;oversold=35;overbought=65,-0.213435,-0.158543,-0.288941,41
2,calendar_duration,AAPL,RSI_Mean_Reversion,0,period=14;oversold=20;overbought=80,0.008483,0.100135,-0.218789,5
2,calendar_duration,AAPL,RSI_Mean_Reversion,0,period=14;oversold=25;overbought=75,0.290203,0.451925,-0.297704,13
2,calendar_duration,AAPL,RSI_Mean_Reversion,0,period=14;oversold=30;overbought=70,-0.151018,-0.055885,-0.297527,15
2,calendar_duration,AAPL,RSI_Mean_Reversion,0,period=14;oversold=35;overbought=65,0.102000,0.254726,-0.262854,23
2,calendar_duration,AAPL,RSI_Mean_Reversion,0,period=21;oversold=20;overbought=80,0.134125,0.533976,-0.086551,2
2,calendar_duration,AAPL,RSI_Mean_Reversion,0,period=21;oversold=25;overbought=75,0.068961,0.216889,-0.264935,4
2,calendar_duration,AAPL,RSI_Mean_Reversion,0,period=21;oversold=30;overbought=70,-0.004380,0.128467,-0.277515,9
2,calendar_duration,AAPL,RSI_Mean_Reversion,0,period=21;oversold=35;overbought=65,0.009923,0.141709,-0.260805,13
2,calendar_duration,AAPL,RSI_Mean_Reversion,1,period=7;oversold=20;overbought=80,0.309541,0.589178,-0.183343,22
2,calendar_duration,AAPL,RSI_Mean_Reversion,1,period=7;oversold=25;overbought=75,0.147976,0.319511,-0.233880,30
2,calendar_duration,AAPL,RSI_Mean_Reversion,1,period=7;oversold=30;overbought=70,0.046283,0.177045,-0.299816,34
2,calendar_duration,AAPL,RSI_Mean_Reversion,1,period=7;oversold=35;overbought=65,-0.004348,0.099670,-0.288974,42
2,calendar_duration,AAPL,RSI_Mean_Reversion,1,period=14;oversold=20;overbought=80,0.087378,0.248087,-0.224757,6
2,calendar_duration,AAPL,RSI_Mean_Reversion,1,period=14;oversold=25;overbought=75,0.153026,0.334476,-0.303043,12
2,calendar_duration,AAPL,RSI_Mean_Reversion,1,period=14;oversold=30;overbought=70,-0.064841,0.007402,-0.302828,14
2,calendar_duration,AAPL,RSI_Mean_Reversion,1,period=14;oversold=35;overbought=65,0.282359,0.506877,-0.262870,24
2,calendar_duration,AAPL,RSI_Mean_Reversion,1,period=21;oversold=20;overbought=80,0.134125,0.534685,-0.086551,2
2,calendar_duration,AAPL,RSI_Mean_Reversion,1,period=21;oversold=25;overbought=75,0.068961,0.217176,-0.264935,4
2,calendar_duration,AAPL,RSI_Mean_Reversion,1,period=21;oversold=30;overbought=70,0.038965,0.163646,-0.283109,8
2,calendar_duration,AAPL,RSI_Mean_Reversion,1,period=21;oversold=35;overbought=65,0.041551,0.167369,-0.266237,12
2,calendar_duration,AAPL,RSI_Mean_Reversion,2,period=7;oversold=20;overbought=80,0.255769,0.555527,-0.183386,25
