schema_version,window_mode,ticker,strategy,window_id,selected_parameters,objective_value,in_sample_sharpe,in_sample_return
2,calendar_duration,AAPL,RSI_Mean_Reversion,0,period=14;oversold=25;overbought=75,0.451925,0.451925,0.290203
2,calendar_duration,AAPL,RSI_Mean_Reversion,1,period=7;oversold=20;overbought=80,0.589178,0.589178,0.309541
2,calendar_duration,AAPL,RSI_Mean_Reversion,2,period=7;oversold=20;overbought=80,0.555527,0.555527,0.255769
2,calendar_duration,AAPL,RSI_Mean_Reversion,3,period=7;oversold=20;overbought=80,0.648915,0.648915,0.312050
2,calendar_duration,AAPL,RSI_Mean_Reversion,4,period=7;oversold=20;overbought=80,0.848939,0.848939,0.455242
2,calendar_duration,MSFT,RSI_Mean_Reversion,0,period=14;oversold=30;overbought=70,0.602295,0.602295,0.444074
2,calendar_duration,MSFT,RSI_Mean_Reversion,1,period=7;oversold=35;overbought=65,0.950619,0.950619,0.654960
2,calendar_duration,MSFT,RSI_Mean_Reversion,2,period=14;oversold=30;overbought=70,0.742919,0.742919,0.439481
2,calendar_duration,MSFT,RSI_Mean_Reversion,3,period=7;oversold=35;overbought=65,0.848150,0.848150,0.517534
2,calendar_duration,MSFT,RSI_Mean_Reversion,4,period=7;oversold=35;overbought=65,0.659194,0.659194,0.372601
2,calendar_duration,SPY,RSI_Mean_Reversion,0,period=14;oversold=25;overbought=75,0.451457,0.451457,0.236996
2,calendar_duration,SPY,RSI_Mean_Reversion,1,period=14;oversold=25;overbought=75,0.697177,0.697177,0.282562
2,calendar_duration,SPY,RSI_Mean_Reversion,2,period=21;oversold=35;overbought=65,0.406246,0.406246,0.137996
2,calendar_duration,SPY,RSI_Mean_Reversion,3,period=21;oversold=35;overbought=65,0.534017,0.534017,0.195688
2,calendar_duration,SPY,RSI_Mean_Reversion,4,period=7;oversold=20;overbought=80,0.585261,0.585261,0.203069
2,calendar_duration,TSLA,RSI_Mean_Reversion,0,period=21;oversold=25;overbought=75,0.385032,0.385032,0.246024
2,calendar_duration,TSLA,RSI_Mean_Reversion,1,period=14;oversold=30;overbought=70,0.505128,0.505128,0.444850
2,calendar_duration,TSLA,RSI_Mean_Reversion,2,period=14;oversold=30;overbought=70,0.485315,0.485315,0.412645
2,calendar_duration,TSLA,RSI_Mean_Reversion,3,period=21;oversold=30;overbought=70,0.385282,0.385282,0.249144
2,calendar_duration,TSLA,RSI_Mean_Reversion,4,period=14;oversold=30;overbought=70,0.498026,0.498026,0.448525
2,calendar_duration,BTC-USD,RSI_Mean_Reversion,0,period=7;oversold=25;overbought=75,0.472344,0.472344,0.557771
2,calendar_duration,BTC-USD,RSI_Mean_Reversion,1,period=7;oversold=25;overbought=75,0.592273,0.592273,0.799704
2,calendar_duration,BTC-USD,RSI_Mean_Reversion,2,period=7;oversold=25;overbought=75,0.637222,0.637222,0.886606
2,calendar_duration,BTC-USD,RSI_Mean_Reversion,3,period=7;oversold=25;overbought=75,0.697568,0.697568,0.926007
2,calendar_duration,BTC-USD,RSI_Mean_Reversion,4,period=7;oversold=25;overbought=75,0.745555,0.745555,1.027009
