schema_version,window_mode,ticker,strategy,window_id,train_start,train_end,test_start,test_end,train_observations,test_observations,selected_parameters,objective_value,parameter_changed,starting_capital,ending_capital,continuity_policy,boundary_position_policy,boundary_liquidation_costs,linked_return,cumulative_oos_return,benchmark_ticker,benchmark_execution_policy,benchmark_cost_policy,excess_return_basis
2,calendar_duration,AAPL,RSI_Mean_Reversion,0,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,period=14;oversold=25;overbought=75,0.451925,0,100000.000000,110321.137784,continuous_capital,liquidate_at_test_end_close,0.000000,0.103211,0.103211,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,RSI_Mean_Reversion,1,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,period=7;oversold=20;overbought=80,0.589178,1,110321.137784,117328.758808,continuous_capital,liquidate_at_test_end_close,167.445265,0.063520,0.173288,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,RSI_Mean_Reversion,2,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,period=7;oversold=20;overbought=80,0.555527,0,117328.758808,123243.884542,continuous_capital,liquidate_at_test_end_close,0.000000,0.050415,0.232439,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,RSI_Mean_Reversion,3,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,period=7;oversold=20;overbought=80,0.648915,0,123243.884542,136315.500251,continuous_capital,liquidate_at_test_end_close,0.000000,0.106063,0.363155,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,AAPL,RSI_Mean_Reversion,4,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,period=7;oversold=20;overbought=80,0.848939,0,136315.500251,170277.693293,continuous_capital,liquidate_at_test_end_close,0.000000,0.249144,0.702777,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,RSI_Mean_Reversion,0,2020-01-02,2022-12-30,2023-01-03,2023-06-30,756,124,period=14;oversold=30;overbought=70,0.602295,0,100000.000000,119781.844644,continuous_capital,liquidate_at_test_end_close,0.000000,0.197818,0.197818,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,RSI_Mean_Reversion,1,2020-07-02,2023-06-30,2023-07-03,2023-12-29,754,126,period=7;oversold=35;overbought=65,0.950619,1,119781.844644,120665.566116,continuous_capital,liquidate_at_test_end_close,0.000000,0.007378,0.206656,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,RSI_Mean_Reversion,2,2021-01-04,2023-12-29,2024-01-02,2024-07-01,753,125,period=14;oversold=30;overbought=70,0.742919,1,120665.566116,127986.835211,continuous_capital,liquidate_at_test_end_close,0.000000,0.060674,0.279868,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,RSI_Mean_Reversion,3,2021-07-02,2024-07-01,2024-07-02,2024-12-31,753,127,period=7;oversold=35;overbought=65,0.848150,1,127986.835211,123480.986111,continuous_capital,liquidate_at_test_end_close,175.706912,-0.035206,0.234810,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
2,calendar_duration,MSFT,RSI_Mean_Reversion,4,2022-01-03,2024-12-31,2025-01-02,2025-07-01,753,123,period=7;oversold=35;overbought=65,0.659194,0,123480.986111,139530.008866,continuous_capital,liquidate_at_test_end_close,0.000000,0.129972,0.395300,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark
