schema_version,ticker,strategy,parameter_set,benchmark_ticker,benchmark_execution_policy,benchmark_cost_policy,excess_return_basis,total_return,benchmark_gross_return,benchmark_net_return,excess_return,annualized_return,volatility,sharpe,max_drawdown,win_rate,profit_factor,num_trades,turnover,total_transaction_costs,cost_drag,average_trade_return
2,AAPL,MA_Cross,short=20;long=50,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,1.099404,2.514725,2.513315,-1.413911,0.132037,0.192758,0.740081,-0.272710,0.375000,1.769269,33,51.682391,7752.337879,0.077523,0.044493
2,AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.230576,2.514725,2.513315,-2.282739,0.035304,0.233560,0.264821,-0.302939,0.647059,1.576583,35,35.265848,5289.855040,0.052899,0.014286
2,AAPL,MACD_Momentum,fast=12;slow=26;signal=9,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.884799,2.514725,2.513315,-1.628516,0.111808,0.182110,0.673544,-0.256986,0.472727,1.509264,110,190.187441,28528.145352,0.285281,0.014472
2,MSFT,MA_Cross,short=20;long=50,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.429387,1.945336,1.943932,-1.514545,0.061559,0.178075,0.424805,-0.388541,0.411765,1.711712,34,41.475744,6221.373823,0.062214,0.026716
2,MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.970163,1.945336,1.943932,-0.973769,0.120074,0.211815,0.641387,-0.203997,0.833333,5.297093,37,55.764052,8364.587421,0.083646,0.044210
2,MSFT,MACD_Momentum,fast=12;slow=26;signal=9,MSFT,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,-0.147523,1.945336,1.943932,-2.091454,-0.026337,0.177550,-0.061515,-0.413928,0.366667,0.886739,121,116.713738,17507.041106,0.175070,-0.001068
2,SPY,MA_Cross,short=20;long=50,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.501238,1.068282,1.066875,-0.565637,0.070301,0.116354,0.642734,-0.294990,0.500000,1.669114,25,29.649216,4447.360330,0.044474,0.027819
2,SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.234295,1.068282,1.066875,-0.832580,0.035827,0.158934,0.301256,-0.277855,0.733333,1.864566,30,30.322632,4548.401807,0.045484,0.016496
2,SPY,MACD_Momentum,fast=12;slow=26;signal=9,SPY,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0.229095,1.068282,1.066875,-0.837779,0.035096,0.112747,0.362505,-0.160429,0.437500,1.319813,129,149.748431,22462.246822,0.224622,0.004021
2,TSLA,MA_Cross,short=20;long=50,TSLA,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,3.290489,14.073847,14.072388,-10.781898,0.275756,0.438512,0.774475,-0.548717,0.666667,2.539208,31,84.684654,12702.679333,0.127027,0.162385
2,TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,TSLA,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,1.410503,14.073847,14.072388,-12.661885,0.158500,0.432716,0.554420,-0.605464,0.789474,1.862147,38,55.348399,8302.297124,0.083023,0.069353
2,TSLA,MACD_Momentum,fast=12;slow=26;signal=9,TSLA,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,7.610463,14.073847,14.072388,-6.461924,0.433358,0.408100,1.085365,-0.447596,0.388889,2.539486,108,336.869408,50530.614072,0.505306,0.054991
2,BTC-USD,MA_Cross,short=20;long=50,BTC-USD,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5.661932,10.559586,10.558181,-4.896249,0.243733,0.324594,0.833578,-0.562791,0.434783,2.241452,46,178.480664,26772.247781,0.267722,0.199937
2,BTC-USD,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,BTC-USD,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,-0.046709,10.559586,10.558181,-10.604889,-0.005487,0.238008,0.102265,-0.516068,0.611111,0.987750,37,20.763544,3114.509126,0.031145,0.004716
2,BTC-USD,MACD_Momentum,fast=12;slow=26;signal=9,BTC-USD,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,4.978066,10.559586,10.558181,-5.580115,0.228335,0.304510,0.826717,-0.475993,0.373333,1.477903,151,626.672754,94000.928358,0.940009,0.034963
