ticker,strategy,parameter_set,commission_bps,slippage_bps,net_return,sharpe,turnover,total_costs,degradation_vs_zero_cost,estimated_break_even_cost_bps
AAPL,MA_Cross,short=20;long=50,0,0,1.198984,0.781063,52.868315,0.000000,0.000000,0.000000
AAPL,MA_Cross,short=20;long=50,0,5,1.165575,0.767502,52.465765,2623.266239,0.033409,179.437858
AAPL,MA_Cross,short=20;long=50,0,10,1.132150,0.753753,52.077375,5207.651948,0.066834,179.397331
AAPL,MA_Cross,short=20;long=50,0,25,1.036027,0.712888,50.921474,12729.876845,0.162958,183.941207
AAPL,MA_Cross,short=20;long=50,5,0,1.165575,0.767502,52.465325,2623.266239,0.033409,179.437858
AAPL,MA_Cross,short=20;long=50,5,5,1.132150,0.753753,52.076947,5207.673340,0.066834,179.396757
AAPL,MA_Cross,short=20;long=50,5,10,1.099404,0.740081,51.682808,7752.337879,0.099580,180.606074
AAPL,MA_Cross,short=20;long=50,5,25,1.005337,0.699358,50.548635,15164.111923,0.193648,185.747457
AAPL,MA_Cross,short=20;long=50,10,0,1.132150,0.753753,52.076519,5207.651948,0.066834,179.397331
AAPL,MA_Cross,short=20;long=50,10,5,1.099404,0.740081,51.682391,7752.337879,0.099580,180.606074
AAPL,MA_Cross,short=20;long=50,10,10,1.067837,0.726600,51.303777,10260.674415,0.131147,182.845686
AAPL,MA_Cross,short=20;long=50,10,25,0.974107,0.685424,50.180886,17562.845996,0.224877,186.610411
AAPL,MA_Cross,short=20;long=50,20,0,1.067838,0.726601,51.302967,10260.593476,0.131146,182.846814
AAPL,MA_Cross,short=20;long=50,20,5,1.036026,0.712888,50.919901,12729.955492,0.162958,183.940320
AAPL,MA_Cross,short=20;long=50,20,10,1.005336,0.699358,50.547486,15164.169335,0.193648,185.746906
AAPL,MA_Cross,short=20;long=50,20,25,0.913764,0.657950,49.438397,22246.841925,0.285221,189.166904
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,0,0.293033,0.300492,36.113011,0.000000,0.000000,0.000000
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,5,0.271946,0.288618,35.834944,1791.724258,0.021087,69.482650
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,10,0.250911,0.276611,35.542443,3554.154177,0.042122,69.567508
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,0,25,0.190224,0.240930,34.697836,8673.923917,0.102809,71.256791
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,0,0.271946,0.288618,35.834485,1791.724258,0.021087,69.482650
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,5,0.250910,0.276611,35.541992,3554.176713,0.042122,69.567136
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,10,0.230576,0.264821,35.266290,5289.855040,0.062457,70.376399
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,5,25,0.170788,0.229161,34.429882,10328.439512,0.122245,71.913008
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,0,0.250911,0.276611,35.541542,3554.154177,0.042122,69.567508
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,5,0.230576,0.264821,35.265848,5289.855040,0.062457,70.376399
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,10,0.210035,0.252746,34.965110,6992.935084,0.082997,70.612592
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,10,25,0.151553,0.217344,34.145378,11950.367462,0.141480,72.491962
