schema_version,ticker,strategy,parameter_set,benchmark_ticker,benchmark_execution_policy,benchmark_cost_policy,excess_return_basis,commission_bps,slippage_bps,net_return,sharpe,turnover,total_costs,degradation_vs_zero_cost,estimated_break_even_cost_bps
2,AAPL,MA_Cross,short=20;long=50,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,0,1.198984,0.781063,52.868315,0.000000,0.000000,0.000000
2,AAPL,MA_Cross,short=20;long=50,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,5,1.165575,0.767502,52.465765,2623.266239,0.033409,179.437858
2,AAPL,MA_Cross,short=20;long=50,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,10,1.132150,0.753753,52.077375,5207.651948,0.066834,179.397331
2,AAPL,MA_Cross,short=20;long=50,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,25,1.036027,0.712888,50.921474,12729.876845,0.162958,183.941207
2,AAPL,MA_Cross,short=20;long=50,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,0,50,0.884310,0.644219,49.074760,24535.684692,0.314674,190.511891
2,AAPL,MA_Cross,short=20;long=50,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,0,1.165575,0.767502,52.465325,2623.266239,0.033409,179.437858
2,AAPL,MA_Cross,short=20;long=50,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,5,1.132150,0.753753,52.076947,5207.673340,0.066834,179.396757
2,AAPL,MA_Cross,short=20;long=50,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,10,1.099404,0.740081,51.682808,7752.337879,0.099580,180.606074
2,AAPL,MA_Cross,short=20;long=50,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,25,1.005337,0.699358,50.548635,15164.111923,0.193648,185.747457
2,AAPL,MA_Cross,short=20;long=50,AAPL,first_close_decision_next_open_integer_shares_5pct_cash_reserve,strategy_costs_for_net_zero_costs_for_gross,net_strategy_minus_net_benchmark,5,50,0.855493,0.630552,48.717812,26793.153776,0.343492,191.981866
